"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"KA300AE","No premises",NA,NA,NA,NA,FALSE,0
"KA300AG","No premises",NA,NA,NA,NA,FALSE,0
"KA300AH","No premises",NA,NA,NA,NA,FALSE,0
"KA300AJ","No premises",NA,NA,NA,NA,FALSE,0
"KA308AA","OK",FALSE,11.8,8.1,20.7,FALSE,6
"KA308AB","OK",FALSE,10.4,7.9,20,FALSE,12
"KA308AD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA308AE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"KA308AF","No premises",NA,NA,NA,NA,FALSE,0
"KA308AJ","OK",TRUE,7.9,8.1,18.6,FALSE,6
"KA308AL","OK",TRUE,11.1,8.1,21,FALSE,16
"KA308AN","OK",FALSE,15.6,17.7,21.1,FALSE,3
"KA308AP","Insufficient Data",NA,NA,NA,NA,FALSE,1
"KA308AQ","OK",FALSE,15.6,19,19.7,FALSE,3
"KA308AR","OK",FALSE,14.8,17.3,21,FALSE,6
"KA308AT","OK",FALSE,14.1,14.5,23.4,FALSE,6
"KA308AU","OK",TRUE,12.8,13.2,22.9,FALSE,15
"KA308AW","OK",FALSE,18.7,19,22,FALSE,6
"KA308AX","No premises",NA,NA,NA,NA,FALSE,0
"KA308AY","No premises",NA,NA,NA,NA,FALSE,0
"KA308AZ","OK",FALSE,21.2,22.4,24,FALSE,8
"KA308BB","OK",FALSE,20.1,21.6,23.8,FALSE,5
"KA308BD","Insufficient Data",NA,NA,NA,NA,FALSE,2
"KA308BE","OK",FALSE,16.3,16.2,22,FALSE,5
"KA308BG","OK",FALSE,16.1,17,24.4,FALSE,5
"KA308BH","OK",FALSE,18.2,18.2,21.4,FALSE,7
"KA308BJ","No premises",NA,NA,NA,NA,FALSE,0
"KA308BL","OK",TRUE,14.3,15.5,22.9,FALSE,19
"KA308BN","No premises",NA,NA,NA,NA,FALSE,0
"KA308BS","OK",TRUE,10.9,12.2,15.9,FALSE,5
"KA308BT","OK",FALSE,16.5,16,20,FALSE,6
"KA308BU","OK",FALSE,17.5,18.4,21,FALSE,14
"KA308BX","OK",FALSE,16.8,15.7,21.1,FALSE,4
"KA308BY","OK",FALSE,13.3,12.3,18.8,FALSE,4
"KA308DA","OK",TRUE,16.9,20,21.8,FALSE,6
"KA308DD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA308DE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"KA308DF","OK",FALSE,19.1,18.9,20.7,FALSE,5
"KA308DG","OK",FALSE,17,17.5,22.2,FALSE,12
"KA308DH","OK",FALSE,17.4,19.5,21,FALSE,10
"KA308DJ","Insufficient Data",NA,NA,NA,NA,FALSE,1
"KA308DN","OK",FALSE,19.4,19.6,24,FALSE,5
"KA308DP","OK",TRUE,9.5,9.4,16.7,FALSE,18
"KA308DQ","OK",FALSE,15.3,14.5,16.9,FALSE,3
"KA308DR","Insufficient Data",NA,NA,NA,NA,FALSE,2
"KA308DS","OK",FALSE,9.3,9.2,15.4,FALSE,28
"KA308DT","OK",TRUE,8.7,8.8,14.3,FALSE,8
"KA308DU","OK",FALSE,11.2,12.3,15.6,FALSE,14
"KA308DW","OK",FALSE,16,15.9,23.1,FALSE,10
"KA308DX","OK",FALSE,11,11.4,14.3,FALSE,9
