"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"KT34AA","OK",FALSE,30,25.5,30,TRUE,28
"KT34AB","OK",FALSE,28.6,20,30,TRUE,44
"KT34AD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KT34AD","No Data",NA,NA,NA,NA,FALSE,0
"KT34AE","OK",FALSE,30,30,30,TRUE,41
"KT34AF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"KT34AF","No Data",NA,NA,NA,NA,TRUE,0
"KT34AG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KT34AG","No Data",NA,NA,NA,NA,FALSE,0
"KT34AH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"KT34AL","OK",FALSE,30,20,30,TRUE,29
"KT34AN","OK",FALSE,30,20,30,TRUE,29
"KT34AP","OK",FALSE,25,20,30,TRUE,26
"KT34AR","OK",FALSE,30,30,30,TRUE,16
"KT34AS","OK",FALSE,29.9,20,30,TRUE,19
"KT34AT","OK",FALSE,30,30,30,TRUE,21
"KT34AU","OK",FALSE,30,30,30,TRUE,5
"KT34AW","OK",TRUE,28.9,20,30,TRUE,38
"KT34AX","OK",FALSE,21.9,14.6,30,TRUE,19
"KT34AY","OK",FALSE,27.6,20,30,TRUE,11
"KT34AZ","OK",FALSE,19.1,20,20,TRUE,5
"KT34BA","OK",TRUE,28.5,16.6,30,TRUE,21
"KT34BD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"KT34BD","No Data",NA,NA,NA,NA,TRUE,0
"KT34BH","OK",TRUE,14.4,11.9,30,TRUE,25
"KT34BN","OK",FALSE,30,30,30,TRUE,8
"KT34BP","OK",TRUE,11.1,8.1,22,FALSE,10
"KT34BT","OK",FALSE,10.4,7.8,16.7,TRUE,4
"KT34BU","No premises",NA,NA,NA,NA,TRUE,0
"KT34BW","No premises",NA,NA,NA,NA,FALSE,0
"KT34BY","OK",FALSE,13,14.3,19.9,TRUE,9
"KT34DA","No premises",NA,NA,NA,NA,TRUE,0
"KT34DE","No premises",NA,NA,NA,NA,FALSE,0
"KT34DN","No premises",NA,NA,NA,NA,FALSE,0
"KT34DP","OK",FALSE,30,25,30,TRUE,18
"KT34DQ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"KT34DR","OK",TRUE,30,20.6,30,TRUE,33
"KT34DS","OK",FALSE,30,20,30,TRUE,33
"KT34DT","OK",FALSE,30,20,30,TRUE,39
"KT34DU","OK",FALSE,30,30,30,TRUE,31
"KT34DW","OK",FALSE,30,30,30,TRUE,10
"KT34DX","OK",FALSE,21.4,17.4,30,TRUE,8
"KT34DY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"KT34EA","OK",FALSE,30,25,30,TRUE,15
"KT34EB","OK",FALSE,30,30,30,TRUE,5
"KT34EP","OK",FALSE,30,10.6,30,TRUE,3
"KT34ER","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"KT34ER","No Data",NA,NA,NA,NA,TRUE,0
"KT34ES","OK",FALSE,30,27.6,30,TRUE,7
"KT34ET","OK",FALSE,15.7,15.8,23.9,FALSE,8
"KT34EU","OK",FALSE,17,16.9,21.3,FALSE,5
"KT34EW","OK",FALSE,17.7,17.6,21.6,TRUE,7
"KT34EX","No premises",NA,NA,NA,NA,FALSE,0
"KT34EZ","OK",FALSE,18.5,19.5,24,FALSE,13
"KT34HB","No premises",NA,NA,NA,NA,FALSE,0
"KT34HD","No premises",NA,NA,NA,NA,FALSE,0
"KT34HE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"KT34HF","No premises",NA,NA,NA,NA,FALSE,0
"KT34HG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"KT34HL","OK",FALSE,30,27.5,30,TRUE,4
"KT34HN","OK",FALSE,30,26.2,30,TRUE,36
"KT34HP","OK",FALSE,19.8,19.5,30,TRUE,7
"KT34HR","OK",FALSE,30,20,30,TRUE,26
"KT34HS","OK",FALSE,30,30,30,TRUE,28
"KT34HT","OK",FALSE,28.1,18.8,30,TRUE,18
"KT34HU","OK",FALSE,30,30,30,TRUE,15
"KT34HW","OK",FALSE,30,20,30,TRUE,20
"KT34HX","OK",FALSE,30,20,30,TRUE,19
"KT34HY","No premises",NA,NA,NA,NA,TRUE,0
"KT34HZ","OK",TRUE,30,30,30,TRUE,14
"KT34JD","OK",FALSE,21.9,19.2,30,TRUE,16
"KT34JE","OK",FALSE,15.9,20.8,23.3,TRUE,4
"KT34JF","OK",FALSE,27.1,20.3,30,TRUE,9
"KT34JJ","OK",FALSE,23.1,23.1,23.2,FALSE,3
"KT34JL","OK",FALSE,30,26,30,TRUE,18
"KT34JN","OK",FALSE,28.6,20.4,30,TRUE,26
"KT34JP","OK",FALSE,30,20,30,TRUE,15
"KT34JQ","No premises",NA,NA,NA,NA,FALSE,0
"KT34JR","OK",FALSE,25.3,19.8,30,TRUE,18
"KT34JS","OK",FALSE,30,20,30,TRUE,15
"KT34JT","OK",FALSE,30,21.9,30,TRUE,14
"KT34JU","OK",FALSE,30,22,30,TRUE,13
"KT34JW","OK",FALSE,21.3,20,30,TRUE,23
"KT34JX","OK",FALSE,28.3,20,30,TRUE,34
"KT34JY","OK",FALSE,20.3,16,30,TRUE,4
"KT34JZ","OK",FALSE,30,30,30,TRUE,6
"KT34LA","OK",TRUE,30,30,30,TRUE,14
"KT34LB","OK",TRUE,28.2,20,30,TRUE,14
"KT34LD","OK",FALSE,28.5,22,30,TRUE,15
"KT34LE","OK",FALSE,29.8,19.9,30,TRUE,22
"KT34LF","OK",FALSE,27.7,15.2,30,TRUE,5
"KT34LG","OK",FALSE,30,19.8,30,TRUE,19
"KT34LH","No premises",NA,NA,NA,NA,FALSE,0
"KT34LL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KT34LL","No Data",NA,NA,NA,NA,FALSE,0
"KT34LP","OK",TRUE,28.4,18.8,30,TRUE,44
"KT34LR","OK",FALSE,19.4,13.4,30,TRUE,17
"KT34LT","No premises",NA,NA,NA,NA,TRUE,0
"KT34LU","OK",FALSE,18.9,7.9,30,TRUE,14
"KT34LW","No premises",NA,NA,NA,NA,FALSE,0
"KT34LY","OK",TRUE,24.7,7.1,30,TRUE,31
"KT34NA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"KT34NA","No Data",NA,NA,NA,NA,TRUE,0
"KT34NB","No premises",NA,NA,NA,NA,FALSE,0
"KT34ND","No premises",NA,NA,NA,NA,FALSE,0
"KT34NE","OK",FALSE,4.9,5.2,6.8,TRUE,5
"KT34NH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KT34NH","No Data",NA,NA,NA,NA,FALSE,0
"KT34NL","OK",TRUE,13.8,7,30,TRUE,9
"KT34NN","No Data",NA,NA,NA,NA,TRUE,0
"KT34NP","No premises",NA,NA,NA,NA,FALSE,0
"KT34NR","No premises",NA,NA,NA,NA,TRUE,0
"KT34NS","OK",FALSE,12,7.3,30,TRUE,4
"KT34NT","OK",FALSE,23.2,30,30,TRUE,5
