"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"KY49AA","OK",FALSE,14.2,15.5,21.6,FALSE,10
"KY49AD","OK",TRUE,14.9,15.6,21,FALSE,22
"KY49AE","OK",FALSE,17.1,17.2,21,FALSE,7
"KY49AF","OK",FALSE,16.1,17.1,21,FALSE,13
"KY49AG","OK",FALSE,17.2,17,22.5,FALSE,5
"KY49AH","OK",FALSE,11.7,11.8,19,FALSE,22
"KY49AL","OK",TRUE,13.4,15,19.6,FALSE,22
"KY49AN","OK",TRUE,11.9,14.3,18.7,FALSE,14
"KY49AP","OK",FALSE,13.2,13.5,21,FALSE,11
"KY49AQ","OK",TRUE,16.3,18,23.7,FALSE,37
"KY49AR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KY49AS","OK",FALSE,12.8,14.1,22,FALSE,23
"KY49AT","OK",FALSE,13.7,14.4,23.4,FALSE,29
"KY49AU","OK",TRUE,9.7,10.1,17,FALSE,8
"KY49AX","OK",FALSE,12,12.5,20.4,FALSE,25
"KY49AY","OK",TRUE,15.8,16.5,23.9,FALSE,8
"KY49AZ","OK",TRUE,12.6,13.1,20,FALSE,44
"KY49BA","OK",FALSE,14,15.7,18.8,FALSE,21
"KY49BB","OK",FALSE,8.6,5.3,15.8,FALSE,3
"KY49BD","OK",FALSE,14.5,14.3,21.1,FALSE,15
"KY49BE","OK",FALSE,17,20,20.6,FALSE,6
"KY49BF","OK",TRUE,13.7,14.5,20.4,FALSE,39
"KY49BG","OK",FALSE,15,15.7,21.5,FALSE,10
"KY49BH","No premises",NA,NA,NA,NA,FALSE,0
"KY49BJ","OK",TRUE,12.6,17.3,18.5,FALSE,3
"KY49BL","OK",FALSE,11.3,11.8,13.1,FALSE,6
"KY49BN","OK",FALSE,13,14.3,17,FALSE,6
"KY49BP","OK",FALSE,16.6,19,21.4,FALSE,6
"KY49BQ","OK",FALSE,14.2,13.3,18.4,FALSE,8
"KY49BS","OK",FALSE,13.8,14.3,17.8,FALSE,39
"KY49BU","OK",FALSE,12.4,13.7,17.1,FALSE,13
"KY49BW","OK",FALSE,16.2,18.6,23.3,FALSE,38
"KY49BX","OK",FALSE,12.6,13.2,17.1,FALSE,15
"KY49BY","OK",TRUE,13.6,15.4,19.4,FALSE,43
"KY49BZ","OK",TRUE,12.5,14.4,18,FALSE,30
"KY49DA","OK",FALSE,19.6,22.3,24,FALSE,6
"KY49DB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"KY49DD","OK",TRUE,5.6,8.1,8.2,FALSE,3
"KY49DE","OK",TRUE,19.1,21.6,24,FALSE,13
"KY49DF","OK",FALSE,15.2,14.7,23.6,FALSE,7
"KY49DG","OK",FALSE,15.9,19.1,20.9,FALSE,5
"KY49DH","OK",FALSE,16.4,18.2,24,FALSE,21
"KY49DL","OK",TRUE,15,16.9,24.4,FALSE,29
"KY49DN","OK",FALSE,16,17.2,21,FALSE,17
"KY49DP","OK",TRUE,14.7,15.9,22,FALSE,17
"KY49DQ","OK",FALSE,15.9,19,23.6,FALSE,10
"KY49DR","OK",FALSE,14.5,13.5,20,FALSE,9
"KY49DS","OK",FALSE,14,15.7,21.7,FALSE,35
"KY49DT","Insufficient Data",NA,NA,NA,NA,FALSE,1
"KY49DU","OK",FALSE,16.6,16.8,23.1,FALSE,17
"KY49DW","OK",FALSE,16.5,18.9,21,FALSE,9
"KY49DX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KY49DZ","OK",FALSE,15,17,21.9,FALSE,9
"KY49ED","No premises",NA,NA,NA,NA,FALSE,0
"KY49EF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KY49EL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KY49EN","OK",FALSE,14.3,15.9,18,FALSE,13
"KY49EP","OK",FALSE,13,14.3,21.1,FALSE,19
"KY49ER","OK",FALSE,12.4,13.4,17,FALSE,10
"KY49ES","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KY49ET","OK",TRUE,12.3,12.8,18.4,FALSE,22
"KY49EU","OK",FALSE,12.6,11.7,18.1,FALSE,8
"KY49EW","OK",FALSE,10.9,10.7,14.3,FALSE,5
"KY49EX","OK",FALSE,12.6,13.3,20.2,FALSE,23
"KY49EY","OK",FALSE,12.6,10.4,18.6,FALSE,7
"KY49EZ","OK",FALSE,13.6,13.9,20.7,FALSE,27
"KY49HA","OK",TRUE,15.2,16.4,20.3,FALSE,20
"KY49HB","OK",FALSE,14.6,16,20,FALSE,11
"KY49HD","OK",FALSE,14.8,15.4,20.8,FALSE,29
"KY49HE","OK",FALSE,16.3,17,19.1,FALSE,15
"KY49HG","OK",TRUE,8.2,6.3,17.5,FALSE,5
"KY49HH","OK",FALSE,12.9,13.7,19.6,FALSE,27
"KY49HJ","OK",FALSE,18.3,18,21.8,FALSE,5
"KY49HL","OK",TRUE,15,16,23.5,FALSE,17
"KY49HN","OK",FALSE,12,11.4,18.2,FALSE,16
"KY49HP","OK",FALSE,12.9,16.1,18.5,FALSE,12
"KY49HQ","OK",FALSE,11.5,12.2,18.6,FALSE,6
"KY49HR","OK",FALSE,10.6,12.2,15.3,FALSE,9
"KY49HT","OK",FALSE,10.6,8.1,19.1,FALSE,7
"KY49HU","OK",FALSE,17.5,17.7,20.3,FALSE,6
"KY49HW","OK",FALSE,10,10,17.1,FALSE,18
"KY49HY","OK",TRUE,9.9,10.6,14.9,FALSE,23
"KY49HZ","OK",TRUE,10.2,11.1,15.2,FALSE,13
"KY49JA","OK",FALSE,11.7,12.3,15.1,FALSE,12
"KY49JB","OK",FALSE,11.9,11.9,19.2,FALSE,14
"KY49JD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KY49JE","OK",FALSE,14,14.4,19.5,FALSE,15
"KY49JF","OK",FALSE,11.7,11.3,18.9,FALSE,17
"KY49JG","OK",FALSE,13.5,14.3,18,FALSE,19
"KY49JH","OK",TRUE,11.4,11.8,19.8,FALSE,31
"KY49JJ","OK",FALSE,19.4,18.3,22,FALSE,3
"KY49JL","OK",FALSE,14,15.4,20.1,FALSE,26
"KY49JN","OK",FALSE,14.1,15.1,19,FALSE,6
"KY49JP","OK",TRUE,13.5,15,20.4,FALSE,32
"KY49JQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KY49JR","OK",FALSE,13.4,15.1,15.4,FALSE,4
"KY49JS","OK",FALSE,13,14.9,18.1,FALSE,39
"KY49JT","OK",FALSE,12.9,13.9,16.4,FALSE,16
"KY49JU","OK",FALSE,13.8,14.3,21,FALSE,25
"KY49JW","OK",FALSE,13.9,13.3,19.6,FALSE,13
"KY49JX","OK",FALSE,14.5,16.6,18.8,FALSE,9
"KY49JY","OK",FALSE,12.3,13.7,17.9,FALSE,14
"KY49JZ","OK",TRUE,11.3,12.8,18,FALSE,15
"KY49LA","OK",FALSE,10.3,9.8,17.4,FALSE,18
"KY49LB","OK",FALSE,10.9,10.4,18.4,FALSE,29
"KY49LD","OK",TRUE,12.6,12.4,20,FALSE,27
"KY49LE","OK",FALSE,10.8,11.6,14.7,FALSE,12
"KY49LF","OK",FALSE,13.2,13.5,16.4,FALSE,7
"KY49LG","OK",TRUE,11.8,12,19.6,FALSE,27
"KY49LH","OK",FALSE,15.9,16.9,20,FALSE,22
"KY49LJ","OK",FALSE,13.9,14.3,21,FALSE,28
"KY49LL","OK",FALSE,7.2,8.3,10.1,FALSE,10
"KY49LN","OK",TRUE,6.9,7.8,13.4,FALSE,30
"KY49LP","OK",TRUE,11.4,12.3,17,FALSE,27
"KY49LQ","OK",FALSE,7.4,7.9,11.2,FALSE,4
"KY49LR","OK",FALSE,14.9,16.7,19.7,FALSE,8
"KY49LS","OK",FALSE,14,14,20.3,FALSE,7
"KY49LT","OK",FALSE,14,15.8,20.5,FALSE,12
"KY49LU","OK",TRUE,12.7,14.3,18,FALSE,32
"KY49LW","OK",FALSE,8.3,8.6,11.1,FALSE,8
"KY49LX","OK",FALSE,14.8,16.9,18.7,FALSE,5
"KY49NA","OK",FALSE,17,17.3,20,FALSE,3
"KY49NB","OK",FALSE,17.3,19.9,23.8,FALSE,16
"KY49ND","OK",FALSE,17.8,18.1,22.2,FALSE,29
"KY49NE","OK",FALSE,18.5,20.7,24.2,FALSE,5
"KY49NF","OK",TRUE,17.6,22.6,24.2,FALSE,9
"KY49NG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KY49NH","OK",TRUE,18,21.6,24.4,FALSE,7
"KY49NN","Insufficient Data",NA,NA,NA,NA,FALSE,2
"KY49NP","OK",FALSE,15.9,18.3,20.8,FALSE,11
"KY49NQ","No premises",NA,NA,NA,NA,FALSE,0
"KY49NS","OK",FALSE,14.2,15.6,20.2,FALSE,3
"KY49NT","OK",FALSE,13.9,8.1,23.4,FALSE,8
"KY49NX","OK",FALSE,9.4,8.4,15,FALSE,29
"KY49NY","OK",FALSE,9.3,10.1,13.4,FALSE,21
"KY49NZ","OK",TRUE,7.9,7.9,17,FALSE,16
"KY49PA","OK",TRUE,7.9,7.7,12.7,FALSE,16
"KY49PB","OK",TRUE,7.8,7.9,14.2,FALSE,26
"KY49PD","OK",TRUE,8.4,7.8,14.4,FALSE,26
"KY49PE","OK",FALSE,7.4,6.6,14.5,FALSE,13
"KY49PF","OK",FALSE,9.1,8.7,11.6,FALSE,10
"KY49PP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KY49PR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KY49PS","Insufficient Data",NA,NA,NA,NA,FALSE,2
"KY49PT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KY49QA","OK",FALSE,15.9,15.2,24,FALSE,14
"KY49QB","No premises",NA,NA,NA,NA,FALSE,0
"KY49QD","OK",FALSE,19.3,20.8,22.4,FALSE,8
"KY49QE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"KY49QF","OK",FALSE,20.4,22.8,24.4,FALSE,7
"KY49QH","OK",TRUE,10.5,8.1,22,FALSE,3
"KY49QJ","OK",TRUE,9.9,8.1,22.9,FALSE,12
"KY49QL","OK",FALSE,13.3,12.3,20.6,FALSE,4
"KY49QP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KY49QQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KY49QU","OK",FALSE,19.7,23.2,24.4,FALSE,4
"KY49QW","OK",TRUE,14.4,16.6,22.7,FALSE,6
"KY49QY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KY49QZ","OK",FALSE,11.6,9.8,22,FALSE,6
"KY49RA","OK",TRUE,7.6,6.9,14.2,FALSE,32
"KY49RB","OK",TRUE,8.2,8.3,13.6,FALSE,21
"KY49RD","OK",FALSE,7.8,7.2,12.3,FALSE,7
"KY49RE","OK",FALSE,7.2,7.7,9.5,FALSE,14
"KY49RF","OK",TRUE,7.7,7.9,14.4,FALSE,21
"KY49RG","OK",TRUE,6.5,6.7,11.2,FALSE,22
"KY49RH","OK",TRUE,6.4,6.8,10.8,FALSE,18
"KY49RJ","OK",TRUE,6.5,7,11.4,FALSE,26
"KY49RL","OK",TRUE,7.7,6.9,13.3,FALSE,20
"KY49RN","OK",FALSE,7.7,6.7,12.3,FALSE,14
"KY49RP","OK",TRUE,8,8.9,15.3,FALSE,24
"KY49RQ","OK",FALSE,5.9,5.9,7.9,FALSE,6
"KY49RR","OK",TRUE,7.6,7.6,11.9,FALSE,15
"KY49RS","OK",TRUE,7.7,6.9,14.8,FALSE,20
"KY49RT","OK",TRUE,6.7,6.5,16.6,FALSE,18
"KY49RW","OK",FALSE,8.6,7.8,14.6,FALSE,20
"KY49SA","OK",FALSE,18,19.3,24,FALSE,33
"KY49SB","OK",TRUE,16.3,17.5,24,FALSE,33
"KY49SD","OK",TRUE,13.6,14.4,20.3,FALSE,43
"KY49SE","OK",FALSE,11.8,12.3,16.6,FALSE,6
"KY49SF","OK",TRUE,16.3,20.8,22.9,FALSE,13
"KY49SG","OK",FALSE,16.5,19.3,22,FALSE,3
"KY49SH","OK",FALSE,22.1,22,23.1,FALSE,6
"KY49SJ","OK",TRUE,12.1,12.5,20,FALSE,36
"KY49SL","Insufficient Data",NA,NA,NA,NA,FALSE,1
"KY49SN","Insufficient Data",NA,NA,NA,NA,FALSE,2
"KY49SP","OK",FALSE,19.1,21.5,22.7,FALSE,6
"KY49SQ","OK",TRUE,16.6,18.9,24,FALSE,31
"KY49SR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KY49WX","No premises",NA,NA,NA,NA,FALSE,0
"KY49XA","No premises",NA,NA,NA,NA,FALSE,0
"KY49YG","No premises",NA,NA,NA,NA,FALSE,0
"KY49YJ","No premises",NA,NA,NA,NA,FALSE,0
"KY49ZD","No premises",NA,NA,NA,NA,FALSE,0
