"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"L229QA","Insufficient Data",NA,NA,NA,NA,TRUE,2
"L229QB","OK",TRUE,13.6,14.3,20.8,TRUE,13
"L229QD","OK",FALSE,12.6,12.6,17.6,TRUE,3
"L229QE","OK",TRUE,16.5,20,21.4,TRUE,12
"L229QF","No premises",NA,NA,NA,NA,TRUE,0
"L229QG","OK",TRUE,10.8,11.2,19.1,TRUE,8
"L229QH","OK",FALSE,18.5,19,21.4,TRUE,20
"L229QJ","OK",FALSE,13.3,14,25,TRUE,12
"L229QL","OK",FALSE,15.7,15.8,20.1,TRUE,15
"L229QN","OK",FALSE,19.7,19,30,TRUE,14
"L229QP","OK",FALSE,16,14.7,30,TRUE,12
"L229QQ","OK",FALSE,13.9,15.4,21.9,TRUE,13
"L229QR","OK",FALSE,19.2,20,22,TRUE,9
"L229QS","OK",TRUE,17.2,15.1,30,TRUE,25
"L229QT","OK",FALSE,16.3,19.6,20.6,TRUE,11
"L229QU","OK",FALSE,15,15.9,30,TRUE,12
"L229QW","OK",FALSE,17.4,19.4,20.1,TRUE,10
"L229QX","OK",FALSE,14.2,14.3,20,TRUE,23
"L229QY","OK",FALSE,12.6,12.3,20,TRUE,16
"L229QZ","OK",FALSE,14.6,14.5,20,TRUE,9
"L229RD","OK",FALSE,14.2,16.4,17,TRUE,3
"L229RG","OK",FALSE,17.7,16.5,30,TRUE,18
"L229RH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"L229WU","No premises",NA,NA,NA,NA,FALSE,0
"L229WW","No premises",NA,NA,NA,NA,FALSE,0
