"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"L312HA","OK",FALSE,13,11.6,18.3,FALSE,3
"L312HB","OK",FALSE,13.9,15.4,19.7,TRUE,6
"L312HD","OK",TRUE,7,6.8,12.1,FALSE,14
"L312HE","No premises",NA,NA,NA,NA,TRUE,0
"L312HF","Insufficient Data",NA,NA,NA,NA,TRUE,2
"L312HG","OK",FALSE,30,20,30,TRUE,27
"L312HH","OK",FALSE,18.2,12.4,30,TRUE,20
"L312HJ","OK",FALSE,16.5,20,20,TRUE,3
"L312HL","OK",FALSE,13.3,13.4,15.4,TRUE,3
"L312HN","OK",FALSE,25.8,20,30,TRUE,21
"L312HP","OK",FALSE,26.3,11.2,30,TRUE,3
"L312HQ","OK",FALSE,30,25,30,TRUE,16
"L312HR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"L312HR","No Data",NA,NA,NA,NA,TRUE,0
"L312HS","OK",FALSE,29.7,30,30,TRUE,15
"L312HT","OK",FALSE,8.4,8.9,15.3,FALSE,7
"L312HU","OK",FALSE,20.4,10.7,30,TRUE,24
"L312HW","OK",TRUE,15.4,9.8,30,TRUE,8
"L312HX","OK",TRUE,21.2,20,30,TRUE,25
"L312HY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"L312HY","No Data",NA,NA,NA,NA,TRUE,0
"L312HZ","OK",FALSE,20.6,20,30,TRUE,11
"L312JA","Insufficient Data",NA,NA,NA,NA,FALSE,1
"L312JB","OK",TRUE,19.7,10.6,30,TRUE,17
"L312JD","OK",FALSE,25.8,25,30,TRUE,6
"L312JE","OK",FALSE,30,20,30,TRUE,18
"L312JF","OK",FALSE,11.1,7,30,TRUE,11
"L312JG","OK",TRUE,26.8,8.7,30,TRUE,15
"L312JH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"L312JH","No Data",NA,NA,NA,NA,FALSE,0
"L312JJ","OK",TRUE,9.9,6.8,30,TRUE,12
"L312JL","OK",FALSE,30,25,30,TRUE,16
"L312JN","OK",TRUE,4.9,6,7.1,TRUE,3
"L312JP","OK",FALSE,22.3,30,30,TRUE,8
"L312JQ","OK",TRUE,21.8,20,30,TRUE,27
"L312JR","OK",FALSE,18.8,6.2,30,TRUE,17
"L312JS","OK",TRUE,17.6,9.3,30,TRUE,24
"L312JT","OK",TRUE,14.8,7.6,30,TRUE,25
"L312JU","OK",TRUE,7.3,4.6,30,TRUE,12
"L312JW","OK",FALSE,14.1,8.9,30,TRUE,13
"L312JX","OK",FALSE,20.2,14.6,30,TRUE,11
"L312JY","OK",TRUE,15.7,13.2,30,TRUE,8
"L312JZ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"L312LA","OK",TRUE,15,7.6,30,TRUE,10
"L312LB","OK",FALSE,30,30,30,TRUE,5
"L312LD","OK",TRUE,12,13,20,TRUE,4
"L312LE","OK",FALSE,17,14.6,30,TRUE,12
"L312LF","OK",TRUE,10.9,5.5,30,TRUE,22
"L312LG","OK",FALSE,25,20,30,TRUE,18
"L312LH","OK",TRUE,18.8,8.4,30,TRUE,22
"L312LJ","OK",FALSE,30,20,30,TRUE,26
"L312LL","OK",TRUE,18,10,30,TRUE,24
"L312LN","OK",TRUE,15,8.9,30,TRUE,11
"L312LP","OK",FALSE,30,25,30,TRUE,6
"L312LQ","OK",TRUE,26,20,30,TRUE,23
"L312LR","OK",TRUE,16.8,9.9,30,TRUE,13
"L312LS","OK",FALSE,20.1,20,30,TRUE,3
"L312LT","OK",TRUE,22.2,11.3,30,TRUE,12
"L312LU","OK",FALSE,22.5,20,30,TRUE,4
"L312LW","OK",FALSE,17.2,15.6,30,TRUE,12
"L312LX","OK",TRUE,23.6,13.4,30,TRUE,10
"L312LY","OK",FALSE,24.2,6.3,30,TRUE,11
"L312LZ","OK",FALSE,23.3,20,30,TRUE,14
"L312NA","OK",TRUE,25.5,12.7,30,TRUE,13
"L312NB","OK",FALSE,16.7,7.4,30,TRUE,17
"L312ND","OK",TRUE,12.4,5.1,30,TRUE,25
"L312NE","OK",TRUE,21.4,10.5,30,TRUE,22
"L312NF","OK",FALSE,19.8,10.6,30,TRUE,14
"L312NG","OK",TRUE,14.8,14.4,30,TRUE,13
"L312NH","OK",TRUE,21.2,15.5,30,TRUE,23
"L312NJ","OK",TRUE,14.7,6.7,30,TRUE,27
"L312NL","Insufficient Data",NA,NA,NA,NA,TRUE,2
"L312NN","OK",FALSE,24.3,20,30,TRUE,24
"L312NP","OK",FALSE,13.6,10.2,20,TRUE,5
"L312NQ","OK",FALSE,20.5,11.2,30,TRUE,17
"L312NR","OK",TRUE,12.7,7.6,30,TRUE,19
"L312NS","OK",FALSE,15.3,8.9,30,TRUE,14
"L312NT","OK",FALSE,30,30,30,TRUE,6
"L312NU","OK",FALSE,17.7,9.6,30,TRUE,8
"L312NW","OK",FALSE,22.3,15,30,TRUE,19
"L312NX","OK",FALSE,16.7,10.5,30,TRUE,11
"L312NY","OK",FALSE,10.3,8.9,20,TRUE,4
"L312PB","OK",FALSE,11,5.1,30,TRUE,4
"L312PE","OK",TRUE,27.4,8.1,30,TRUE,13
"L312PG","OK",TRUE,3.1,2.3,5.4,FALSE,3
"L312PH","OK",TRUE,12.4,13.2,20.2,TRUE,14
"L312PJ","OK",FALSE,6.9,6.1,10.2,FALSE,5
"L312PL","OK",TRUE,7,7.3,14.3,FALSE,10
"L312PN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"L312PQ","OK",FALSE,16.4,15.2,30,TRUE,7
