"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"L41RA","OK",FALSE,23.8,16.8,30,TRUE,8
"L41RB","OK",FALSE,27.5,30,30,TRUE,5
"L41RD","OK",FALSE,18,10.1,30,TRUE,5
"L41RE","OK",FALSE,9.3,10.6,13.5,FALSE,15
"L41RG","OK",TRUE,16.1,11.3,30,TRUE,26
"L41RJ","OK",FALSE,30,15.9,30,TRUE,16
"L41RL","OK",FALSE,12.9,10.2,30,TRUE,14
"L41RN","OK",FALSE,28.8,15.3,30,TRUE,3
"L41RP","OK",FALSE,22,15.2,30,TRUE,9
"L41RQ","OK",FALSE,25.2,23.2,30,TRUE,9
"L41RR","OK",FALSE,24,14.7,30,TRUE,11
"L41RS","OK",FALSE,25.8,20,30,TRUE,18
"L41RW","OK",FALSE,24.6,18.3,30,TRUE,12
