"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"L60BA","OK",TRUE,13.5,15,20,TRUE,6
"L60BB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"L60BH","OK",FALSE,15.6,16.3,21.3,TRUE,18
"L60BJ","OK",FALSE,14.8,16.8,21,TRUE,16
"L60BL","OK",FALSE,17.2,17.2,18.9,TRUE,6
"L60BN","OK",FALSE,13.9,15.7,18,TRUE,13
"L60BP","OK",FALSE,15.5,19,21,TRUE,8
"L60BR","OK",FALSE,17.6,17.8,20,TRUE,7
"L60BS","OK",FALSE,12,13,17.9,TRUE,12
"L60BT","OK",FALSE,20.3,18.9,30,TRUE,8
"L60BU","OK",TRUE,13.8,15.7,20,TRUE,18
"L60BW","OK",FALSE,16.2,17.1,20,TRUE,23
"L60BX","OK",FALSE,13.6,14.8,19,TRUE,10
"L60BY","OK",FALSE,15.2,15.4,20,TRUE,19
"L60BZ","OK",FALSE,12.8,12.9,20,TRUE,21
