"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"L76LA","OK",FALSE,30,9.2,30,TRUE,3
"L76LB","OK",FALSE,9.1,9.1,9.9,TRUE,4
"L76LD","OK",FALSE,15.4,7.7,30,TRUE,15
"L76LF","OK",FALSE,8.3,8.4,9.4,TRUE,7
"L76LG","OK",TRUE,20.3,8.9,30,TRUE,17
"L76LH","OK",FALSE,14.2,9,30,TRUE,5
"L76LJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"L76LL","OK",FALSE,13,7.5,30,TRUE,6
"L76LP","OK",FALSE,12.7,6.1,30,TRUE,9
"L76LQ","OK",FALSE,4.2,4.2,6.1,TRUE,3
"L76LR","OK",TRUE,13.5,7.3,30,TRUE,15
"L76LS","OK",TRUE,8.7,7.6,30,TRUE,20
"L76LT","OK",TRUE,5.5,4.3,10,TRUE,7
"L76LU","OK",FALSE,6.8,7.3,8.2,TRUE,5
"L76LY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
