"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"LA26AA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"LA26AB","OK",FALSE,8.2,2.4,19.9,TRUE,3
"LA26AD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"LA26AE","OK",FALSE,4.5,5,5.6,TRUE,4
"LA26AG","OK",FALSE,8.8,9.3,14.3,FALSE,6
"LA26AH","OK",FALSE,9.8,8.3,17.6,FALSE,26
"LA26AJ","OK",FALSE,7.4,6.8,12.2,FALSE,6
"LA26AL","OK",FALSE,9.8,9.5,14.2,FALSE,14
"LA26AN","OK",FALSE,21.6,21.1,30,TRUE,3
"LA26AP","No premises",NA,NA,NA,NA,TRUE,0
"LA26AQ","OK",FALSE,7.7,7,12,FALSE,4
"LA26AR","OK",FALSE,9.9,9.9,11.7,FALSE,3
"LA26AS","OK",FALSE,8.7,8,15,FALSE,15
"LA26AT","No Data",NA,NA,NA,NA,FALSE,0
"LA26AU","OK",FALSE,14,13.6,21.6,FALSE,7
"LA26AW","OK",TRUE,10.9,5.4,30,TRUE,6
"LA26AX","OK",TRUE,12.9,13.5,21,FALSE,17
"LA26AZ","OK",TRUE,14.5,15.1,23.1,FALSE,11
"LA26BA","OK",FALSE,14,16.9,23.6,FALSE,15
"LA26BB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LA26BD","OK",FALSE,15.7,16.8,21,FALSE,4
"LA26BE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LA26BG","OK",FALSE,14.5,12.6,21,FALSE,7
"LA26BH","OK",TRUE,3,2.4,8.1,TRUE,7
"LA26BJ","OK",FALSE,15.2,15.4,25.9,TRUE,6
"LA26BL","OK",TRUE,29.5,30,30,TRUE,4
"LA26BN","OK",FALSE,15.5,5.2,30,TRUE,10
"LA26BP","OK",FALSE,8.7,9.6,13.3,FALSE,5
"LA26BQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LA26BS","OK",FALSE,13.9,16.8,22.2,FALSE,21
"LA26BT","OK",FALSE,18.8,19.3,23,FALSE,7
"LA26BU","OK",TRUE,12.7,18.3,20,FALSE,7
"LA26BW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LA26BX","OK",FALSE,14.4,16.1,21,FALSE,26
"LA26BY","OK",FALSE,15,17,22.1,FALSE,28
"LA26BZ","OK",FALSE,16.5,18,19.7,FALSE,5
"LA26DA","OK",FALSE,16.9,16.7,21.9,FALSE,6
"LA26DB","OK",FALSE,17.5,19.5,21.8,FALSE,21
"LA26DD","OK",TRUE,14.7,15.7,21.3,FALSE,11
"LA26DE","OK",FALSE,14.4,15.6,22.6,FALSE,12
"LA26DF","OK",TRUE,10,8.3,20.6,FALSE,12
"LA26DG","OK",FALSE,15.5,15.9,20.9,FALSE,11
"LA26DH","OK",FALSE,15.8,18.2,21.7,FALSE,11
"LA26DJ","OK",TRUE,12.9,12.9,22.7,FALSE,7
"LA26DL","OK",FALSE,17.3,17.9,21.7,FALSE,6
"LA26DN","OK",FALSE,16.3,20,21.3,FALSE,10
"LA26DP","OK",FALSE,15.5,16.5,22.4,FALSE,9
"LA26DQ","OK",FALSE,18.3,18.2,19.7,FALSE,4
"LA26DR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LA26DS","OK",FALSE,15.3,17,21.6,FALSE,8
"LA26DT","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LA26DU","OK",FALSE,13.9,16.2,19,FALSE,5
"LA26DW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LA26DX","OK",TRUE,10.5,12.7,15.6,FALSE,4
"LA26DY","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LA26DZ","OK",FALSE,14.8,17.1,22,FALSE,5
