"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"LE14AA","No premises",NA,NA,NA,NA,FALSE,0
"LE14AJ","OK",FALSE,15.6,16.2,21,FALSE,19
"LE14AL","OK",TRUE,12.4,11.9,22,FALSE,6
"LE14AN","OK",FALSE,13.3,14.1,19.2,FALSE,32
"LE14AP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LE14AT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE14AZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE14BL","No premises",NA,NA,NA,NA,FALSE,0
"LE14BQ","OK",FALSE,11.1,12.1,12.2,FALSE,3
"LE14BR","OK",TRUE,11.7,11.7,16.4,FALSE,61
"LE14BX","OK",TRUE,6.3,7.5,9.8,FALSE,5
"LE14DB","OK",FALSE,8.5,7.8,15.3,FALSE,3
"LE14DD","No premises",NA,NA,NA,NA,FALSE,0
"LE14DH","OK",FALSE,11,12.7,13.3,FALSE,3
"LE14DN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE14DU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE14EP","No Data",NA,NA,NA,NA,FALSE,0
"LE14EQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE14EY","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LE14FB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LE14FP","OK",TRUE,10.2,8.1,19.8,FALSE,11
"LE14FQ","OK",TRUE,9.8,8.1,23.5,FALSE,16
"LE14FR","OK",TRUE,10.8,10.9,21.6,FALSE,10
"LE14FS","OK",TRUE,10.8,12.2,14.9,FALSE,6
"LE14FT","OK",FALSE,10.7,8.1,16.6,FALSE,5
"LE14FY","OK",FALSE,13.4,14.7,18,FALSE,8
"LE14GH","OK",FALSE,12.8,13.1,19.7,FALSE,4
"LE14JB","OK",FALSE,17.2,21,22.5,FALSE,3
"LE14JJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"LE14JT","OK",FALSE,15.2,16.2,19,TRUE,4
"LE14LB","Insufficient Data",NA,NA,NA,NA,TRUE,1
"LE14LD","OK",FALSE,13,11.4,22.6,FALSE,4
"LE14LF","Insufficient Data",NA,NA,NA,NA,TRUE,1
"LE14LJ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LE14LR","OK",FALSE,7.5,7.8,8.1,TRUE,3
"LE14ND","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE14NF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE14NN","OK",FALSE,15.4,15.9,20.6,FALSE,15
"LE14NR","No premises",NA,NA,NA,NA,FALSE,0
"LE14PF","OK",FALSE,17.1,17.7,23.1,FALSE,20
"LE14PG","OK",FALSE,15.2,16.4,21,FALSE,15
"LE14PH","No Data",NA,NA,NA,NA,FALSE,0
"LE14PJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE14PL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE14QA","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LE14QB","OK",FALSE,10.7,10.5,17,FALSE,28
"LE14QD","OK",FALSE,11,10.9,15.5,FALSE,25
"LE14QF","OK",TRUE,11.1,11.7,14.3,FALSE,24
"LE14QG","OK",TRUE,11,10.7,17.4,FALSE,53
"LE14QH","No premises",NA,NA,NA,NA,FALSE,0
"LE14QJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE14QL","OK",FALSE,17.1,17.2,21.4,FALSE,19
"LE14QS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE14RF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE14RQ","No Data",NA,NA,NA,NA,FALSE,0
"LE14SA","OK",FALSE,10.8,9.7,16.8,FALSE,5
"LE14SB","No premises",NA,NA,NA,NA,FALSE,0
"LE14SD","OK",FALSE,13,14,18.8,FALSE,12
"LE14SE","No premises",NA,NA,NA,NA,FALSE,0
"LE14SG","OK",FALSE,8.1,8.1,8.1,FALSE,3
"LE14SH","No Data",NA,NA,NA,NA,FALSE,0
"LE14SJ","No premises",NA,NA,NA,NA,FALSE,0
"LE14SN","OK",FALSE,11.8,12.8,17.2,FALSE,14
"LE14SP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE14ST","No premises",NA,NA,NA,NA,FALSE,0
"LE14SX","OK",FALSE,17.1,18,22,FALSE,46
"LE142AA","OK",FALSE,7,8.1,8.1,FALSE,7
"LE142AB","OK",FALSE,6.7,7.5,8.1,FALSE,12
"LE142AD","OK",FALSE,7.1,8.1,8.1,FALSE,12
"LE142AE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE142AF","OK",FALSE,7.7,7.7,8.1,FALSE,3
"LE142AG","OK",TRUE,7.2,8,8.1,FALSE,40
"LE142AH","OK",FALSE,7.4,7.6,8.1,FALSE,8
"LE142AL","OK",FALSE,8.1,8.1,8.1,FALSE,5
