"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"LE28AA","OK",FALSE,24.1,20,30,TRUE,16
"LE28AB","OK",FALSE,27.4,21.8,30,TRUE,31
"LE28AD","OK",FALSE,21,22.4,30,TRUE,14
"LE28AE","OK",FALSE,25.5,21,30,TRUE,23
"LE28AG","No premises",NA,NA,NA,NA,TRUE,0
"LE28AH","OK",FALSE,23.8,22.1,30,TRUE,8
"LE28AJ","No premises",NA,NA,NA,NA,TRUE,0
"LE28AL","OK",FALSE,30,21.8,30,TRUE,12
"LE28AN","OK",TRUE,29.8,22.7,30,TRUE,27
"LE28AQ","OK",FALSE,29.9,30,30,TRUE,24
"LE28AR","OK",TRUE,23.4,22.4,30,TRUE,32
"LE28AS","OK",FALSE,26.8,21.6,30,TRUE,34
"LE28AT","OK",FALSE,28.2,23.1,30,TRUE,22
"LE28AU","OK",FALSE,30,27.2,30,TRUE,22
"LE28AW","OK",FALSE,24.1,21,30,TRUE,16
"LE28AX","OK",TRUE,30,23.7,30,TRUE,28
"LE28AY","OK",FALSE,30,30,30,TRUE,18
"LE28AZ","OK",FALSE,25,20,30,TRUE,8
"LE28BA","OK",FALSE,27.7,20,30,TRUE,25
"LE28BB","OK",FALSE,29.9,20,30,TRUE,26
"LE28BD","OK",FALSE,30,23.7,30,TRUE,20
"LE28BE","OK",FALSE,21.5,22,30,TRUE,25
"LE28BF","OK",FALSE,28.5,22.2,30,TRUE,28
"LE28BG","OK",FALSE,16.9,20,24,TRUE,7
"LE28BH","OK",FALSE,30,30,30,TRUE,17
"LE28BJ","OK",FALSE,27.4,21.8,30,TRUE,15
"LE28BL","OK",FALSE,30,30,30,TRUE,25
"LE28BQ","No premises",NA,NA,NA,NA,FALSE,0
"LE28DA","OK",FALSE,23.6,20,30,TRUE,15
"LE28DB","OK",FALSE,14.4,11.2,30,TRUE,25
"LE28DD","OK",FALSE,24,17,30,TRUE,26
"LE28DE","OK",FALSE,23,17.5,30,TRUE,30
"LE28DF","OK",FALSE,23.1,20,30,TRUE,8
"LE28DG","OK",FALSE,30,20,30,TRUE,11
"LE28DH","OK",TRUE,21.3,12,30,TRUE,19
"LE28DJ","OK",FALSE,22.8,16.5,30,TRUE,28
"LE28DL","OK",FALSE,22.3,20,30,TRUE,13
"LE28DR","Insufficient Data",NA,NA,NA,NA,TRUE,1
"LE28DX","OK",FALSE,19.4,18.9,22.2,TRUE,3
"LE28DY","OK",FALSE,17.9,17.8,28.7,TRUE,14
"LE28DZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"LE28DZ","No Data",NA,NA,NA,NA,TRUE,0
"LE28EA","OK",FALSE,30,26.7,30,TRUE,12
"LE28EB","OK",FALSE,28.1,20,30,TRUE,14
"LE28ED","OK",FALSE,30,26,30,TRUE,22
