"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"LL319AA","OK",FALSE,16.4,17.5,21.3,FALSE,16
"LL319AB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL319AD","OK",TRUE,15,18.2,19.7,FALSE,10
"LL319AE","OK",TRUE,14.1,17.7,18.3,FALSE,8
"LL319AG","OK",TRUE,11.2,10,18.4,FALSE,10
"LL319AH","OK",TRUE,18.1,18.5,23.9,FALSE,43
"LL319AJ","OK",FALSE,9.1,7.9,17.4,FALSE,10
"LL319AL","OK",FALSE,16.8,17.8,20.9,FALSE,14
"LL319AN","OK",FALSE,13,14.1,19.9,FALSE,35
"LL319AP","OK",FALSE,14.6,15.4,19.6,FALSE,13
"LL319AQ","OK",FALSE,13,12.8,17.5,FALSE,11
"LL319AR","OK",FALSE,12.5,14.3,18.9,FALSE,21
"LL319AS","OK",TRUE,6.5,6.6,11.5,FALSE,36
"LL319AT","OK",FALSE,8.1,8.1,12.5,FALSE,26
"LL319AU","OK",FALSE,5.8,6.2,9,FALSE,12
"LL319AW","OK",FALSE,15.2,17.1,19.3,FALSE,8
"LL319AX","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL319AY","OK",FALSE,11.9,13.8,19,FALSE,14
"LL319BA","OK",TRUE,15,16.8,21.1,FALSE,20
"LL319BB","OK",FALSE,7.1,6.9,12,FALSE,14
"LL319BD","OK",FALSE,13.8,14.3,16.8,FALSE,5
"LL319BF","OK",TRUE,5.6,3.8,15.8,FALSE,11
"LL319BJ","OK",FALSE,12.1,11.7,17.3,FALSE,20
"LL319BL","OK",FALSE,17,17.5,21.6,FALSE,12
"LL319BN","OK",TRUE,5.3,3.9,20.7,FALSE,10
"LL319BP","OK",TRUE,1.9,1.8,2.8,FALSE,5
"LL319BQ","OK",FALSE,11.7,11.3,15.3,FALSE,13
"LL319BS","OK",FALSE,3.5,3.4,4.7,FALSE,5
"LL319BT","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LL319BU","OK",FALSE,2.9,2.8,3.5,FALSE,3
"LL319BW","OK",TRUE,3,3.2,4.5,FALSE,14
"LL319BX","OK",FALSE,14.4,14.4,18.6,FALSE,8
"LL319BY","OK",TRUE,3.2,3.3,5.4,FALSE,19
"LL319BZ","OK",TRUE,11.8,13.2,18.4,FALSE,21
"LL319DA","No premises",NA,NA,NA,NA,FALSE,0
"LL319DB","No premises",NA,NA,NA,NA,FALSE,0
"LL319DD","OK",FALSE,3.8,3.5,5.3,FALSE,6
"LL319DF","OK",TRUE,2.5,2.6,3.6,FALSE,14
"LL319DG","OK",TRUE,3,3.1,5.2,FALSE,28
"LL319DH","OK",FALSE,4.2,4.7,5.4,FALSE,11
"LL319DJ","OK",TRUE,3.3,3.9,4.5,FALSE,4
"LL319DL","OK",TRUE,3,2.6,5,FALSE,12
"LL319DN","OK",TRUE,3.6,4,4.9,FALSE,23
"LL319DP","OK",TRUE,3.1,3.7,5,FALSE,19
"LL319DQ","OK",TRUE,3.8,3.7,7.4,FALSE,30
"LL319DR","OK",TRUE,3.1,3.1,4,FALSE,11
"LL319DS","OK",FALSE,4,4.2,5,FALSE,7
"LL319DT","OK",FALSE,10.1,9.1,14.3,FALSE,12
"LL319DU","OK",FALSE,13.9,14.6,18.7,FALSE,9
"LL319DW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL319DX","No premises",NA,NA,NA,NA,FALSE,0
"LL319DY","OK",FALSE,13.2,12.3,19.5,FALSE,7
"LL319DZ","OK",FALSE,8.3,8.9,9.6,FALSE,10
"LL319EA","OK",FALSE,16.9,17,19.1,FALSE,4
"LL319EB","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LL319ED","OK",FALSE,11.9,8.7,19.9,FALSE,5
"LL319EE","OK",FALSE,13,13.8,19.6,FALSE,7
"LL319EF","OK",FALSE,16.7,16.9,17.8,FALSE,3
"LL319EG","OK",FALSE,14.7,17,20.4,FALSE,15
"LL319EH","OK",FALSE,15.1,16.1,20,FALSE,5
"LL319EJ","OK",TRUE,5.6,5.5,9,FALSE,19
"LL319EL","OK",FALSE,12.3,13,19.6,FALSE,39
"LL319EN","OK",FALSE,10.6,10.4,17.2,FALSE,36
"LL319EP","OK",FALSE,15.4,17.8,23.1,FALSE,16
"LL319EQ","OK",FALSE,6.8,6.9,10.8,FALSE,8
"LL319ER","OK",FALSE,11.7,11.3,17.7,FALSE,20
"LL319ES","OK",FALSE,10.7,10.4,17.5,FALSE,9
"LL319ET","OK",FALSE,12.6,12.6,18.2,FALSE,9
