"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"LU12AA","OK",FALSE,15.3,15.3,22.4,TRUE,3
"LU12AB","No premises",NA,NA,NA,NA,FALSE,0
"LU12AE","No premises",NA,NA,NA,NA,FALSE,0
"LU12AF","OK",FALSE,20.2,19.9,24.4,TRUE,5
"LU12AG","No premises",NA,NA,NA,NA,FALSE,0
"LU12AL","OK",FALSE,17.3,16.4,20.3,TRUE,4
"LU12AN","No premises",NA,NA,NA,NA,FALSE,0
"LU12AP","No Data",NA,NA,NA,NA,TRUE,0
"LU12AQ","OK",FALSE,13.4,8.1,24.4,TRUE,3
"LU12AR","No premises",NA,NA,NA,NA,FALSE,0
"LU12AT","OK",FALSE,15.1,17.8,24.1,TRUE,5
"LU12AW","No premises",NA,NA,NA,NA,FALSE,0
"LU12AX","OK",FALSE,13,12.8,19.7,FALSE,4
"LU12AZ","OK",FALSE,15.4,16.8,21.1,TRUE,11
"LU12BB","No premises",NA,NA,NA,NA,FALSE,0
"LU12BD","OK",TRUE,15.2,20.8,23.8,TRUE,9
"LU12BE","No premises",NA,NA,NA,NA,FALSE,0
"LU12BG","No premises",NA,NA,NA,NA,FALSE,0
"LU12BJ","OK",FALSE,16.3,17.2,22.6,TRUE,4
"LU12BQ","No premises",NA,NA,NA,NA,TRUE,0
"LU12BS","No premises",NA,NA,NA,NA,TRUE,0
"LU12BU","OK",FALSE,17.8,22.5,22.6,TRUE,3
"LU12BW","No premises",NA,NA,NA,NA,FALSE,0
"LU12BX","No premises",NA,NA,NA,NA,FALSE,0
"LU12DA","No premises",NA,NA,NA,NA,FALSE,0
"LU12DH","No premises",NA,NA,NA,NA,FALSE,0
"LU12DP","OK",FALSE,17.6,20.8,30,TRUE,10
"LU12DT","No premises",NA,NA,NA,NA,TRUE,0
"LU12DW","OK",FALSE,16.1,14.3,30,TRUE,14
"LU12DZ","No premises",NA,NA,NA,NA,FALSE,0
"LU12ED","No premises",NA,NA,NA,NA,FALSE,0
"LU12EF","OK",TRUE,18.8,20.4,23.6,FALSE,25
"LU12EP","OK",TRUE,14,15.2,20,TRUE,13
"LU12ER","No premises",NA,NA,NA,NA,TRUE,0
"LU12EY","OK",FALSE,30,23.5,30,TRUE,5
"LU12GS","No Data",NA,NA,NA,NA,TRUE,0
"LU12HL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LU12HL","No Data",NA,NA,NA,NA,FALSE,0
"LU12HN","OK",FALSE,23,30,30,TRUE,19
"LU12HZ","No Data",NA,NA,NA,NA,TRUE,0
"LU12JE","OK",FALSE,25.6,18.9,30,TRUE,27
"LU12JG","Insufficient Data",NA,NA,NA,NA,TRUE,1
"LU12JQ","OK",FALSE,29.3,30,30,TRUE,28
"LU12JX","OK",FALSE,30,30,30,TRUE,7
"LU12LJ","No premises",NA,NA,NA,NA,TRUE,0
"LU12LL","No premises",NA,NA,NA,NA,FALSE,0
"LU12LP","No premises",NA,NA,NA,NA,FALSE,0
"LU12LT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"LU12LT","No Data",NA,NA,NA,NA,TRUE,0
"LU12NA","OK",TRUE,18.8,19.7,30,TRUE,49
"LU12NB","OK",FALSE,16.8,20.5,22.3,FALSE,6
"LU12NF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"LU12NF","No Data",NA,NA,NA,NA,TRUE,0
"LU12NG","No premises",NA,NA,NA,NA,TRUE,0
"LU12NJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"LU12NJ","No Data",NA,NA,NA,NA,TRUE,0
"LU12NL","OK",FALSE,17.6,18.9,23.8,TRUE,22
"LU12NQ","OK",FALSE,20.5,15.2,30,TRUE,35
"LU12NR","OK",FALSE,30,18.8,30,TRUE,8
"LU12NW","OK",FALSE,13.9,12,22,FALSE,19
"LU12PA","OK",FALSE,21,20,30,TRUE,18
"LU12PH","No premises",NA,NA,NA,NA,FALSE,0
"LU12PJ","No premises",NA,NA,NA,NA,FALSE,0
"LU12PL","OK",FALSE,16.5,18.5,30,TRUE,12
"LU12PU","OK",TRUE,12,11.7,22.5,TRUE,4
"LU12PY","No premises",NA,NA,NA,NA,FALSE,0
"LU12QB","OK",FALSE,13.2,14.3,16.6,TRUE,3
"LU12QD","No premises",NA,NA,NA,NA,TRUE,0
"LU12QG","Insufficient Data",NA,NA,NA,NA,TRUE,1
"LU12QH","OK",FALSE,30,22.9,30,TRUE,45
"LU12QP","OK",FALSE,20.2,20.2,20.3,TRUE,4
"LU12QR","Insufficient Data",NA,NA,NA,NA,TRUE,1
"LU12QT","OK",FALSE,20.3,21,24.4,TRUE,18
"LU12QX","OK",FALSE,16.6,15.3,20.4,TRUE,5
"LU12RA","No premises",NA,NA,NA,NA,FALSE,0
"LU12RB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LU12RB","No Data",NA,NA,NA,NA,FALSE,0
"LU12RD","OK",TRUE,18.4,22.2,30,TRUE,13
"LU12RG","No premises",NA,NA,NA,NA,FALSE,0
"LU12RP","No premises",NA,NA,NA,NA,FALSE,0
"LU12RS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"LU12RS","No Data",NA,NA,NA,NA,TRUE,0
"LU12SA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LU12SA","No Data",NA,NA,NA,NA,FALSE,0
"LU12SB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LU12SB","No Data",NA,NA,NA,NA,FALSE,0
"LU12SD","No premises",NA,NA,NA,NA,FALSE,0
"LU12SE","OK",FALSE,22,19,30,TRUE,34
"LU12SG","No Data",NA,NA,NA,NA,FALSE,0
"LU12SJ","OK",FALSE,14.6,15.5,24.4,TRUE,11
"LU12SL","Insufficient Data",NA,NA,NA,NA,TRUE,2
"LU12SQ","No premises",NA,NA,NA,NA,FALSE,0
"LU12SW","OK",FALSE,21.7,19.9,30,TRUE,4
"LU12SZ","No premises",NA,NA,NA,NA,FALSE,0
"LU12TA","OK",TRUE,14.1,15.4,21.9,FALSE,7
"LU12TB","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LU12TD","OK",FALSE,14,15.3,21.4,TRUE,9
"LU12TE","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LU12TF","OK",FALSE,14,16.9,17.8,TRUE,3
"LU12TH","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LU12TJ","OK",TRUE,10,8.1,24,FALSE,15
"LU12TL","OK",FALSE,9.7,7.8,15.6,FALSE,4
"LU12TN","OK",TRUE,5,5,8.1,FALSE,3
"LU12TP","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LU12TQ","OK",TRUE,11.2,15.3,16.3,FALSE,4
"LU12TR","No premises",NA,NA,NA,NA,FALSE,0
"LU12TU","No premises",NA,NA,NA,NA,FALSE,0
"LU12TW","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LU12TY","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LU12UA","OK",FALSE,10,8.1,14.2,TRUE,3
"LU12WA","No Data",NA,NA,NA,NA,TRUE,0
"LU12WB","No Data",NA,NA,NA,NA,TRUE,0
"LU12WD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LU12WD","No Data",NA,NA,NA,NA,FALSE,0
"LU12WE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LU12WE","No Data",NA,NA,NA,NA,FALSE,0
"LU12WF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LU12WF","No Data",NA,NA,NA,NA,FALSE,0
"LU12WG","No Data",NA,NA,NA,NA,TRUE,0
"LU12WH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LU12WH","No Data",NA,NA,NA,NA,FALSE,0
"LU12WJ","No Data",NA,NA,NA,NA,FALSE,0
"LU12WL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LU12WL","No Data",NA,NA,NA,NA,FALSE,0
"LU12WN","No Data",NA,NA,NA,NA,FALSE,0
"LU12WZ","No premises",NA,NA,NA,NA,FALSE,0
"LU12XN","No premises",NA,NA,NA,NA,FALSE,0
"LU12XW","No premises",NA,NA,NA,NA,FALSE,0
"LU12YD","No premises",NA,NA,NA,NA,FALSE,0
"LU12YF","No premises",NA,NA,NA,NA,FALSE,0
"LU12YH","No premises",NA,NA,NA,NA,FALSE,0
"LU12YN","No premises",NA,NA,NA,NA,FALSE,0
"LU12YW","No premises",NA,NA,NA,NA,FALSE,0
"LU12ZH","No premises",NA,NA,NA,NA,FALSE,0
"LU12ZJ","No premises",NA,NA,NA,NA,FALSE,0
"LU12ZS","No premises",NA,NA,NA,NA,FALSE,0
