"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"M276AB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M276AB","No Data",NA,NA,NA,NA,TRUE,0
"M276AD","OK",TRUE,26.9,20,30,TRUE,11
"M276AF","Insufficient Data",NA,NA,NA,NA,TRUE,1
"M276AG","OK",FALSE,25.2,20,30,TRUE,15
"M276AH","OK",TRUE,20,14.3,30,TRUE,12
"M276AJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M276AJ","No Data",NA,NA,NA,NA,TRUE,0
"M276AL","OK",FALSE,23.2,19.2,30,TRUE,8
"M276AN","OK",FALSE,15.6,15.2,19.6,TRUE,5
"M276AQ","OK",FALSE,30,20.6,30,TRUE,16
"M276AR","OK",FALSE,24.2,20,30,TRUE,11
"M276AS","OK",FALSE,26.9,20,30,TRUE,23
"M276AT","Insufficient Data",NA,NA,NA,NA,TRUE,2
"M276AU","OK",TRUE,13.8,15.6,21.5,TRUE,10
"M276AX","No Data",NA,NA,NA,NA,TRUE,0
"M276AY","OK",FALSE,25.4,16,30,TRUE,10
"M276AZ","OK",FALSE,24.5,20,30,TRUE,19
"M276BA","Insufficient Data",NA,NA,NA,NA,TRUE,2
"M276BD","OK",FALSE,27.7,30,30,TRUE,4
"M276BE","OK",FALSE,28.4,20,30,TRUE,5
"M276BF","OK",FALSE,17.1,18.5,19.9,TRUE,6
"M276BH","OK",FALSE,10.3,9.2,15.6,TRUE,5
"M276BJ","OK",TRUE,22.9,18.5,30,TRUE,7
"M276BL","OK",FALSE,13.5,11.1,20,TRUE,6
"M276BP","No premises",NA,NA,NA,NA,TRUE,0
"M276BQ","OK",FALSE,30,28.1,30,TRUE,4
"M276BR","OK",FALSE,13.5,15,17.4,TRUE,6
"M276BS","OK",TRUE,30,20,30,TRUE,14
"M276BT","OK",FALSE,29.3,17.1,30,TRUE,13
"M276BU","OK",FALSE,30,20.3,30,TRUE,20
"M276BY","OK",FALSE,25,30,30,TRUE,11
"M276BZ","OK",FALSE,24.9,20,30,TRUE,12
"M276DB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M276DB","No Data",NA,NA,NA,NA,TRUE,0
"M276DD","OK",FALSE,29.7,19.6,30,TRUE,26
"M276DE","OK",FALSE,30,25,30,TRUE,24
"M276DF","OK",FALSE,21.7,20,30,TRUE,11
"M276DG","OK",FALSE,20.9,20,30,TRUE,8
"M276DH","OK",TRUE,20.5,16.7,30,TRUE,25
"M276DJ","OK",FALSE,24.6,15.8,30,TRUE,12
"M276DL","OK",FALSE,13.7,8.1,30,TRUE,8
"M276DP","OK",TRUE,25.4,23.1,30,TRUE,8
"M276DQ","OK",FALSE,30,25.5,30,TRUE,17
"M276DR","OK",FALSE,18.9,20,30,TRUE,7
"M276DS","OK",FALSE,22.3,18,30,TRUE,19
"M276DT","OK",FALSE,20.8,13.5,30,TRUE,15
"M276DU","OK",TRUE,30,16.3,30,TRUE,13
"M276DX","OK",FALSE,27.6,20,30,TRUE,18
"M276DY","OK",FALSE,30,20,30,TRUE,33
"M276DZ","OK",FALSE,18.1,18.7,30,TRUE,8
"M276EA","OK",FALSE,30,16.9,30,TRUE,23
"M276EB","No premises",NA,NA,NA,NA,TRUE,0
"M276ED","OK",FALSE,30,20,30,TRUE,31
"M276EF","OK",FALSE,30,25,30,TRUE,13
"M276EG","OK",FALSE,30,20,30,TRUE,5
"M276EH","OK",FALSE,24.8,20,30,TRUE,7
"M276EJ","OK",FALSE,23.4,8.8,30,TRUE,17
"M276EL","OK",FALSE,13.6,15.2,16.1,TRUE,3
"M276EN","OK",FALSE,30,30,30,TRUE,5
"M276EQ","OK",FALSE,18.1,18.6,30,TRUE,9
"M276ER","OK",FALSE,30,20,30,TRUE,15
"M276ES","No premises",NA,NA,NA,NA,FALSE,0
"M276ET","OK",FALSE,23.9,16,30,TRUE,9
"M276EU","OK",FALSE,19.3,14.3,30,TRUE,11
"M276EW","OK",FALSE,14.7,17.6,20,TRUE,10
"M276EX","OK",FALSE,18.5,12.2,30,TRUE,22
"M276EY","No Data",NA,NA,NA,NA,TRUE,0
"M276FF","OK",FALSE,30,20,30,TRUE,15
"M276FG","OK",TRUE,30,20,30,TRUE,13
"M276FN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"M276FP","Insufficient Data",NA,NA,NA,NA,TRUE,2
