"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"M34NA","OK",FALSE,8.4,8,18.1,TRUE,30
"M34NB","OK",FALSE,11.7,9.8,30,TRUE,17
"M34NE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"M34NF","OK",FALSE,7.4,7.7,11.6,TRUE,14
"M34NH","OK",FALSE,8.2,8.2,13,TRUE,13
"M34NJ","OK",TRUE,6.5,5.6,14.1,TRUE,22
"M34NN","OK",FALSE,8.6,7.5,20.5,TRUE,23
"M34NQ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"M34NS","No Data",NA,NA,NA,NA,FALSE,0
"M34NW","Insufficient Data",NA,NA,NA,NA,TRUE,2
