"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"M45AA","No premises",NA,NA,NA,NA,FALSE,0
"M45AB","OK",FALSE,15.5,14.5,19.7,TRUE,6
"M45AD","Insufficient Data",NA,NA,NA,NA,TRUE,2
"M45AE","OK",FALSE,12.2,13.2,15.3,TRUE,8
"M45AF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M45AF","No Data",NA,NA,NA,NA,TRUE,0
"M45AG","Insufficient Data",NA,NA,NA,NA,TRUE,1
"M45AJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M45AJ","No Data",NA,NA,NA,NA,TRUE,0
"M45AL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M45AL","No Data",NA,NA,NA,NA,TRUE,0
"M45AW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M45AW","No Data",NA,NA,NA,NA,TRUE,0
"M45AZ","Insufficient Data",NA,NA,NA,NA,TRUE,2
