"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"M55LA","OK",FALSE,19.7,13.1,30,TRUE,8
"M55LB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"M55LD","OK",FALSE,14.1,13.2,16.4,TRUE,4
"M55LE","OK",FALSE,22.6,14.8,30,TRUE,20
"M55LF","OK",FALSE,23.4,15.4,30,TRUE,15
"M55LG","OK",FALSE,30,30,30,TRUE,4
"M55LH","OK",TRUE,22.2,19.3,30,TRUE,28
"M55LJ","OK",FALSE,29.2,18.4,30,TRUE,19
"M55LL","OK",FALSE,26.1,20,30,TRUE,27
"M55LN","OK",TRUE,30,30,30,TRUE,25
"M55LP","OK",FALSE,14.9,14.4,30,TRUE,10
"M55LQ","OK",FALSE,27.9,20,30,TRUE,10
"M55LR","OK",FALSE,30,20,30,TRUE,6
"M55LS","OK",FALSE,30,30,30,TRUE,19
"M55LT","OK",FALSE,18.1,12.1,30,TRUE,10
"M55LU","OK",FALSE,15.9,12.2,30,TRUE,9
"M55LW","OK",FALSE,22.6,20,30,TRUE,7
"M55LX","OK",FALSE,30,20,30,TRUE,15
"M55LY","OK",FALSE,30,30,30,TRUE,10
"M55LZ","OK",FALSE,22.1,20,30,TRUE,11
