"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"M84LA","OK",FALSE,25.8,20,30,TRUE,23
"M84LB","OK",FALSE,22.5,20,30,TRUE,19
"M84LD","No premises",NA,NA,NA,NA,TRUE,0
"M84LE","OK",TRUE,17.7,17.4,30,TRUE,9
"M84LF","OK",FALSE,25.7,20,30,TRUE,25
"M84LG","OK",FALSE,13.1,13.3,14.7,TRUE,4
"M84LJ","OK",FALSE,30,19,30,TRUE,7
"M84LL","OK",FALSE,30,30,30,TRUE,4
"M84LN","OK",FALSE,30,30,30,TRUE,4
"M84LP","OK",FALSE,17.6,15.3,30,TRUE,9
"M84LQ","OK",FALSE,22.4,17,30,TRUE,8
"M84LR","OK",FALSE,30,20,30,TRUE,4
"M84LS","OK",FALSE,21.5,13.9,30,TRUE,10
"M84LT","OK",FALSE,20.2,14.1,30,TRUE,19
"M84LU","OK",FALSE,28.9,20,30,TRUE,13
"M84LW","OK",FALSE,23.3,20,30,TRUE,9
"M84LX","OK",FALSE,30,30,30,TRUE,7
"M84LY","OK",TRUE,26.4,9.7,30,TRUE,9
"M84LZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
