"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"M84NA","OK",FALSE,23.2,14.6,30,TRUE,17
"M84NB","OK",FALSE,23.2,20.5,30,TRUE,6
"M84ND","OK",FALSE,26.9,20,30,TRUE,7
"M84NE","OK",FALSE,30,15.2,30,TRUE,17
"M84NF","OK",FALSE,28.1,13.8,30,TRUE,15
"M84NG","OK",FALSE,19.5,20,30,TRUE,16
"M84NH","OK",FALSE,24.4,23.3,30,TRUE,10
"M84NN","OK",FALSE,27.9,19.1,30,TRUE,14
"M84NP","OK",FALSE,30,30,30,TRUE,13
"M84NQ","OK",FALSE,23.8,17.9,30,TRUE,6
"M84NR","OK",FALSE,20.4,15.3,30,TRUE,10
"M84NS","OK",FALSE,15.2,11.6,30,TRUE,7
"M84NT","OK",FALSE,30,20.1,30,TRUE,11
"M84NU","OK",FALSE,16.3,13.1,30,TRUE,7
"M84NW","OK",FALSE,17.7,15.9,30,TRUE,13
"M84NY","OK",TRUE,12.7,11.9,30,TRUE,7
"M84NZ","OK",FALSE,21.4,13.3,30,TRUE,8
