"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"M96EA","OK",TRUE,15.5,3,30,TRUE,6
"M96EB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"M96ED","Insufficient Data",NA,NA,NA,NA,TRUE,2
"M96EE","OK",FALSE,26.3,3.5,30,TRUE,3
"M96EF","OK",TRUE,9.8,2.4,30,TRUE,5
"M96EG","OK",TRUE,17.9,2.6,30,TRUE,8
"M96EH","OK",FALSE,15,3.5,30,TRUE,3
"M96EJ","OK",TRUE,13.3,3,30,TRUE,9
"M96EL","OK",FALSE,30,30,30,TRUE,3
"M96EN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"M96EQ","OK",TRUE,2.2,2.1,3,TRUE,8
"M96ER","OK",TRUE,2.5,2.4,3.1,TRUE,6
"M96EW","OK",TRUE,30,30,30,TRUE,9
"M96EX","OK",TRUE,14,1,30,TRUE,3
"M96EY","OK",FALSE,3.8,3.9,4.8,TRUE,5
"M96EZ","Insufficient Data",NA,NA,NA,NA,TRUE,1
