"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"M96WA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M96WD","OK",TRUE,10,3.3,30,TRUE,23
"M96WE","OK",FALSE,17.8,4,30,TRUE,8
"M96WF","OK",TRUE,10.3,3.7,30,TRUE,13
"M96WH","OK",FALSE,12.7,3.9,30,TRUE,7
"M96WJ","OK",TRUE,10.8,3.8,30,TRUE,18
"M96WL","OK",TRUE,2.7,2.8,5,TRUE,10
"M96WN","OK",TRUE,13.4,2.8,30,TRUE,13
"M96WQ","OK",TRUE,7.1,3.8,23.2,TRUE,15
"M96WW","OK",TRUE,22.6,4.1,30,TRUE,11
