"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"ME22AA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"ME22AB","No Data",NA,NA,NA,NA,TRUE,0
"ME22AD","OK",TRUE,12.2,14.1,20.4,TRUE,3
"ME22AE","OK",FALSE,30,30,30,TRUE,5
"ME22AG","OK",TRUE,9,9.6,13.7,FALSE,12
"ME22AH","OK",TRUE,9.6,10.2,14.3,TRUE,12
"ME22AL","No Data",NA,NA,NA,NA,FALSE,0
"ME22AQ","OK",FALSE,12.3,9.1,20.1,TRUE,3
"ME22AU","Insufficient Data",NA,NA,NA,NA,TRUE,2
"ME22AW","Insufficient Data",NA,NA,NA,NA,FALSE,1
"ME22BA","Insufficient Data",NA,NA,NA,NA,TRUE,2
"ME22BD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"ME22BF","Insufficient Data",NA,NA,NA,NA,FALSE,2
"ME22BG","OK",FALSE,3.9,3.9,4.1,FALSE,3
"ME22BH","OK",FALSE,19.2,15.6,30,TRUE,13
"ME22BJ","OK",FALSE,22.5,18.9,30,TRUE,9
"ME22BL","No premises",NA,NA,NA,NA,TRUE,0
"ME22BN","Insufficient Data",NA,NA,NA,NA,FALSE,2
"ME22BP","No premises",NA,NA,NA,NA,TRUE,0
"ME22BQ","OK",FALSE,26.1,20,30,TRUE,27
"ME22BT","Insufficient Data",NA,NA,NA,NA,TRUE,2
"ME22BU","OK",FALSE,30,21.2,30,TRUE,6
"ME22BY","No premises",NA,NA,NA,NA,TRUE,0
"ME22BZ","OK",FALSE,30,23.6,30,TRUE,8
"ME22DA","OK",TRUE,26,22,30,TRUE,12
"ME22DE","No premises",NA,NA,NA,NA,TRUE,0
"ME22DG","OK",FALSE,16.1,16.5,19.9,TRUE,10
"ME22DH","OK",FALSE,25.5,19.5,30,TRUE,44
"ME22DJ","OK",TRUE,24.9,19.1,30,TRUE,31
"ME22DL","OK",FALSE,30,21.3,30,TRUE,11
"ME22DN","OK",FALSE,30,20,30,TRUE,11
"ME22DP","OK",FALSE,28,20,30,TRUE,18
"ME22DQ","OK",FALSE,30,20.4,30,TRUE,23
"ME22DR","OK",TRUE,17.4,7.8,30,TRUE,5
"ME22DS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"ME22DT","OK",FALSE,29.6,20,30,TRUE,26
"ME22DU","OK",FALSE,17.6,18.6,30,TRUE,14
"ME22DW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"ME22DX","OK",FALSE,22.8,14.5,30,TRUE,21
"ME22DY","OK",FALSE,30,30,30,TRUE,13
"ME22DZ","No Data",NA,NA,NA,NA,TRUE,0
"ME22EA","OK",FALSE,27.5,20,30,TRUE,24
"ME22EE","No premises",NA,NA,NA,NA,FALSE,0
"ME22EG","Insufficient Data",NA,NA,NA,NA,TRUE,1
"ME22EH","OK",FALSE,30,30,30,TRUE,17
"ME22EP","Insufficient Data",NA,NA,NA,NA,TRUE,1
"ME22EQ","OK",FALSE,4.6,5.1,6.2,FALSE,9
"ME22ER","No Data",NA,NA,NA,NA,TRUE,0
"ME22ES","No Data",NA,NA,NA,NA,TRUE,0
"ME22ET","Insufficient Data",NA,NA,NA,NA,TRUE,1
"ME22EU","OK",TRUE,10,12.1,20,TRUE,10
"ME22EW","Insufficient Data",NA,NA,NA,NA,TRUE,1
"ME22EY","OK",FALSE,27,16.7,30,TRUE,30
"ME22FP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"ME22FR","No premises",NA,NA,NA,NA,FALSE,0
"ME22FS","Insufficient Data",NA,NA,NA,NA,FALSE,2
"ME22FT","OK",FALSE,5.6,5.9,6,FALSE,3
"ME22FW","OK",FALSE,5.7,5.9,6.3,FALSE,4
"ME22FY","OK",TRUE,4.6,4.9,6.5,FALSE,9
"ME22FZ","OK",FALSE,3.5,3.9,4.1,FALSE,3
"ME22GA","OK",FALSE,30,30,30,TRUE,18
"ME22GB","OK",FALSE,17.2,9,30,TRUE,19
"ME22GD","OK",TRUE,28,15.7,30,TRUE,22
"ME22GE","OK",FALSE,17.6,8.6,30,TRUE,10
"ME22GF","OK",FALSE,27.3,20,30,TRUE,31
"ME22GJ","OK",FALSE,4.1,4.2,5,FALSE,3
"ME22GL","OK",FALSE,20.7,20,30,TRUE,33
"ME22GN","OK",FALSE,26.9,20,30,TRUE,24
"ME22GP","OK",TRUE,30,30,30,TRUE,22
"ME22GQ","OK",FALSE,30,19.6,30,TRUE,8
"ME22GR","OK",FALSE,8.7,9.2,12,FALSE,4
"ME22GS","OK",FALSE,30,25,30,TRUE,10
"ME22GT","OK",FALSE,30,30,30,TRUE,3
"ME22GU","OK",FALSE,19.5,20,30,TRUE,7
"ME22GW","OK",FALSE,29,30,30,TRUE,19
"ME22GX","OK",TRUE,28.2,20,30,TRUE,29
"ME22GY","OK",TRUE,22.4,9.1,30,TRUE,41
"ME22GZ","OK",TRUE,7.7,7.4,30,TRUE,34
"ME22HA","OK",FALSE,25.5,17.1,30,TRUE,36
"ME22HB","OK",TRUE,23.2,18.6,30,TRUE,30
"ME22HE","OK",TRUE,26.2,20.8,30,TRUE,24
"ME22HG","OK",TRUE,22.4,14,30,TRUE,40
"ME22HL","OK",FALSE,26,25,30,TRUE,14
"ME22HN","OK",FALSE,30,30,30,TRUE,21
"ME22HP","OK",FALSE,23.1,20,30,TRUE,33
"ME22HR","OK",TRUE,30,20,30,TRUE,26
"ME22HS","OK",TRUE,14.8,8,30,TRUE,35
"ME22HT","OK",FALSE,30,20,30,TRUE,30
"ME22HU","OK",FALSE,30,20,30,TRUE,26
"ME22HW","OK",FALSE,23.5,20,30,TRUE,17
"ME22HX","OK",FALSE,23.9,20,30,TRUE,13
"ME22HY","OK",FALSE,16.6,15.9,30,TRUE,4
"ME22HZ","OK",FALSE,11.3,9.8,20,TRUE,5
"ME22JA","OK",TRUE,27.4,18.3,30,TRUE,11
"ME22JB","OK",FALSE,30,20,30,TRUE,20
"ME22JH","No premises",NA,NA,NA,NA,FALSE,0
"ME22JJ","OK",FALSE,29.5,20,30,TRUE,11
"ME22JL","OK",TRUE,24,20,30,TRUE,19
"ME22JN","OK",TRUE,25.5,20,30,TRUE,31
"ME22JP","OK",TRUE,21.4,20,30,TRUE,36
"ME22JR","OK",FALSE,30,30,30,TRUE,18
"ME22JS","OK",FALSE,21.6,9.4,30,TRUE,13
"ME22JT","OK",TRUE,24.2,20,30,TRUE,22
"ME22JU","OK",TRUE,3.7,3.2,7.6,TRUE,3
"ME22JW","OK",TRUE,22,21.7,30,TRUE,8
"ME22JX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"ME22JZ","OK",TRUE,24.1,20,30,TRUE,30
"ME22LA","OK",TRUE,30,20,30,TRUE,25
"ME22LB","OK",TRUE,28.3,25,30,TRUE,24
"ME22LD","OK",TRUE,28,9.2,30,TRUE,32
"ME22LE","OK",TRUE,22,20,30,TRUE,28
"ME22LF","OK",FALSE,21.5,14.7,30,TRUE,20
"ME22LG","OK",TRUE,19.7,13.9,30,TRUE,28
"ME22LH","OK",TRUE,20.9,20,30,TRUE,19
"ME22LJ","OK",TRUE,27.2,30,30,TRUE,26
"ME22LL","OK",TRUE,13.4,8.7,30,TRUE,13
"ME22LN","OK",FALSE,30,30,30,TRUE,6
