"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"MK160AD","OK",FALSE,18.2,22.8,23.1,TRUE,5
"MK160AE","OK",FALSE,16.9,17.3,20.2,FALSE,12
"MK160AG","Insufficient Data",NA,NA,NA,NA,TRUE,1
"MK160AH","OK",FALSE,13,13.9,15.8,TRUE,5
"MK160AN","OK",TRUE,17.3,16.7,30,TRUE,35
"MK160AP","OK",FALSE,14,12.7,19.3,TRUE,6
"MK160AQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"MK160AQ","No Data",NA,NA,NA,NA,FALSE,0
"MK160AR","OK",TRUE,25.7,16.4,30,TRUE,17
"MK160AS","Insufficient Data",NA,NA,NA,NA,TRUE,1
"MK160AT","OK",FALSE,11.2,11.8,18,TRUE,6
"MK160AU","OK",FALSE,27.5,16.4,30,TRUE,5
"MK160AW","OK",FALSE,9.2,6.5,17.4,TRUE,3
"MK160AX","OK",FALSE,17.1,17.6,18,TRUE,3
"MK160AY","OK",FALSE,17.7,12.9,30,TRUE,48
"MK160AZ","OK",FALSE,21.1,14,30,TRUE,8
"MK160BA","OK",FALSE,14.2,14.3,14.7,TRUE,3
"MK160BB","OK",FALSE,16.8,16.3,30,TRUE,14
"MK160BD","OK",FALSE,21.6,18,30,TRUE,7
"MK160BE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"MK160BE","No Data",NA,NA,NA,NA,TRUE,0
"MK160BG","OK",FALSE,18.2,13.9,30,TRUE,11
"MK160BH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"MK160BH","No Data",NA,NA,NA,NA,TRUE,0
"MK160BJ","No Data",NA,NA,NA,NA,TRUE,0
"MK160BL","OK",FALSE,15.1,14.4,30,TRUE,11
"MK160BN","OK",FALSE,16.5,16.8,17.5,TRUE,3
"MK160BP","OK",TRUE,17.2,17.9,30,TRUE,10
"MK160BQ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"MK160BS","OK",FALSE,29.1,16.8,30,TRUE,5
"MK160BT","OK",FALSE,30,19.7,30,TRUE,3
"MK160BU","OK",FALSE,23.7,18,30,TRUE,13
"MK160BW","OK",FALSE,18.8,14.3,30,TRUE,23
"MK160BX","OK",FALSE,23.1,16.9,30,TRUE,15
"MK160BY","OK",FALSE,19.6,18,30,TRUE,12
"MK160BZ","OK",FALSE,14.4,16.7,17.7,TRUE,3
"MK160DA","OK",FALSE,24.5,17,30,TRUE,13
"MK160DB","No premises",NA,NA,NA,NA,FALSE,0
"MK160DD","OK",FALSE,23.9,20,30,TRUE,5
"MK160DE","OK",TRUE,14.4,17.6,20.2,FALSE,14
"MK160DF","OK",FALSE,15.3,17.1,19.4,FALSE,9
"MK160DG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"MK160DG","No Data",NA,NA,NA,NA,FALSE,0
"MK160DH","OK",FALSE,17.9,13.1,30,TRUE,4
"MK160DJ","OK",FALSE,10.7,11,14.3,TRUE,9
"MK160DL","OK",FALSE,20.8,21.4,30,TRUE,5
"MK160DN","OK",FALSE,12.7,13.8,15.6,TRUE,5
"MK160DP","OK",FALSE,21.5,18.2,30,TRUE,12
"MK160DQ","OK",FALSE,15.8,11.1,30,TRUE,8
"MK160DR","OK",FALSE,16.2,17.2,20.2,TRUE,6
"MK160DS","OK",FALSE,17.2,19,21.9,TRUE,10
"MK160DT","No premises",NA,NA,NA,NA,TRUE,0
"MK160DU","OK",FALSE,24.2,21.1,30,TRUE,8
"MK160DW","OK",FALSE,21.6,12.2,30,TRUE,27
"MK160DX","OK",FALSE,15.8,17.1,20,TRUE,4
"MK160DY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"MK160DZ","OK",FALSE,27.8,14.3,30,TRUE,20
"MK160EA","OK",FALSE,16.4,17.6,22.9,TRUE,12
"MK160EB","OK",FALSE,16.7,16.4,30,TRUE,12
"MK160ED","OK",FALSE,27.2,20.2,30,TRUE,29
"MK160EE","OK",TRUE,19.6,16.8,30,TRUE,31
"MK160EF","OK",TRUE,28.3,20,30,TRUE,20
"MK160EG","OK",FALSE,21.1,17.2,30,TRUE,10
"MK160EH","OK",FALSE,21.1,14.1,30,TRUE,7
"MK160EJ","OK",TRUE,30,22.7,30,TRUE,19
"MK160EL","OK",FALSE,30,30,30,TRUE,4
"MK160EN","OK",FALSE,30,23,30,TRUE,19
"MK160EP","OK",FALSE,30,19.2,30,TRUE,10
"MK160EQ","OK",FALSE,18.6,19.2,22.5,TRUE,14
"MK160ER","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"MK160ER","No Data",NA,NA,NA,NA,TRUE,0
"MK160ES","OK",FALSE,30,30,30,TRUE,4
"MK160ET","OK",FALSE,30,13.7,30,TRUE,3
"MK160EU","OK",FALSE,21.1,14.1,30,TRUE,39
"MK160EW","OK",FALSE,24.6,17.7,30,TRUE,6
"MK160EX","Insufficient Data",NA,NA,NA,NA,FALSE,1
"MK160EY","OK",FALSE,26.1,22.6,30,TRUE,4
"MK160EZ","OK",FALSE,26.5,19.9,30,TRUE,18
"MK160FE","OK",FALSE,11.4,11.7,13.7,FALSE,4
"MK160FG","OK",FALSE,8.3,8.1,14,FALSE,5
"MK160FH","OK",TRUE,14,16,23.1,TRUE,4
"MK160FJ","No Data",NA,NA,NA,NA,FALSE,0
"MK160HA","OK",FALSE,16,15.3,20,TRUE,15
"MK160HB","OK",TRUE,2.2,2.3,3.7,FALSE,28
"MK160HD","OK",TRUE,2.8,3,3.7,FALSE,7
"MK160HH","OK",FALSE,28.7,21.9,30,TRUE,7
"MK160HJ","OK",FALSE,23.5,16.8,30,TRUE,5
"MK160HL","OK",TRUE,4.4,3.1,19.1,FALSE,10
"MK160HN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"MK160HN","No Data",NA,NA,NA,NA,FALSE,0
"MK160HP","OK",TRUE,3.2,3.7,4.8,FALSE,11
"MK160HQ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"MK160HR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"MK160HR","No Data",NA,NA,NA,NA,FALSE,0
"MK160HS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"MK160HS","No Data",NA,NA,NA,NA,FALSE,0
"MK160HT","OK",FALSE,18.6,11.9,30,TRUE,17
"MK160HU","OK",TRUE,20.8,1.3,30,TRUE,6
"MK160HW","OK",TRUE,3,3.1,4.9,FALSE,8
"MK160HX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"MK160HX","No Data",NA,NA,NA,NA,TRUE,0
"MK160HY","OK",TRUE,0.9,0.8,1.9,TRUE,5
"MK160HZ","No Data",NA,NA,NA,NA,TRUE,0
"MK160JA","Insufficient Data",NA,NA,NA,NA,FALSE,2
"MK160JB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"MK160JB","No Data",NA,NA,NA,NA,FALSE,0
"MK160JD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"MK160JD","No Data",NA,NA,NA,NA,TRUE,0
"MK160JE","OK",TRUE,20.3,15.3,30,TRUE,32
