"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"ML12AB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"ML12AB","No Data",NA,NA,NA,NA,FALSE,0
"ML12AF","OK",FALSE,11.7,10.1,20,TRUE,3
"ML12AG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"ML12AG","No Data",NA,NA,NA,NA,TRUE,0
"ML12AJ","No Data",NA,NA,NA,NA,TRUE,0
"ML12AP","OK",FALSE,14.2,8.2,30,TRUE,11
"ML12AQ","No premises",NA,NA,NA,NA,TRUE,0
"ML12AR","OK",FALSE,9.1,9.6,11,TRUE,4
"ML12AT","OK",FALSE,6.5,6.7,6.9,TRUE,4
"ML12AU","OK",FALSE,30,20,30,TRUE,21
"ML12AW","OK",FALSE,12.8,6,30,TRUE,8
"ML12AX","OK",TRUE,30,30,30,TRUE,29
"ML12AY","OK",FALSE,26.9,20,30,TRUE,22
"ML12AZ","OK",FALSE,30,20,30,TRUE,16
"ML12BA","OK",FALSE,28.7,30,30,TRUE,29
"ML12BB","OK",FALSE,24.5,20,30,TRUE,23
"ML12BD","OK",FALSE,25.3,20,30,TRUE,18
"ML12BE","OK",FALSE,24.4,20,30,TRUE,13
"ML12BH","OK",FALSE,30,30,30,TRUE,37
"ML12BJ","OK",FALSE,25.8,20,30,TRUE,25
"ML12BL","No premises",NA,NA,NA,NA,TRUE,0
"ML12BN","OK",TRUE,10.9,6,30,TRUE,6
"ML12BP","OK",TRUE,20.1,20,30,TRUE,13
"ML12BQ","OK",FALSE,7.6,7.3,12.3,TRUE,7
"ML12BS","OK",TRUE,20.8,20,30,TRUE,33
"ML12BT","OK",TRUE,27.1,20,30,TRUE,28
"ML12BU","OK",TRUE,28.6,20,30,TRUE,5
"ML12BW","OK",TRUE,15.7,7.3,30,TRUE,15
"ML12BX","OK",TRUE,29.5,20,30,TRUE,29
"ML12BY","OK",FALSE,7.4,2.6,30,TRUE,6
"ML12DA","OK",TRUE,5.2,3,30,TRUE,19
"ML12DE","OK",TRUE,27.4,20,30,TRUE,37
"ML12DF","No premises",NA,NA,NA,NA,FALSE,0
