"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"ML84AB","OK",FALSE,14,15.6,21,FALSE,19
"ML84AD","OK",FALSE,16.4,16,22.5,FALSE,15
"ML84AE","OK",FALSE,16.5,17.7,21.4,FALSE,8
"ML84AF","OK",FALSE,16.3,17.7,21.7,FALSE,4
"ML84AG","OK",FALSE,16.6,19,20.6,FALSE,4
"ML84AJ","OK",FALSE,10.1,8.1,19.3,FALSE,13
"ML84AL","OK",TRUE,11.4,11,21,FALSE,11
"ML84AN","OK",FALSE,7,7.2,8.1,FALSE,5
"ML84AP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"ML84AP","No Data",NA,NA,NA,NA,FALSE,0
"ML84AR","OK",FALSE,16.7,18.1,23.1,FALSE,5
"ML84AS","OK",FALSE,18.2,17.9,22,FALSE,4
"ML84AT","Insufficient Data",NA,NA,NA,NA,FALSE,2
"ML84AU","OK",FALSE,17.8,19.1,20.2,FALSE,7
"ML84AW","OK",FALSE,5.8,6.1,8,FALSE,3
"ML84AX","OK",TRUE,6.4,6.9,10.3,FALSE,18
"ML84AY","OK",FALSE,8.3,8.4,11.7,FALSE,12
"ML84AZ","No premises",NA,NA,NA,NA,FALSE,0
"ML84BA","OK",FALSE,17.7,17,22,FALSE,6
"ML84BB","OK",FALSE,21.4,22,24.4,FALSE,7
"ML84BD","OK",FALSE,8.9,7.6,18,FALSE,10
"ML84BE","OK",FALSE,16.8,18.1,20.8,FALSE,7
"ML84BF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"ML84BF","No Data",NA,NA,NA,NA,FALSE,0
"ML84BG","OK",TRUE,15.2,17.3,21,FALSE,26
"ML84BH","OK",FALSE,10.6,9.7,18,FALSE,33
"ML84BJ","OK",FALSE,11.6,12.8,19.3,FALSE,9
"ML84BL","OK",FALSE,18.6,19.5,23,FALSE,19
"ML84BP","OK",FALSE,14.8,16.4,17.9,FALSE,6
"ML84BQ","OK",FALSE,9.9,8.7,15.9,FALSE,12
"ML84BS","OK",FALSE,15.8,19.9,24.4,FALSE,6
"ML84BT","OK",TRUE,11.6,13.7,18.7,FALSE,27
"ML84BU","OK",FALSE,13.5,14.4,20.2,FALSE,32
"ML84BW","OK",TRUE,4.4,4,6.6,FALSE,7
"ML84BX","OK",FALSE,14.4,15.6,19.1,FALSE,22
"ML84BY","OK",FALSE,14.6,15.2,20.1,FALSE,10
"ML84BZ","OK",FALSE,14,14.9,21.8,FALSE,37
"ML84DA","OK",FALSE,15.4,18.9,19.1,FALSE,3
"ML84DD","OK",FALSE,15.5,15.6,22.6,FALSE,3
"ML84DE","No Data",NA,NA,NA,NA,FALSE,0
"ML84DF","OK",FALSE,13.5,14.5,20.4,FALSE,18
"ML84DG","OK",FALSE,13.9,15.2,20,FALSE,7
"ML84DH","OK",FALSE,15.7,16.6,17.2,FALSE,6
"ML84DJ","OK",FALSE,14.9,16.2,20.4,FALSE,11
"ML84DL","OK",FALSE,14.9,16.2,19,FALSE,8
"ML84DN","OK",FALSE,12.2,12.8,20.1,FALSE,22
"ML84DP","OK",FALSE,10.9,10.3,18.1,FALSE,24
"ML84DQ","OK",FALSE,11.5,11.2,18.7,FALSE,15
"ML84DR","OK",FALSE,14,15.6,20,FALSE,36
"ML84DS","OK",FALSE,10.7,9.7,18.6,FALSE,22
"ML84DT","OK",TRUE,5.8,5.2,11.5,FALSE,12
"ML84DU","OK",FALSE,10.7,11.1,14.7,FALSE,17
"ML84DW","OK",FALSE,12.3,14.2,18.4,FALSE,11
"ML84DX","OK",FALSE,13.4,14.2,19.3,FALSE,22
"ML84DY","OK",FALSE,10.6,9.2,20,FALSE,16
"ML84DZ","OK",FALSE,10.8,11,18.5,FALSE,34
"ML84EA","No premises",NA,NA,NA,NA,FALSE,0
"ML84EB","OK",FALSE,9.8,9.7,15.1,FALSE,19
"ML84ED","OK",FALSE,8.5,8.7,13.9,FALSE,7
"ML84EE","OK",FALSE,9.9,10.5,16.4,FALSE,5
"ML84EF","OK",FALSE,7.4,7.6,12.1,FALSE,7
"ML84EG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"ML84EG","No Data",NA,NA,NA,NA,FALSE,0
"ML84EH","OK",FALSE,11.5,12.4,13.3,FALSE,4
"ML84EJ","OK",FALSE,9.1,9.4,16.1,FALSE,18
"ML84EL","OK",TRUE,11.2,11.1,16.6,FALSE,19
"ML84EN","OK",FALSE,13.9,14.3,19,FALSE,21
"ML84EP","OK",FALSE,13.8,14.2,18.6,FALSE,11
"ML84EQ","OK",TRUE,9,9.5,13.9,FALSE,16
"ML84EU","OK",FALSE,15.3,17.4,19.7,FALSE,4
"ML84EW","OK",FALSE,13,14,17.9,FALSE,7
"ML84EX","OK",FALSE,12.3,12.1,17.2,FALSE,14
"ML84EY","OK",TRUE,9.6,7.8,19.9,FALSE,19
"ML84EZ","OK",FALSE,11.9,11.5,18.9,FALSE,13
"ML84FD","OK",FALSE,12.1,13.3,18.6,FALSE,21
"ML84FE","OK",FALSE,7.7,8.1,10.8,FALSE,9
"ML84HA","OK",FALSE,14,14.3,23.1,FALSE,15
"ML84HD","OK",FALSE,10.5,12.7,18,FALSE,5
"ML84HE","OK",FALSE,11.8,12.2,17.8,FALSE,14
"ML84HJ","No premises",NA,NA,NA,NA,FALSE,0
"ML84HL","OK",FALSE,13.3,13.2,16.9,FALSE,6
"ML84HN","OK",TRUE,12.7,15.3,18.2,FALSE,22
