"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"N183AB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"N183AF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"N183AG","No premises",NA,NA,NA,NA,TRUE,0
"N183AH","OK",TRUE,5.5,6.3,10,FALSE,5
"N183AJ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"N183BA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"N183BB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"N183BD","OK",FALSE,5.6,4.5,10.2,FALSE,4
"N183BF","No Data",NA,NA,NA,NA,FALSE,0
"N183BH","OK",FALSE,7.3,6.6,18.2,TRUE,22
"N183BW","OK",FALSE,6.7,6.5,10.1,FALSE,7
"N183BY","OK",FALSE,6,5.8,9,FALSE,6
"N183DB","No premises",NA,NA,NA,NA,FALSE,0
"N183DJ","No premises",NA,NA,NA,NA,FALSE,0
"N183DW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"N183EA","Insufficient Data",NA,NA,NA,NA,FALSE,1
"N183HA","OK",TRUE,6.9,7.8,10.8,FALSE,3
"N183HF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"N183HQ","No Data",NA,NA,NA,NA,FALSE,0
"N183HT","OK",TRUE,4,3.9,6.2,FALSE,7
"N183HU","OK",TRUE,3.2,3.4,5.9,FALSE,5
"N183JR","No premises",NA,NA,NA,NA,FALSE,0
"N183PA","No Data",NA,NA,NA,NA,TRUE,0
"N183PD","OK",FALSE,7.1,7.4,8.3,FALSE,4
"N183PE","No premises",NA,NA,NA,NA,FALSE,0
"N183PH","Insufficient Data",NA,NA,NA,NA,FALSE,2
"N183PL","Insufficient Data",NA,NA,NA,NA,FALSE,2
"N183PN","OK",FALSE,6.3,6.7,6.9,TRUE,3
"N183PP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"N183PR","Insufficient Data",NA,NA,NA,NA,TRUE,2
"N183PS","No Data",NA,NA,NA,NA,FALSE,0
"N183PU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"N183QB","Insufficient Data",NA,NA,NA,NA,FALSE,1
"N183QH","OK",TRUE,6.6,6.6,14.1,FALSE,12
"N183QJ","No Data",NA,NA,NA,NA,FALSE,0
"N183QL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"N183QN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"N183QP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"N183QQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"N183QR","No Data",NA,NA,NA,NA,FALSE,0
"N183QS","Insufficient Data",NA,NA,NA,NA,FALSE,1
"N183QT","Insufficient Data",NA,NA,NA,NA,FALSE,1
"N183QU","OK",FALSE,12.9,12.9,12.9,FALSE,3
"N183QW","OK",TRUE,3.9,4.6,5.1,FALSE,6
"N183QX","OK",TRUE,3.2,3,6.7,FALSE,5
"N183SB","Insufficient Data",NA,NA,NA,NA,FALSE,1
