"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"N20BA","OK",TRUE,17.2,5.2,30,TRUE,16
"N20BB","No premises",NA,NA,NA,NA,TRUE,0
"N20BD","OK",TRUE,25.6,11.7,30,TRUE,5
"N20BE","OK",TRUE,14.7,4,30,TRUE,13
"N20BF","OK",FALSE,28.8,20.5,30,TRUE,10
"N20BG","No Data",NA,NA,NA,NA,TRUE,0
"N20BH","OK",FALSE,5.4,4.8,7,TRUE,3
"N20BJ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"N20BL","OK",FALSE,30,30,30,TRUE,4
"N20BN","OK",TRUE,22.9,10.4,30,TRUE,12
"N20BP","Insufficient Data",NA,NA,NA,NA,TRUE,1
"N20BS","OK",TRUE,16,3.4,30,TRUE,18
"N20BT","OK",FALSE,23.8,15,30,TRUE,33
"N20BU","OK",FALSE,30,30,30,TRUE,24
"N20BX","OK",TRUE,25.5,3.6,30,TRUE,24
"N20BY","Insufficient Data",NA,NA,NA,NA,TRUE,2
