"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"N20DD","OK",TRUE,3.8,3.4,7.6,FALSE,19
"N20DE","OK",TRUE,2.7,2.3,5.7,FALSE,18
"N20DF","OK",TRUE,2.9,2.6,5.2,FALSE,14
"N20DG","OK",TRUE,4.1,4.2,6.4,FALSE,12
"N20DH","OK",TRUE,4.5,3.8,7.9,FALSE,20
"N20DJ","OK",TRUE,3.8,3.9,7.8,FALSE,29
"N20DL","OK",FALSE,6.8,6.5,9.1,FALSE,7
"N20DN","OK",FALSE,6.7,6.7,8.2,TRUE,5
"N20DP","No premises",NA,NA,NA,NA,FALSE,0
"N20DQ","OK",TRUE,5.1,4.8,11.4,FALSE,20
"N20DR","OK",TRUE,5.5,6.2,7,FALSE,6
"N20DS","OK",TRUE,5.7,6,9.3,FALSE,21
"N20DT","OK",TRUE,5.8,6.1,8.6,FALSE,11
"N20DW","Insufficient Data",NA,NA,NA,NA,FALSE,1
