"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"N44QA","OK",FALSE,30,20,30,TRUE,60
"N44QB","OK",TRUE,25.3,13.1,30,TRUE,17
"N44QD","OK",FALSE,21.2,12.1,30,TRUE,13
"N44QH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"N44QH","No Data",NA,NA,NA,NA,TRUE,0
"N44QJ","OK",FALSE,27.3,20,30,TRUE,34
"N44QL","OK",TRUE,30,30,30,TRUE,33
"N44QP","OK",FALSE,30,16.6,30,TRUE,20
"N44QR","OK",FALSE,30,20,30,TRUE,17
"N44QS","OK",FALSE,19.5,11.2,30,TRUE,17
"N44QT","OK",FALSE,28.3,20,30,TRUE,22
"N44QU","OK",FALSE,30,30,30,TRUE,13
"N44QX","OK",FALSE,22.2,20,30,TRUE,22
