"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"N51QA","OK",FALSE,25.2,20,30,TRUE,14
"N51QB","OK",FALSE,24.9,20,30,TRUE,15
"N51QD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"N51QD","No Data",NA,NA,NA,NA,TRUE,0
"N51QE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"N51QE","No Data",NA,NA,NA,NA,TRUE,0
"N51QJ","OK",TRUE,17.5,15.8,30,TRUE,15
"N51QL","OK",FALSE,25,20.6,30,TRUE,12
"N51QN","OK",FALSE,30,30,30,TRUE,48
"N51QP","OK",FALSE,30,23.4,30,TRUE,56
"N51QZ","OK",FALSE,29.1,20,30,TRUE,45
