"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"N64LA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"N64LB","OK",TRUE,4.4,2.5,19.6,TRUE,9
"N64LH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"N64LL","No Data",NA,NA,NA,NA,TRUE,0
"N64LP","OK",TRUE,7.9,4.2,21.1,TRUE,8
"N64LR","OK",TRUE,5,3.5,20.4,TRUE,10
"N64LS","OK",FALSE,3.5,3.3,4,TRUE,3
"N64LT","OK",TRUE,20.5,20,30,TRUE,29
"N64LU","OK",FALSE,15.2,5.8,30,TRUE,28
"N64LX","OK",TRUE,17,20,30,TRUE,17
"N64LY","OK",TRUE,18.7,4.3,30,TRUE,17
"N64LZ","No premises",NA,NA,NA,NA,FALSE,0
