"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"N76RA","OK",TRUE,20.1,17.1,30,TRUE,42
"N76RB","OK",FALSE,30,30,30,TRUE,8
"N76RD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"N76RE","OK",FALSE,26.1,20,30,TRUE,32
"N76RG","OK",FALSE,23.4,19.7,30,TRUE,39
"N76RN","OK",FALSE,30,30,30,TRUE,7
"N76RP","OK",TRUE,28.9,26.6,30,TRUE,8
"N76RQ","OK",FALSE,30,20.7,30,TRUE,5
"N76RR","OK",FALSE,30,20.1,30,TRUE,37
"N76RS","OK",FALSE,22.1,19.4,30,TRUE,33
"N76RT","OK",FALSE,21.8,19.4,30,TRUE,29
"N76RU","OK",FALSE,23.7,20,30,TRUE,35
"N76RX","OK",FALSE,22.3,20,30,TRUE,23
"N76RY","OK",FALSE,25.6,21.4,30,TRUE,37
"N76RZ","OK",FALSE,25.7,20,30,TRUE,41
