"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"N87PB","OK",FALSE,17.7,11.8,30,TRUE,20
"N87PD","OK",TRUE,19.1,9.5,30,TRUE,9
"N87PF","OK",TRUE,17.6,8.6,30,TRUE,36
"N87PG","OK",FALSE,28.6,18,30,TRUE,42
"N87PH","OK",TRUE,5.4,3.8,10,FALSE,7
"N87PJ","OK",FALSE,22.3,15.3,30,TRUE,41
"N87PL","OK",TRUE,19.2,6.4,30,TRUE,5
"N87PN","OK",TRUE,8.6,8.6,22.4,TRUE,22
"N87PP","OK",FALSE,7.7,8.3,9.6,TRUE,12
"N87PR","OK",FALSE,14.3,8.7,30,TRUE,12
"N87PS","OK",FALSE,13.4,7.7,30,TRUE,13
"N87PT","OK",FALSE,8.4,7.6,16.4,TRUE,17
"N87PU","OK",FALSE,9.3,9.6,11.6,FALSE,16
"N87PW","OK",FALSE,9.1,9.2,15,TRUE,13
"N87PX","OK",FALSE,8.4,8.1,13.4,FALSE,9
"N87PY","OK",FALSE,8.2,8.3,15.4,TRUE,6
"N87PZ","OK",FALSE,12.8,8.3,30,TRUE,9
