"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"N99JA","OK",TRUE,24.4,20,30,TRUE,14
"N99JD","OK",FALSE,23.7,11.3,30,TRUE,19
"N99JE","OK",TRUE,17,6.4,30,TRUE,9
"N99JF","OK",FALSE,22.1,20,30,TRUE,10
"N99JG","OK",FALSE,24.1,9.2,30,TRUE,19
"N99JH","OK",FALSE,23.9,25,30,TRUE,7
"N99JJ","OK",TRUE,30,13.1,30,TRUE,11
"N99JN","OK",FALSE,30,30,30,TRUE,27
"N99JP","OK",FALSE,30,30,30,TRUE,21
"N99JQ","OK",FALSE,30,30,30,TRUE,11
"N99JR","OK",FALSE,28.1,18,30,TRUE,14
"N99JS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"N99JT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"N99JU","OK",FALSE,30,20,30,TRUE,26
"N99JW","OK",FALSE,28.6,16.4,30,TRUE,17
"N99JX","OK",FALSE,20.6,15.3,30,TRUE,11
"N99JY","OK",FALSE,16.8,12.9,30,TRUE,25
"N99JZ","OK",FALSE,23.2,18.3,30,TRUE,3
