"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"NE17AE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NE17AE","No Data",NA,NA,NA,NA,TRUE,0
"NE17AF","OK",TRUE,7.7,7.8,14,TRUE,9
"NE17AG","OK",TRUE,12.1,8.1,21.3,TRUE,11
"NE17AL","Insufficient Data",NA,NA,NA,NA,FALSE,1
"NE17AS","No premises",NA,NA,NA,NA,TRUE,0
"NE17AT","Insufficient Data",NA,NA,NA,NA,FALSE,2
"NE17BH","No premises",NA,NA,NA,NA,FALSE,0
"NE17BJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NE17BJ","No Data",NA,NA,NA,NA,FALSE,0
"NE17DA","No premises",NA,NA,NA,NA,FALSE,0
"NE17DE","OK",TRUE,14.6,16.7,22.9,TRUE,33
"NE17DF","OK",TRUE,10.4,8.1,22,TRUE,17
"NE17DG","OK",TRUE,8.7,8.1,16.9,FALSE,4
"NE17DQ","OK",FALSE,13.8,14.4,18.6,TRUE,9
"NE17EL","No premises",NA,NA,NA,NA,FALSE,0
"NE17JB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NE17JB","No Data",NA,NA,NA,NA,TRUE,0
"NE17JD","OK",TRUE,10.2,8.1,19.7,FALSE,5
"NE17JF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NE17JF","No Data",NA,NA,NA,NA,FALSE,0
"NE17JG","OK",FALSE,15.1,16.8,20.9,TRUE,9
"NE17PF","OK",TRUE,10.1,8.1,20.9,TRUE,7
"NE17PG","OK",TRUE,11,11.7,17.6,TRUE,9
"NE17PQ","OK",FALSE,17.9,19.5,23.7,TRUE,13
"NE17PR","No premises",NA,NA,NA,NA,FALSE,0
"NE17PS","No premises",NA,NA,NA,NA,FALSE,0
"NE17PW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NE17PW","No Data",NA,NA,NA,NA,FALSE,0
"NE17QD","No premises",NA,NA,NA,NA,FALSE,0
"NE17RA","OK",FALSE,10.8,11.5,15.1,FALSE,14
"NE17RH","No premises",NA,NA,NA,NA,TRUE,0
"NE17RN","Insufficient Data",NA,NA,NA,NA,TRUE,1
"NE17RQ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"NE17RR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NE17RR","No Data",NA,NA,NA,NA,FALSE,0
"NE17RS","No premises",NA,NA,NA,NA,TRUE,0
"NE17RT","No Data",NA,NA,NA,NA,TRUE,0
"NE17RU","No premises",NA,NA,NA,NA,TRUE,0
"NE17RW","OK",FALSE,17.9,17.9,19.3,TRUE,3
"NE17RX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NE17RX","No Data",NA,NA,NA,NA,FALSE,0
"NE17RY","OK",FALSE,10.5,10.5,12.8,TRUE,3
"NE17RZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NE17RZ","No Data",NA,NA,NA,NA,TRUE,0
"NE17UG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NE17UG","No Data",NA,NA,NA,NA,FALSE,0
"NE17XD","OK",FALSE,10.6,11.2,17.1,FALSE,10
"NE17XE","No premises",NA,NA,NA,NA,FALSE,0
"NE17XF","OK",FALSE,13.4,13,15.6,FALSE,4
"NE17XG","OK",FALSE,13.5,14.1,18.6,FALSE,7
"NE17XJ","OK",TRUE,9.4,8.1,19.1,FALSE,17
