"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"NG12AA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NG12AA","No Data",NA,NA,NA,NA,FALSE,0
"NG12AB","OK",FALSE,15.7,14.3,20,FALSE,3
"NG12AD","OK",FALSE,10.8,8.1,16.7,FALSE,5
"NG12AE","OK",FALSE,11.7,9.7,18.4,FALSE,7
"NG12AG","OK",TRUE,12.4,15,20,FALSE,9
"NG12AN","Insufficient Data",NA,NA,NA,NA,FALSE,2
"NG12AP","OK",FALSE,14.6,16.2,18,FALSE,4
"NG12AS","OK",FALSE,11.4,11.7,20.6,FALSE,11
"NG12AU","No premises",NA,NA,NA,NA,FALSE,0
"NG12AY","No Data",NA,NA,NA,NA,FALSE,0
"NG12BH","OK",TRUE,9.5,8.1,18.3,TRUE,3
"NG12BL","No Data",NA,NA,NA,NA,FALSE,0
"NG12BN","No premises",NA,NA,NA,NA,FALSE,0
"NG12BP","OK",FALSE,8.7,8.7,9.4,FALSE,4
"NG12BS","No premises",NA,NA,NA,NA,TRUE,0
"NG12BT","No premises",NA,NA,NA,NA,FALSE,0
"NG12BX","No premises",NA,NA,NA,NA,TRUE,0
"NG12BY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"NG12DA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NG12DA","No Data",NA,NA,NA,NA,TRUE,0
"NG12DB","OK",FALSE,12.7,12.7,17.6,FALSE,3
"NG12DD","Insufficient Data",NA,NA,NA,NA,FALSE,2
"NG12DH","OK",FALSE,8.5,7.9,10.6,FALSE,5
"NG12DP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"NG12DR","Insufficient Data",NA,NA,NA,NA,FALSE,1
"NG12DS","No premises",NA,NA,NA,NA,FALSE,0
"NG12DT","No premises",NA,NA,NA,NA,FALSE,0
"NG12DZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NG12DZ","No Data",NA,NA,NA,NA,FALSE,0
"NG12EA","No Data",NA,NA,NA,NA,FALSE,0
"NG12EB","Insufficient Data",NA,NA,NA,NA,FALSE,1
"NG12ED","Insufficient Data",NA,NA,NA,NA,TRUE,1
"NG12EG","OK",FALSE,10.9,10.1,15.7,FALSE,6
"NG12EH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"NG12EJ","No premises",NA,NA,NA,NA,FALSE,0
"NG12EN","No premises",NA,NA,NA,NA,FALSE,0
"NG12ET","No Data",NA,NA,NA,NA,FALSE,0
"NG12EW","OK",FALSE,13.5,15.8,18.4,FALSE,5
"NG12EX","Insufficient Data",NA,NA,NA,NA,FALSE,1
"NG12FS","OK",FALSE,18.8,18.8,18.8,FALSE,3
"NG12FZ","OK",FALSE,9.8,10.1,16.9,FALSE,8
"NG12GB","OK",TRUE,7,7.9,12.7,FALSE,15
"NG12GF","No premises",NA,NA,NA,NA,FALSE,0
"NG12GH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NG12GH","No Data",NA,NA,NA,NA,TRUE,0
"NG12GJ","Insufficient Data",NA,NA,NA,NA,FALSE,1
"NG12GN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"NG12GP","No Data",NA,NA,NA,NA,TRUE,0
"NG12GQ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"NG12GR","OK",TRUE,7.2,8.1,14.8,FALSE,5
"NG12GS","OK",FALSE,8.1,8.1,8.1,FALSE,3
"NG12HA","No Data",NA,NA,NA,NA,FALSE,0
"NG12HB","No Data",NA,NA,NA,NA,FALSE,0
"NG12HG","No Data",NA,NA,NA,NA,FALSE,0
"NG12HL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NG12HL","No Data",NA,NA,NA,NA,FALSE,0
"NG12HN","OK",TRUE,4.3,3.6,9.3,TRUE,6
"NG12HU","Insufficient Data",NA,NA,NA,NA,TRUE,2
"NG12HW","Insufficient Data",NA,NA,NA,NA,FALSE,2
"NG12JD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NG12JD","No Data",NA,NA,NA,NA,FALSE,0
"NG12JF","OK",FALSE,13.4,13.5,16.9,FALSE,3
"NG12JG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"NG12JJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NG12JJ","No Data",NA,NA,NA,NA,FALSE,0
"NG12JP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
