"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"NG86AB","OK",FALSE,30,25,30,TRUE,6
"NG86AD","OK",TRUE,12,4.3,30,TRUE,6
"NG86AE","OK",TRUE,14.8,13,30,TRUE,15
"NG86AF","OK",TRUE,24.4,30,30,TRUE,15
"NG86AJ","No premises",NA,NA,NA,NA,TRUE,0
"NG86AL","No premises",NA,NA,NA,NA,TRUE,0
"NG86AN","OK",FALSE,17.9,20,20,TRUE,5
"NG86AQ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"NG86AR","No Data",NA,NA,NA,NA,TRUE,0
"NG86AS","OK",TRUE,7.7,6.9,19,TRUE,9
"NG86AT","OK",TRUE,5.3,5.4,8.1,FALSE,5
"NG86AU","OK",TRUE,4.8,5.4,7.7,TRUE,4
"NG86AW","No premises",NA,NA,NA,NA,FALSE,0
"NG86AX","OK",FALSE,7.3,7.6,7.8,TRUE,5
"NG86AZ","No premises",NA,NA,NA,NA,FALSE,0
"NG86BA","OK",TRUE,11.1,12.9,17.1,FALSE,5
"NG86BG","OK",FALSE,30,30,30,TRUE,21
"NG86BH","OK",FALSE,12.5,7,30,TRUE,23
"NG86BJ","OK",TRUE,6.5,5.2,20.3,TRUE,20
"NG86BL","OK",FALSE,22.2,20,30,TRUE,15
"NG86BN","OK",FALSE,23.7,8.2,30,TRUE,15
"NG86BP","OK",TRUE,26,20,30,TRUE,24
"NG86BQ","OK",FALSE,16.8,7,30,TRUE,35
"NG86BS","OK",FALSE,17.5,7.2,30,TRUE,19
"NG86BT","OK",TRUE,30,15.7,30,TRUE,16
"NG86BU","OK",FALSE,30,20,30,TRUE,27
"NG86BW","OK",TRUE,27.7,20,30,TRUE,23
"NG86BX","OK",TRUE,30,30,30,TRUE,12
"NG86BY","OK",TRUE,7.7,7,20,TRUE,10
"NG86BZ","OK",FALSE,29.4,20,30,TRUE,15
"NG86DA","OK",FALSE,20.2,8.8,30,TRUE,13
"NG86DB","OK",TRUE,24,20,30,TRUE,22
"NG86DD","OK",TRUE,30,25,30,TRUE,19
"NG86DE","OK",FALSE,22.8,11.2,30,TRUE,29
"NG86DF","OK",TRUE,30,20,30,TRUE,19
"NG86DG","OK",FALSE,30,30,30,TRUE,11
"NG86DH","OK",FALSE,20.5,20,30,TRUE,32
"NG86DJ","OK",FALSE,17.9,8.2,30,TRUE,29
"NG86DL","OK",TRUE,20.1,20,30,TRUE,23
"NG86DP","No premises",NA,NA,NA,NA,FALSE,0
"NG86DR","No premises",NA,NA,NA,NA,FALSE,0
"NG86DU","OK",TRUE,22.2,25,30,TRUE,26
"NG86DW","OK",FALSE,16.9,14.7,30,TRUE,8
"NG86DX","OK",TRUE,25.9,20,30,TRUE,22
"NG86DY","OK",FALSE,30,25,30,TRUE,25
"NG86DZ","OK",FALSE,30,30,30,TRUE,12
"NG86EA","OK",FALSE,18.2,20,30,TRUE,5
"NG86EB","OK",FALSE,23.9,20,30,TRUE,26
"NG86ED","OK",FALSE,22.6,20,30,TRUE,27
"NG86EE","OK",FALSE,30,30,30,TRUE,13
"NG86EF","OK",TRUE,15.7,8.2,30,TRUE,20
