"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"NN297AA","OK",TRUE,21,4.7,30,TRUE,31
"NN297AB","OK",TRUE,21.3,20,30,TRUE,31
"NN297AD","OK",TRUE,4.2,5.4,5.6,FALSE,3
"NN297AE","OK",FALSE,4.4,4.4,5.7,FALSE,5
"NN297AG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NN297AH","OK",TRUE,22,24.3,30,TRUE,9
"NN297AJ","OK",TRUE,20.3,30,30,TRUE,7
"NN297AL","Insufficient Data",NA,NA,NA,NA,TRUE,2
"NN297AN","OK",TRUE,10.1,2.9,30,TRUE,5
"NN297AP","OK",TRUE,28.8,30,30,TRUE,23
"NN297AQ","OK",TRUE,20.2,20,30,TRUE,11
"NN297AR","OK",TRUE,2.3,2.2,4,TRUE,9
"NN297AS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"NN297AT","OK",TRUE,28.5,20,30,TRUE,29
"NN297AU","OK",TRUE,21.6,20,30,TRUE,35
"NN297AW","OK",TRUE,30,30,30,TRUE,16
"NN297AX","OK",TRUE,24,20,30,TRUE,17
"NN297AY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"NN297AZ","OK",TRUE,21.5,20,30,TRUE,10
"NN297BA","OK",TRUE,28.3,30,30,TRUE,37
"NN297BB","OK",TRUE,18.9,6.6,30,TRUE,30
"NN297BD","OK",TRUE,30,30,30,TRUE,21
"NN297BE","OK",TRUE,21.9,20,30,TRUE,22
"NN297BG","OK",TRUE,19.6,2.5,30,TRUE,20
"NN297BH","OK",TRUE,30,30,30,TRUE,25
"NN297BJ","OK",TRUE,30,30,30,TRUE,12
"NN297BL","OK",TRUE,27,20,30,TRUE,14
"NN297BN","OK",TRUE,30,30,30,TRUE,23
"NN297BP","OK",TRUE,29.5,20,30,TRUE,26
"NN297BQ","OK",TRUE,30,30,30,TRUE,10
"NN297BS","OK",TRUE,9.1,2.7,20,TRUE,6
"NN297BT","OK",TRUE,16,8.2,30,TRUE,11
"NN297BU","OK",TRUE,23.2,20,30,TRUE,31
"NN297BW","OK",TRUE,18.7,20,30,TRUE,28
"NN297BX","OK",TRUE,23.5,20,30,TRUE,10
"NN297BY","OK",TRUE,24.6,20,30,TRUE,13
"NN297BZ","OK",TRUE,18.3,20,30,TRUE,10
"NN297DA","OK",TRUE,25.4,20,30,TRUE,42
"NN297DD","OK",TRUE,20.7,16.3,30,TRUE,24
