"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"NN48AA","OK",FALSE,27.5,15.4,30,TRUE,20
"NN48AD","No premises",NA,NA,NA,NA,FALSE,0
"NN48AF","OK",FALSE,27.8,20,30,TRUE,16
"NN48AG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NN48AG","No Data",NA,NA,NA,NA,TRUE,0
"NN48AH","OK",FALSE,30,20,30,TRUE,14
"NN48AJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NN48AJ","No Data",NA,NA,NA,NA,TRUE,0
"NN48AL","OK",FALSE,20.9,20,30,TRUE,8
"NN48AN","OK",FALSE,18,19.9,30,TRUE,8
"NN48AP","OK",FALSE,27.5,20,30,TRUE,13
"NN48AQ","OK",FALSE,24.6,15,30,TRUE,27
"NN48AR","OK",TRUE,24.7,20,30,TRUE,16
"NN48AS","OK",FALSE,27.2,20.8,30,TRUE,8
"NN48AT","OK",FALSE,30,18.3,30,TRUE,15
"NN48AU","OK",FALSE,24.7,19.4,30,TRUE,23
"NN48AW","OK",FALSE,8.1,8.7,10.8,TRUE,4
"NN48AX","OK",FALSE,20.4,19.9,30,TRUE,18
"NN48AY","OK",TRUE,29,20,30,TRUE,32
"NN48AZ","OK",FALSE,27,20,30,TRUE,44
"NN48BA","OK",FALSE,30,18.7,30,TRUE,11
"NN48BB","OK",FALSE,30,20,30,TRUE,4
"NN48BD","OK",FALSE,30,20,30,TRUE,14
"NN48BE","Insufficient Data",NA,NA,NA,NA,TRUE,1
"NN48BG","No premises",NA,NA,NA,NA,FALSE,0
"NN48BH","No premises",NA,NA,NA,NA,TRUE,0
"NN48BJ","OK",FALSE,17.1,8.9,30,TRUE,15
"NN48BL","OK",TRUE,18.8,13.3,30,TRUE,25
"NN48BN","No premises",NA,NA,NA,NA,FALSE,0
"NN48BP","No Data",NA,NA,NA,NA,FALSE,0
"NN48BQ","No premises",NA,NA,NA,NA,FALSE,0
"NN48BS","OK",FALSE,13.9,10.6,30,TRUE,7
"NN48BT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NN48BT","No Data",NA,NA,NA,NA,FALSE,0
"NN48BU","No premises",NA,NA,NA,NA,FALSE,0
"NN48BW","No premises",NA,NA,NA,NA,FALSE,0
"NN48BX","OK",FALSE,18.1,10.2,30,TRUE,32
"NN48BY","OK",TRUE,12,7.6,30,TRUE,73
"NN48BZ","OK",FALSE,11.1,9.6,30,TRUE,21
"NN48DA","OK",FALSE,16.8,10.6,30,TRUE,9
"NN48DB","OK",FALSE,17.6,14.1,30,TRUE,16
"NN48DE","OK",FALSE,18,9.9,30,TRUE,8
"NN48DG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NN48DG","No Data",NA,NA,NA,NA,TRUE,0
"NN48DJ","OK",FALSE,12.1,11.1,30,TRUE,11
"NN48DL","OK",TRUE,24.6,12.5,30,TRUE,23
"NN48DN","OK",FALSE,21.3,12.2,30,TRUE,17
"NN48DP","OK",FALSE,30,20,30,TRUE,22
"NN48DQ","OK",FALSE,30,20,30,TRUE,29
"NN48DR","OK",FALSE,30,20,30,TRUE,17
"NN48DS","Insufficient Data",NA,NA,NA,NA,TRUE,1
"NN48DT","OK",FALSE,30,20,30,TRUE,47
"NN48DU","OK",TRUE,30,30,30,TRUE,24
"NN48DW","OK",FALSE,28.2,20,30,TRUE,27
"NN48DX","OK",FALSE,27.7,20,30,TRUE,34
"NN48DY","OK",FALSE,25.4,16.9,30,TRUE,37
"NN48DZ","OK",TRUE,26.1,20,30,TRUE,46
"NN48EA","OK",TRUE,30,20,30,TRUE,48
"NN48EB","OK",FALSE,30,30,30,TRUE,30
"NN48ED","OK",FALSE,26.9,20,30,TRUE,40
"NN48EE","OK",FALSE,27.6,20,30,TRUE,36
"NN48EL","OK",FALSE,17.7,9.4,30,TRUE,60
"NN48EN","OK",FALSE,23,13.8,30,TRUE,18
"NN48EQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NN48EQ","No Data",NA,NA,NA,NA,FALSE,0
"NN48ER","Insufficient Premises",NA,NA,NA,NA,TRUE,1
