"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"NP40AA","OK",TRUE,5.4,6,8,FALSE,10
"NP40AB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NP40AB","No Data",NA,NA,NA,NA,FALSE,0
"NP40AD","OK",FALSE,6.8,7.4,7.6,FALSE,5
"NP40AE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NP40AE","No Data",NA,NA,NA,NA,FALSE,0
"NP40AF","OK",FALSE,5.1,4.5,6.8,FALSE,3
"NP40AG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NP40AG","No Data",NA,NA,NA,NA,FALSE,0
"NP40AH","OK",FALSE,6.3,6.2,8.1,FALSE,13
"NP40AJ","OK",TRUE,7,7.6,8.1,FALSE,14
"NP40AL","OK",FALSE,7.2,7.5,8.1,FALSE,20
"NP40AN","OK",FALSE,5.4,5,7.6,FALSE,7
"NP40AP","OK",TRUE,6.6,7.6,8.1,FALSE,20
"NP40AQ","OK",FALSE,7.4,7.6,8.1,FALSE,11
"NP40AR","Insufficient Data",NA,NA,NA,NA,FALSE,1
"NP40AS","OK",TRUE,6.8,7.6,8.1,FALSE,25
"NP40AT","OK",FALSE,6.5,5.4,12.6,FALSE,7
"NP40AU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NP40AU","No Data",NA,NA,NA,NA,FALSE,0
"NP40AW","OK",FALSE,6.7,7.6,8.1,FALSE,15
"NP40AX","OK",FALSE,7.2,7.6,8.1,FALSE,24
"NP40AY","OK",FALSE,6.9,7.6,8.1,FALSE,8
"NP40AZ","OK",TRUE,6.5,7.4,8.1,FALSE,18
"NP40BA","Insufficient Data",NA,NA,NA,NA,FALSE,1
"NP40BB","OK",FALSE,5.9,6,8.1,FALSE,17
"NP40BD","OK",FALSE,7.1,7.6,8.1,FALSE,25
"NP40BE","OK",TRUE,6.2,6.8,8.1,FALSE,14
"NP40BG","OK",TRUE,5.6,6.8,8.1,FALSE,20
"NP40BH","OK",TRUE,6.1,6.8,8.1,FALSE,12
"NP40BJ","OK",FALSE,5.8,5.2,8.1,FALSE,3
"NP40BL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NP40BL","No Data",NA,NA,NA,NA,FALSE,0
"NP40BN","OK",FALSE,5.6,6.3,6.8,FALSE,4
"NP40BP","OK",FALSE,7.9,8.1,8.1,FALSE,15
"NP40BQ","OK",FALSE,7.5,8,8.1,FALSE,28
"NP40BR","OK",FALSE,7.2,7.6,8.1,FALSE,40
"NP40BS","OK",FALSE,7.4,7.6,8.1,FALSE,11
"NP40BT","No premises",NA,NA,NA,NA,FALSE,0
"NP40BW","OK",FALSE,7.2,7.6,8.1,FALSE,6
"NP40DA","OK",TRUE,6.9,5,30,TRUE,15
"NP40DE","OK",TRUE,5.4,4.4,30,TRUE,48
"NP40DF","OK",FALSE,5.5,3.4,30,TRUE,18
"NP40DG","OK",FALSE,15,6.6,30,TRUE,11
"NP40DQ","OK",TRUE,6.8,7.7,9.9,FALSE,4
"NP40EX","OK",TRUE,8.5,4.8,30,TRUE,44
"NP40EY","OK",TRUE,4.9,5,8.2,FALSE,20
"NP40EZ","OK",TRUE,4.6,4.9,7.1,FALSE,21
"NP40HA","OK",FALSE,7.6,7.6,8.1,FALSE,7
"NP40HB","OK",FALSE,7.6,7.5,8.1,FALSE,4
"NP40HD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NP40HD","No Data",NA,NA,NA,NA,FALSE,0
"NP40HE","OK",FALSE,6.4,7.6,8.1,FALSE,15
"NP40HF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NP40HF","No Data",NA,NA,NA,NA,FALSE,0
"NP40HG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NP40HG","No Data",NA,NA,NA,NA,FALSE,0
