"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"NR280AA","OK",TRUE,3.3,3.5,4.1,FALSE,14
"NR280AB","OK",TRUE,2,1.8,3.2,FALSE,6
"NR280AD","OK",TRUE,5.2,4.8,9.1,FALSE,21
"NR280AE","OK",FALSE,20.1,21.1,22.6,FALSE,8
"NR280AF","OK",FALSE,15.4,16.3,19.3,FALSE,6
"NR280AG","OK",TRUE,12.2,13.9,20.6,FALSE,10
"NR280AH","OK",TRUE,2.6,2.7,5.3,FALSE,9
"NR280AJ","OK",FALSE,10.6,8.1,18.8,FALSE,9
"NR280AL","OK",FALSE,18.7,19.5,21.5,FALSE,8
"NR280AN","OK",TRUE,5.2,6.3,8.1,FALSE,4
"NR280AP","OK",FALSE,16.8,16.5,22.1,FALSE,6
"NR280AQ","OK",TRUE,16.5,17.5,21.6,FALSE,34
"NR280AR","OK",FALSE,11.8,10.9,22.5,FALSE,6
"NR280AS","OK",FALSE,13.5,14.3,20.4,FALSE,17
"NR280AT","Insufficient Data",NA,NA,NA,NA,FALSE,2
"NR280AU","OK",TRUE,12.6,14,21.3,FALSE,13
"NR280AW","OK",FALSE,8.4,8.3,10.1,FALSE,4
"NR280AX","OK",TRUE,9.4,8.1,19.3,FALSE,13
"NR280AY","OK",FALSE,16.9,18.6,21.4,FALSE,6
"NR280AZ","OK",FALSE,13.3,11.3,22.4,FALSE,4
"NR280BA","OK",FALSE,16.8,17.8,20,FALSE,8
"NR280BB","OK",FALSE,13.8,15,16.7,FALSE,3
"NR280BD","OK",FALSE,11.7,10.9,17.3,FALSE,4
"NR280BE","OK",TRUE,12.8,13.8,22.8,FALSE,65
"NR280BF","OK",FALSE,11.3,12,19.7,FALSE,26
"NR280BG","OK",TRUE,10.6,10.9,20.1,FALSE,13
"NR280BH","OK",FALSE,15.7,17.7,23.1,FALSE,16
"NR280BJ","OK",TRUE,9.7,10.6,17.8,FALSE,3
"NR280BL","OK",TRUE,10.8,10.3,20,FALSE,36
"NR280BN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NR280BN","No Data",NA,NA,NA,NA,FALSE,0
"NR280BP","OK",FALSE,13.4,14.4,18.5,FALSE,15
"NR280BQ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"NR280BS","OK",FALSE,13.3,13.7,20.1,FALSE,10
"NR280BT","OK",TRUE,11.3,12.2,17.8,FALSE,24
"NR280BU","OK",FALSE,13,13,20.8,FALSE,14
"NR280BW","OK",FALSE,13.3,14.5,20,FALSE,20
"NR280BX","No premises",NA,NA,NA,NA,FALSE,0
"NR280BY","OK",FALSE,14.7,14.1,16.6,FALSE,3
"NR280BZ","OK",FALSE,13.9,16.8,17.9,FALSE,5
"NR280DA","OK",TRUE,14.9,17.1,22.7,FALSE,18
"NR280DB","OK",FALSE,13.9,14.8,21.3,FALSE,49
"NR280DD","OK",TRUE,8.9,8.1,19.9,FALSE,41
"NR280DE","OK",FALSE,12.4,12.3,20.8,FALSE,14
"NR280DF","OK",FALSE,13.1,14.1,17.2,FALSE,7
"NR280DG","OK",TRUE,8.6,8.9,13,FALSE,14
"NR280DH","OK",TRUE,10.1,11.4,16.2,FALSE,14
"NR280DJ","OK",FALSE,12.8,12.2,21.5,FALSE,12
"NR280DL","OK",FALSE,13.4,15.2,20,FALSE,29
"NR280DN","OK",FALSE,13.6,15,19,FALSE,17
"NR280DP","OK",TRUE,13.9,15.1,20.2,FALSE,34
"NR280DQ","OK",TRUE,9.3,8.7,16.7,FALSE,35
"NR280DR","No premises",NA,NA,NA,NA,FALSE,0
"NR280DS","OK",TRUE,13.1,15,21.4,FALSE,24
"NR280DU","OK",FALSE,16.6,18.5,21.3,FALSE,6
"NR280DW","OK",FALSE,17.6,18.2,19.5,FALSE,3
"NR280DX","OK",FALSE,14.2,14.3,21.1,FALSE,47
"NR280DY","OK",FALSE,15.1,18.2,21.3,FALSE,4
"NR280DZ","OK",FALSE,16.5,17.4,22.4,FALSE,20
"NR280EA","OK",FALSE,16.5,18,20.2,FALSE,19
"NR280EB","OK",FALSE,14.3,15.6,21.3,FALSE,32
"NR280ED","OK",FALSE,12.6,13.8,19,FALSE,17
"NR280EE","OK",TRUE,8.3,9.6,13.3,FALSE,14
"NR280EF","OK",FALSE,9.2,9.3,12.5,FALSE,5
"NR280EG","OK",FALSE,13.4,14.5,18.9,FALSE,16
"NR280EH","OK",FALSE,16.6,19.7,20.4,FALSE,5
"NR280EJ","OK",FALSE,10.1,9.7,20.1,FALSE,21
"NR280EL","OK",FALSE,17.8,18.7,20.2,FALSE,6
"NR280EN","OK",FALSE,6.4,7.3,9.7,FALSE,3
"NR280EP","OK",FALSE,16.2,18,20.5,FALSE,15
"NR280EQ","OK",FALSE,12.5,12.9,17,FALSE,4
"NR280ER","OK",TRUE,14.5,16.7,22,FALSE,12
"NR280ES","OK",FALSE,11.5,11.8,17.4,FALSE,15
"NR280ET","Insufficient Data",NA,NA,NA,NA,FALSE,2
"NR280EU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"NR280EW","OK",FALSE,9.1,8.2,14.2,FALSE,9
"NR280EX","OK",FALSE,14.1,14.3,19.6,FALSE,4
"NR280EY","OK",FALSE,16.7,18.3,20.6,FALSE,15
"NR280EZ","OK",TRUE,7.2,7.6,13.1,FALSE,14
"NR280FB","No Data",NA,NA,NA,NA,FALSE,0
"NR280FD","OK",FALSE,2.9,3.3,3.3,FALSE,3
"NR280FE","OK",FALSE,10.1,9.7,13.9,FALSE,3
"NR280FG","OK",TRUE,11.7,13.1,19.2,FALSE,30
"NR280GW","OK",TRUE,1.3,1.2,2.4,FALSE,7
"NR280HA","OK",FALSE,14.8,15.3,20.1,FALSE,11
"NR280HB","OK",FALSE,14.2,15,21.4,FALSE,24
