"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"NR78AA","OK",TRUE,17.2,20,30,TRUE,20
"NR78AB","No premises",NA,NA,NA,NA,TRUE,0
"NR78AD","OK",FALSE,5.1,5.4,7.1,TRUE,6
"NR78AE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NR78AE","No Data",NA,NA,NA,NA,TRUE,0
"NR78AF","OK",TRUE,9.3,5.4,30,TRUE,9
"NR78AG","OK",TRUE,17.2,5.1,30,TRUE,23
"NR78AH","OK",TRUE,18.7,20,30,TRUE,22
"NR78AJ","OK",TRUE,12.3,4.2,30,TRUE,10
"NR78AL","OK",FALSE,23.9,20,30,TRUE,7
"NR78AN","OK",TRUE,18.9,19.8,30,TRUE,26
"NR78AP","OK",FALSE,13.1,4.7,30,TRUE,4
"NR78AQ","OK",TRUE,25.8,20,30,TRUE,15
"NR78AR","OK",TRUE,18.1,5.6,30,TRUE,15
"NR78AS","OK",TRUE,14.6,5.5,30,TRUE,27
"NR78AT","OK",TRUE,14.2,5,30,TRUE,26
"NR78AU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NR78AU","No Data",NA,NA,NA,NA,TRUE,0
"NR78AW","OK",FALSE,16.4,5.8,30,TRUE,36
"NR78AX","OK",TRUE,2.9,3,4.4,TRUE,6
"NR78AY","OK",TRUE,20.8,20,30,TRUE,22
"NR78AZ","OK",TRUE,8.3,4.4,30,TRUE,6
"NR78BA","OK",FALSE,29.2,20,30,TRUE,15
"NR78BB","OK",TRUE,6,3.3,20,TRUE,5
"NR78BD","OK",FALSE,11.2,5.1,30,TRUE,16
"NR78BE","OK",FALSE,18,5,30,TRUE,12
"NR78BG","OK",TRUE,14.4,4,30,TRUE,13
"NR78BH","OK",TRUE,8.2,4.2,30,TRUE,31
"NR78BJ","OK",TRUE,17.9,4.6,30,TRUE,19
"NR78BL","OK",TRUE,16.3,3.5,30,TRUE,24
"NR78BN","OK",TRUE,20.9,12,30,TRUE,23
"NR78BP","OK",TRUE,11.4,2.2,30,TRUE,11
"NR78BQ","OK",FALSE,21.6,20,30,TRUE,7
"NR78BS","OK",TRUE,14.8,4.1,30,TRUE,11
"NR78BT","OK",TRUE,22,3.9,30,TRUE,6
"NR78BU","OK",TRUE,14.7,3.9,30,TRUE,9
"NR78BW","OK",FALSE,22.9,20,30,TRUE,13
"NR78BX","OK",TRUE,13.6,3.8,30,TRUE,11
"NR78BY","OK",TRUE,30,25,30,TRUE,14
"NR78BZ","OK",TRUE,24.9,20,30,TRUE,15
"NR78DA","OK",TRUE,17.9,5.3,30,TRUE,38
