"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"NW14AA","OK",FALSE,9.4,8.9,20,FALSE,10
"NW14AB","OK",FALSE,13.5,7.8,30,FALSE,11
"NW14AD","OK",FALSE,8.9,7.8,12.6,FALSE,5
"NW14AE","OK",TRUE,11.3,8.1,30,FALSE,17
"NW14AF","No premises",NA,NA,NA,NA,FALSE,0
"NW14AG","No premises",NA,NA,NA,NA,FALSE,0
"NW14AH","No premises",NA,NA,NA,NA,FALSE,0
"NW14AJ","No premises",NA,NA,NA,NA,FALSE,0
"NW14AL","No premises",NA,NA,NA,NA,FALSE,0
"NW14AN","OK",FALSE,17.8,13.6,30,TRUE,4
"NW14AP","Insufficient Data",NA,NA,NA,NA,TRUE,2
"NW14AQ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"NW14AR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NW14AR","No Data",NA,NA,NA,NA,TRUE,0
"NW14AS","OK",FALSE,8.4,8.2,12.9,FALSE,12
"NW14AT","OK",FALSE,8.4,7.6,15,TRUE,4
"NW14AU","OK",FALSE,11.4,8.9,30,TRUE,19
"NW14AW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NW14AW","No Data",NA,NA,NA,NA,TRUE,0
"NW14AX","OK",TRUE,9.5,8.9,30,TRUE,42
"NW14AY","No premises",NA,NA,NA,NA,FALSE,0
"NW14AZ","No premises",NA,NA,NA,NA,FALSE,0
"NW14BA","OK",FALSE,11.3,11.7,16.8,TRUE,31
"NW14BB","OK",FALSE,11,10.1,16.4,TRUE,9
"NW14BD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NW14BD","No Data",NA,NA,NA,NA,TRUE,0
"NW14BE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NW14BE","No Data",NA,NA,NA,NA,TRUE,0
"NW14BG","OK",FALSE,29.4,20,30,TRUE,13
"NW14BT","OK",FALSE,11.7,9,30,TRUE,30
"NW14BU","OK",TRUE,20.5,16.1,30,TRUE,34
"NW14BX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NW14BX","No Data",NA,NA,NA,NA,FALSE,0
"NW14BY","OK",FALSE,10.4,11.1,16.4,TRUE,35
"NW14DA","OK",FALSE,12.1,12.3,13.3,TRUE,6
"NW14DB","OK",FALSE,13,13.8,18.7,TRUE,35
"NW14DD","OK",FALSE,23.2,14.6,30,TRUE,6
"NW14DE","OK",FALSE,14.9,13.3,30,TRUE,52
"NW14DF","OK",FALSE,16.8,19.7,22.2,TRUE,5
"NW14DH","OK",FALSE,28,14.5,30,TRUE,36
"NW14DJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NW14DJ","No Data",NA,NA,NA,NA,TRUE,0
"NW14DN","No premises",NA,NA,NA,NA,FALSE,0
"NW14DP","No premises",NA,NA,NA,NA,FALSE,0
"NW14DQ","OK",TRUE,30,10.7,30,TRUE,10
"NW14DR","No premises",NA,NA,NA,NA,FALSE,0
"NW14DS","Insufficient Data",NA,NA,NA,NA,FALSE,1
"NW14DT","OK",FALSE,24.2,17.9,30,TRUE,5
"NW14DX","OK",TRUE,10.7,7.8,30,TRUE,11
"NW14DY","OK",FALSE,14.1,14,19.2,TRUE,8
"NW14EA","OK",FALSE,30,20.2,30,TRUE,18
"NW14EB","OK",FALSE,20.5,17.5,30,TRUE,51
"NW14ED","OK",FALSE,15.9,15.6,30,TRUE,7
"NW14EE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"NW14EE","No Data",NA,NA,NA,NA,TRUE,0
"NW14EG","OK",FALSE,22.8,16.1,30,TRUE,32
