"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"NW19AA","OK",TRUE,18,13.8,30,TRUE,29
"NW19AB","OK",FALSE,28.8,30,30,TRUE,35
"NW19AD","OK",FALSE,11.4,13.8,13.9,TRUE,3
"NW19AE","OK",FALSE,14.9,11,30,TRUE,27
"NW19AG","OK",TRUE,24.1,15.8,30,TRUE,10
"NW19AH","OK",FALSE,30,17.6,30,TRUE,16
"NW19AJ","OK",FALSE,30,30,30,TRUE,8
"NW19AL","OK",FALSE,19.3,19,30,TRUE,6
"NW19AN","OK",FALSE,30,30,30,TRUE,16
"NW19AP","OK",FALSE,21.6,15.4,30,TRUE,15
"NW19AQ","OK",TRUE,15.8,7.9,30,TRUE,33
"NW19AR","OK",FALSE,30,30,30,TRUE,25
"NW19AS","OK",FALSE,26.3,18.8,30,TRUE,40
"NW19AT","OK",TRUE,20.1,8.3,30,TRUE,13
"NW19AU","OK",FALSE,19.2,15.9,30,TRUE,12
"NW19AW","OK",FALSE,17.4,9.9,30,TRUE,38
"NW19AX","OK",FALSE,30,20,30,TRUE,27
"NW19AY","OK",TRUE,28.7,20,30,TRUE,20
"NW19AZ","OK",FALSE,10.5,10,15.4,TRUE,4
"NW19BA","No premises",NA,NA,NA,NA,FALSE,0
"NW19BB","No premises",NA,NA,NA,NA,TRUE,0
"NW19BD","OK",FALSE,9.7,9.3,13.2,TRUE,8
"NW19BG","OK",FALSE,24.5,9.6,30,TRUE,6
"NW19BH","OK",FALSE,30,20,30,TRUE,9
"NW19BJ","OK",TRUE,30,20,30,TRUE,57
"NW19BL","OK",FALSE,29.5,18.6,30,TRUE,13
"NW19BP","OK",FALSE,29.5,20,30,TRUE,25
"NW19BR","OK",FALSE,24.6,20,30,TRUE,3
"NW19BS","OK",FALSE,28,20,30,TRUE,46
"NW19BT","OK",FALSE,29.8,20,30,TRUE,31
"NW19BU","OK",FALSE,30,11.8,30,TRUE,14
"NW19BX","OK",TRUE,30,20,30,TRUE,19
"NW19BY","OK",FALSE,19.8,19.2,30,TRUE,15
"NW19DA","OK",FALSE,30,25,30,TRUE,10
"NW19DB","OK",FALSE,30,21.7,30,TRUE,8
"NW19DF","Insufficient Data",NA,NA,NA,NA,TRUE,1
"NW19DG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"NW19DG","No Data",NA,NA,NA,NA,FALSE,0
"NW19DL","Insufficient Data",NA,NA,NA,NA,TRUE,1
"NW19DP","OK",TRUE,14.1,16.4,30,TRUE,15
"NW19DR","OK",TRUE,15.3,12.6,30,TRUE,26
"NW19DT","OK",FALSE,30,20,30,TRUE,8
"NW19DU","OK",FALSE,20.2,17.9,30,TRUE,6
"NW19DY","OK",FALSE,27.9,20,30,TRUE,45
"NW19EA","OK",TRUE,14.4,10,30,TRUE,13
"NW19EE","OK",FALSE,22.9,20,30,TRUE,22
"NW19EG","OK",FALSE,28.6,20,30,TRUE,25
"NW19EH","OK",FALSE,30,21.3,30,TRUE,23
"NW19EJ","OK",FALSE,28,18.9,30,TRUE,17
"NW19EL","OK",FALSE,26.1,21.5,30,TRUE,19
"NW19EN","OK",FALSE,18.8,19.6,19.7,TRUE,3
"NW19EU","OK",FALSE,20.9,20.4,30,TRUE,27
"NW19EX","OK",TRUE,26.5,19,30,TRUE,23
"NW19GB","No premises",NA,NA,NA,NA,FALSE,0
