"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"OL25AA","Insufficient Data",NA,NA,NA,NA,TRUE,2
"OL25AB","OK",FALSE,30,30,30,TRUE,5
"OL25AD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"OL25AD","No Data",NA,NA,NA,NA,TRUE,0
"OL25AE","OK",FALSE,17,5.8,30,TRUE,6
"OL25AF","OK",FALSE,30,30,30,TRUE,15
"OL25AG","OK",TRUE,23.7,6.5,30,TRUE,12
"OL25AH","OK",FALSE,17.8,7.4,30,TRUE,8
"OL25AJ","OK",TRUE,28.1,3.9,30,TRUE,3
"OL25AL","OK",FALSE,19.2,4.5,30,TRUE,12
"OL25AN","OK",FALSE,26.7,20,30,TRUE,10
"OL25AP","OK",FALSE,23.2,6.9,30,TRUE,6
"OL25AQ","OK",FALSE,27.2,20,30,TRUE,15
"OL25AR","OK",FALSE,30,30,30,TRUE,5
"OL25AS","OK",FALSE,25.9,24.5,30,TRUE,8
"OL25AT","OK",FALSE,14.3,9.5,30,TRUE,5
"OL25AU","OK",TRUE,23.4,6.4,30,TRUE,22
"OL25AW","Insufficient Data",NA,NA,NA,NA,TRUE,2
"OL25AX","OK",TRUE,28.4,8.6,30,TRUE,13
"OL25AY","OK",TRUE,19.6,20,30,TRUE,5
"OL25AZ","OK",FALSE,23.3,20,30,TRUE,20
"OL25BA","OK",TRUE,8.4,4.1,20,TRUE,3
"OL25BB","OK",TRUE,22.5,20,30,TRUE,14
"OL25BD","OK",TRUE,29,20,30,TRUE,10
"OL25BE","OK",TRUE,26.2,30,30,TRUE,15
"OL25BG","OK",FALSE,30,30,30,TRUE,10
"OL25BH","OK",FALSE,11.1,6.6,30,TRUE,10
"OL25BJ","OK",FALSE,27.6,30,30,TRUE,6
"OL25BL","OK",TRUE,8.5,3.9,30,TRUE,6
"OL25BN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"OL25BP","OK",TRUE,20,24.4,30,TRUE,18
"OL25BQ","OK",TRUE,18,7.8,30,TRUE,10
"OL25BS","OK",TRUE,11.5,4.1,30,TRUE,5
"OL25BT","OK",TRUE,30,26,30,TRUE,8
"OL25BU","OK",TRUE,28.7,20,30,TRUE,30
"OL25BW","OK",TRUE,13.5,4.5,30,TRUE,13
"OL25BX","OK",FALSE,14.5,12,30,TRUE,4
"OL25BY","OK",TRUE,14.3,5,30,TRUE,33
"OL25DA","No premises",NA,NA,NA,NA,FALSE,0
"OL25DB","OK",TRUE,12.2,4.2,30,TRUE,18
"OL25DD","OK",TRUE,23.5,6.6,30,TRUE,34
"OL25DE","OK",TRUE,30,30,30,TRUE,19
"OL25DF","OK",TRUE,22,16.1,30,TRUE,13
"OL25DG","OK",TRUE,9.9,3.9,30,TRUE,6
"OL25DH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"OL25DH","No Data",NA,NA,NA,NA,TRUE,0
"OL25DJ","OK",FALSE,23,20,30,TRUE,9
"OL25DL","Insufficient Data",NA,NA,NA,NA,TRUE,1
"OL25DN","OK",TRUE,23.3,20,30,TRUE,7
