"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"OX73AA","OK",FALSE,17.7,19.8,23.5,FALSE,6
"OX73AB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"OX73AD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"OX73AE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"OX73AF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"OX73AG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"OX73AH","OK",TRUE,4.1,4,7.6,FALSE,9
"OX73AJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"OX73AL","OK",FALSE,3.4,2.8,6.2,FALSE,7
"OX73AN","OK",TRUE,2.7,2.8,3.4,FALSE,6
"OX73AP","OK",TRUE,6.2,7.4,8.1,FALSE,20
"OX73AQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"OX73AR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"OX73AS","OK",FALSE,7.8,7.6,8.1,FALSE,5
"OX73AT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"OX73AU","OK",TRUE,6.7,7.6,8.1,FALSE,38
"OX73AW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"OX73AX","OK",FALSE,7.1,7.6,8.1,FALSE,9
"OX73AY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"OX73AZ","OK",TRUE,6.1,7.6,8.1,FALSE,17
"OX73BA","OK",FALSE,6.5,7.6,8.1,FALSE,25
"OX73BE","No premises",NA,NA,NA,NA,FALSE,0
"OX73BG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"OX73BJ","OK",FALSE,5.7,5.7,7.4,FALSE,4
"OX73BL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"OX73BN","OK",TRUE,3.5,3.4,7.1,FALSE,9
"OX73BP","OK",TRUE,4.3,4.5,6.8,FALSE,13
"OX73BS","OK",TRUE,5.1,5.7,7.6,FALSE,36
"OX73BT","OK",TRUE,5.3,5.7,8.1,FALSE,28
"OX73BU","OK",FALSE,5.7,5.8,6.8,FALSE,8
"OX73BW","OK",FALSE,3.7,3.6,5.1,FALSE,6
"OX73BX","OK",FALSE,2.5,2.5,2.8,FALSE,3
"OX73BY","OK",TRUE,4.6,4.9,8.1,FALSE,17
"OX73BZ","OK",TRUE,2.9,2.4,7.1,FALSE,6
"OX73DA","OK",TRUE,5.7,7.1,8.1,FALSE,45
"OX73DB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"OX73DD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"OX73DE","OK",FALSE,6.4,6.8,8.1,FALSE,8
"OX73DF","OK",FALSE,6.6,7.2,8.1,FALSE,16
"OX73DG","OK",FALSE,5.6,6.5,7.6,FALSE,6
