"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"PE68AA","OK",FALSE,14.2,13.7,21.6,FALSE,4
"PE68AB","OK",FALSE,16.5,18.1,22.3,TRUE,21
"PE68AD","OK",FALSE,13.5,14.7,19.4,TRUE,11
"PE68AE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PE68AE","No Data",NA,NA,NA,NA,FALSE,0
"PE68AF","OK",TRUE,20,19.1,30,FALSE,15
"PE68AG","OK",FALSE,21.4,17.3,30,TRUE,28
"PE68AH","Insufficient Data",NA,NA,NA,NA,FALSE,2
"PE68AJ","No premises",NA,NA,NA,NA,FALSE,0
"PE68AL","OK",FALSE,19.1,20.7,24.4,FALSE,19
"PE68AN","OK",FALSE,16.8,18.1,24,TRUE,23
"PE68AP","OK",TRUE,16.1,17.8,23.9,FALSE,16
"PE68AR","OK",FALSE,7.7,7.6,9.4,TRUE,5
"PE68AS","Insufficient Data",NA,NA,NA,NA,TRUE,1
"PE68AT","OK",FALSE,21.9,17,30,TRUE,7
"PE68AU","OK",FALSE,16.2,15.3,30,TRUE,10
"PE68AW","OK",TRUE,16.7,19.2,24.4,FALSE,23
"PE68AX","OK",FALSE,18.9,14.4,30,TRUE,10
"PE68AY","OK",TRUE,22.5,17.1,30,TRUE,24
"PE68AZ","OK",FALSE,22.8,17.7,30,TRUE,30
"PE68BA","OK",TRUE,14.8,16.5,22.9,FALSE,17
"PE68BB","OK",FALSE,15.2,17.7,23.1,FALSE,10
"PE68BD","OK",TRUE,15.7,17.5,21.7,FALSE,18
"PE68BE","OK",TRUE,19.2,15.7,30,TRUE,60
"PE68BF","OK",FALSE,29.3,19.7,30,TRUE,5
"PE68BG","OK",TRUE,14.6,17.7,22.7,FALSE,18
"PE68BH","OK",FALSE,16.1,15.1,22.9,FALSE,20
"PE68BJ","OK",FALSE,16.4,19,20.3,FALSE,10
"PE68BL","OK",FALSE,27.2,20.8,30,TRUE,17
"PE68BN","OK",FALSE,26.7,18.7,30,TRUE,20
"PE68BP","OK",FALSE,16.6,15.7,30,TRUE,13
"PE68BQ","OK",FALSE,12.8,11.5,19.8,FALSE,9
"PE68BS","OK",TRUE,23.9,17.4,30,TRUE,66
"PE68BT","OK",FALSE,25.7,20.2,30,TRUE,12
"PE68BU","OK",FALSE,23.4,13.1,30,TRUE,14
"PE68BW","OK",FALSE,29.7,17.6,30,TRUE,17
"PE68BX","OK",FALSE,19.6,16.7,30,TRUE,5
"PE68BY","OK",FALSE,21.4,13.3,30,TRUE,30
"PE68BZ","OK",TRUE,24.4,15.9,30,TRUE,31
"PE68DA","OK",TRUE,16.5,19.3,23.3,FALSE,15
"PE68DB","OK",FALSE,20.5,15.8,30,TRUE,43
