"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"PL15AA","OK",FALSE,30,30,30,TRUE,28
"PL15AB","OK",FALSE,14.4,15.5,17.9,TRUE,6
"PL15AD","No Data",NA,NA,NA,NA,TRUE,0
"PL15AE","OK",FALSE,29.6,20,30,TRUE,33
"PL15AF","OK",FALSE,27.9,20,30,TRUE,18
"PL15AG","OK",FALSE,30,30,30,TRUE,18
"PL15AH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PL15AH","No Data",NA,NA,NA,NA,TRUE,0
"PL15AJ","OK",FALSE,24,20,30,TRUE,10
"PL15AN","OK",FALSE,13.1,13.7,20,TRUE,6
"PL15AQ","OK",FALSE,21.2,18,30,TRUE,22
"PL15AR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PL15AR","No Data",NA,NA,NA,NA,TRUE,0
"PL15AS","OK",FALSE,26.7,20,30,TRUE,6
"PL15AT","OK",FALSE,27,20,30,TRUE,24
"PL15AU","OK",FALSE,30,30,30,TRUE,27
"PL15AW","OK",FALSE,16.2,17.2,20.6,FALSE,24
"PL15AX","OK",FALSE,15.7,17.8,20.9,FALSE,36
"PL15AY","OK",FALSE,30,30,30,TRUE,6
"PL15AZ","OK",FALSE,20,23.1,30,TRUE,4
"PL15BA","OK",FALSE,26.9,30,30,TRUE,19
"PL15BB","OK",FALSE,21.3,25,30,TRUE,10
"PL15BD","OK",FALSE,23.6,20,30,TRUE,12
"PL15BE","OK",FALSE,25.4,9.2,30,TRUE,13
"PL15BG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PL15BG","No Data",NA,NA,NA,NA,TRUE,0
"PL15BN","OK",FALSE,30,30,30,TRUE,11
"PL15BP","OK",TRUE,27.3,20,30,TRUE,13
"PL15BQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PL15BQ","No Data",NA,NA,NA,NA,TRUE,0
"PL15BR","OK",FALSE,8.1,8.1,10,TRUE,6
"PL15BS","OK",TRUE,25,20,30,TRUE,17
"PL15BT","OK",FALSE,28.9,30,30,TRUE,21
"PL15BU","OK",FALSE,30,30,30,TRUE,28
"PL15BW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PL15BW","No Data",NA,NA,NA,NA,TRUE,0
"PL15BX","OK",TRUE,27,20,30,TRUE,21
"PL15BY","OK",FALSE,30,30,30,TRUE,28
"PL15BZ","No premises",NA,NA,NA,NA,TRUE,0
"PL15DD","OK",FALSE,24.5,16.7,30,TRUE,8
"PL15DE","OK",FALSE,29.4,30,30,TRUE,26
"PL15DF","OK",FALSE,20.5,17.1,30,TRUE,7
"PL15DG","OK",FALSE,30,20,30,TRUE,33
"PL15DH","OK",FALSE,30,30,30,TRUE,16
"PL15DJ","OK",TRUE,27.9,20,30,TRUE,32
"PL15DL","OK",FALSE,30,30,30,TRUE,3
"PL15DN","OK",TRUE,28.8,20,30,TRUE,40
"PL15DP","OK",FALSE,30,25,30,TRUE,22
"PL15DQ","OK",FALSE,30,25,30,TRUE,30
"PL15DR","OK",FALSE,30,30,30,TRUE,4
"PL15DS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"PL15DT","OK",FALSE,30,30,30,TRUE,20
"PL15DU","OK",FALSE,30,30,30,TRUE,13
"PL15DW","OK",FALSE,21.4,20,30,TRUE,18
"PL15DX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PL15DX","No Data",NA,NA,NA,NA,TRUE,0
"PL15DY","OK",FALSE,30,30,30,TRUE,23
"PL15DZ","OK",FALSE,29.9,30,30,TRUE,8
"PL15EA","OK",FALSE,6.3,6.4,6.7,TRUE,6
"PL15EB","Insufficient Data",NA,NA,NA,NA,TRUE,1
"PL15ED","Insufficient Data",NA,NA,NA,NA,TRUE,1
"PL15EE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"PL15EF","OK",FALSE,26.6,30,30,TRUE,17
"PL15EG","OK",FALSE,16,7.1,30,TRUE,23
"PL15EH","OK",FALSE,27,20,30,TRUE,34
"PL15EJ","OK",TRUE,24.4,16.4,30,TRUE,26
"PL15EN","OK",FALSE,24.6,10.1,30,TRUE,24
"PL15EP","OK",FALSE,26.5,30,30,TRUE,13
"PL15EQ","OK",FALSE,12.7,8.5,30,TRUE,6
"PL15ER","OK",TRUE,30,30,30,TRUE,17
"PL15ES","OK",FALSE,8.8,5.4,30,TRUE,6
"PL15ET","OK",TRUE,13.2,8,30,TRUE,14
"PL15EU","OK",FALSE,30,30,30,TRUE,14
"PL15EY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PL15EY","No Data",NA,NA,NA,NA,FALSE,0
"PL15EZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PL15EZ","No Data",NA,NA,NA,NA,FALSE,0
"PL15HA","OK",FALSE,13.6,12.8,20,TRUE,3
"PL15HB","OK",FALSE,30,20,30,TRUE,11
"PL15HD","OK",FALSE,30,30,30,TRUE,6
"PL15HE","OK",FALSE,16.6,10.7,30,TRUE,3
"PL15HF","OK",FALSE,24.6,30,30,TRUE,6
"PL15HG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PL15HG","No Data",NA,NA,NA,NA,TRUE,0
"PL15HH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"PL15HL","OK",FALSE,28,20,30,TRUE,29
"PL15HN","OK",FALSE,30,30,30,TRUE,15
"PL15HP","OK",FALSE,21.7,11.5,30,TRUE,17
"PL15HQ","OK",FALSE,27.8,30,30,TRUE,32
"PL15HR","OK",FALSE,28.6,25,30,TRUE,14
"PL15HT","OK",FALSE,9.1,4.5,20,TRUE,3
"PL15HU","Insufficient Data",NA,NA,NA,NA,TRUE,2
"PL15HW","OK",FALSE,26.6,15.9,30,TRUE,32
"PL15HX","OK",FALSE,13.4,13.1,16.6,TRUE,11
"PL15HY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"PL15HZ","OK",TRUE,7,6.5,15.4,TRUE,10
"PL15JA","OK",FALSE,5.9,5.1,11.5,TRUE,7
"PL15JB","OK",TRUE,10.5,13.2,17.4,TRUE,6
"PL15JD","OK",FALSE,10,8.2,30,TRUE,17
"PL15JE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"PL15JF","OK",FALSE,18.9,6.7,30,TRUE,6
"PL15JG","OK",FALSE,10,6.4,30,TRUE,12
"PL15JH","OK",TRUE,30,18.2,30,TRUE,10
"PL15JJ","OK",TRUE,27.4,20,30,TRUE,25
"PL15JL","OK",FALSE,23.9,30,30,TRUE,17
"PL15JN","OK",FALSE,30,21.8,30,TRUE,12
"PL15JP","Insufficient Data",NA,NA,NA,NA,TRUE,1
"PL15JQ","OK",TRUE,7.4,8.5,15.3,TRUE,13
"PL15JR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PL15JR","No Data",NA,NA,NA,NA,TRUE,0
"PL15JS","OK",FALSE,29.5,30,30,TRUE,14
"PL15JT","OK",FALSE,22.8,25,30,TRUE,6
"PL15JU","No Data",NA,NA,NA,NA,TRUE,0
"PL15JW","OK",FALSE,28.7,25,30,TRUE,6
"PL15JX","OK",FALSE,17.2,20,30,TRUE,9
"PL15JZ","OK",TRUE,20.7,20,30,TRUE,16
"PL15LA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PL15LA","No Data",NA,NA,NA,NA,TRUE,0
"PL15LB","Insufficient Data",NA,NA,NA,NA,TRUE,1
"PL15LF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PL15LF","No Data",NA,NA,NA,NA,TRUE,0
"PL15LG","OK",FALSE,30,18.9,30,TRUE,16
"PL15LH","OK",FALSE,21.2,18,30,TRUE,17
"PL15LJ","OK",FALSE,30,30,30,TRUE,32
"PL15LL","OK",TRUE,30,20,30,TRUE,31
"PL15LN","OK",FALSE,28.6,20,30,TRUE,14
"PL15LP","OK",FALSE,26,20,30,TRUE,32
"PL15LQ","OK",FALSE,24.1,20,30,TRUE,33
"PL15LR","OK",FALSE,28.6,12.8,30,TRUE,5
"PL15LT","OK",FALSE,30,30,30,TRUE,51
"PL15LU","OK",FALSE,24.3,20,30,TRUE,46
"PL15LW","OK",FALSE,29.8,30,30,TRUE,27
"PL15LX","OK",FALSE,21.5,20,30,TRUE,24
