"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"PO54AA","OK",FALSE,23.5,20,30,TRUE,12
"PO54AB","OK",FALSE,30,30,30,TRUE,13
"PO54AD","Insufficient Data",NA,NA,NA,NA,TRUE,1
"PO54AE","OK",FALSE,30,30,30,TRUE,11
"PO54AF","OK",FALSE,30,21,30,TRUE,14
"PO54AG","OK",FALSE,30,30,30,TRUE,12
"PO54AH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PO54AJ","OK",FALSE,16.6,17.1,21,FALSE,31
"PO54AL","OK",TRUE,17.5,18.5,21.5,FALSE,28
"PO54AN","OK",TRUE,16.9,18,21.3,FALSE,28
"PO54AP","OK",FALSE,30,30,30,TRUE,7
"PO54AQ","OK",FALSE,30,19.3,30,TRUE,4
"PO54AR","OK",FALSE,27.7,15.8,30,TRUE,12
"PO54AT","OK",FALSE,30,30,30,TRUE,10
"PO54AX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PO54AY","No Data",NA,NA,NA,NA,TRUE,0
"PO54BA","OK",FALSE,18.9,16.3,30,TRUE,10
"PO54BE","Insufficient Data",NA,NA,NA,NA,TRUE,1
"PO54BF","OK",FALSE,24.2,15.7,30,TRUE,7
"PO54BH","OK",FALSE,24.1,30,30,TRUE,5
"PO54BN","No premises",NA,NA,NA,NA,TRUE,0
"PO54BP","OK",TRUE,7.1,7.8,14.3,TRUE,5
"PO54BS","OK",FALSE,30,30,30,TRUE,25
"PO54BT","OK",FALSE,13.8,11.3,30,TRUE,9
"PO54BU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PO54BW","OK",FALSE,26,19.8,30,TRUE,4
"PO54BX","OK",TRUE,30,20,30,TRUE,39
"PO54BY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PO54BZ","OK",FALSE,24.2,20,30,TRUE,12
"PO54DA","OK",FALSE,21.8,20,30,TRUE,28
"PO54DB","OK",FALSE,29,20,30,TRUE,26
"PO54DD","OK",FALSE,30,30,30,TRUE,23
"PO54DE","OK",FALSE,30,20,30,TRUE,21
"PO54DG","OK",FALSE,22.4,18.9,30,TRUE,10
"PO54DJ","OK",TRUE,23.9,12.1,30,TRUE,12
"PO54DL","OK",FALSE,22.3,20,30,TRUE,5
"PO54DN","OK",FALSE,26.5,20,30,TRUE,19
"PO54DP","OK",FALSE,30,30,30,TRUE,28
"PO54DQ","OK",FALSE,27.9,20.8,30,TRUE,13
"PO54DR","OK",FALSE,30,30,30,TRUE,26
"PO54DS","OK",FALSE,30,30,30,TRUE,9
"PO54DT","OK",FALSE,30,30,30,TRUE,5
"PO54DU","OK",FALSE,30,30,30,TRUE,16
"PO54DW","OK",FALSE,21.6,20,30,TRUE,8
"PO54DX","OK",FALSE,23.8,19.9,30,TRUE,12
"PO54DY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PO54DZ","OK",FALSE,30,30,30,TRUE,6
"PO54EA","OK",FALSE,16.3,10.6,30,TRUE,13
"PO54EB","OK",FALSE,18.7,11.2,30,TRUE,11
"PO54ED","Insufficient Data",NA,NA,NA,NA,TRUE,2
"PO54EE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PO54EF","OK",FALSE,8.2,8.5,12,TRUE,11
"PO54EG","OK",FALSE,23.6,17.7,30,TRUE,27
"PO54EH","OK",FALSE,27.6,14.9,30,TRUE,25
"PO54EJ","OK",FALSE,30,30,30,TRUE,22
"PO54EL","OK",TRUE,30,20,30,TRUE,29
"PO54EN","OK",FALSE,24.6,12.1,30,TRUE,8
"PO54EP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PO54EQ","OK",FALSE,21.2,15.6,30,TRUE,13
"PO54ES","OK",FALSE,30,30,30,TRUE,3
"PO54EU","OK",FALSE,18.7,13.7,30,TRUE,14
"PO54EW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PO54EX","OK",FALSE,30,18.2,30,TRUE,5
"PO54HA","OK",TRUE,21.6,18.5,30,TRUE,13
"PO54HL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PO54HP","OK",FALSE,26.2,20.5,30,TRUE,14
"PO54HR","OK",TRUE,30,20,30,TRUE,17
"PO54HS","OK",FALSE,30,21,30,TRUE,28
"PO54HT","OK",FALSE,27.8,30,30,TRUE,14
"PO54HU","OK",FALSE,30,30,30,TRUE,15
"PO54HW","OK",FALSE,30,30,30,TRUE,5
"PO54HX","OK",FALSE,27.1,25,30,TRUE,12
"PO54HZ","OK",FALSE,26.2,20,30,TRUE,13
"PO54JA","OK",FALSE,30,30,30,TRUE,14
"PO54JB","OK",FALSE,19.5,20,22,TRUE,3
