"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"PR23AA","OK",FALSE,18.5,18,21.1,TRUE,4
"PR23AB","OK",FALSE,11.4,11.9,20,TRUE,9
"PR23AD","OK",TRUE,21.4,20,30,TRUE,12
"PR23AE","OK",TRUE,15.3,9.8,30,TRUE,11
"PR23AF","OK",FALSE,15.6,16.6,22,FALSE,58
"PR23AG","Insufficient Data",NA,NA,NA,NA,TRUE,1
"PR23AH","OK",FALSE,16.8,18.8,23.4,TRUE,15
"PR23AJ","OK",FALSE,19.1,21,23.9,TRUE,14
"PR23AL","OK",FALSE,23.9,21.7,30,TRUE,9
"PR23AN","OK",TRUE,14.5,18.2,21,TRUE,7
"PR23AP","OK",FALSE,14.4,16.9,23.4,TRUE,5
"PR23AQ","OK",FALSE,16.6,20.9,23.7,TRUE,13
"PR23AR","OK",FALSE,10,10,10,TRUE,3
"PR23AS","OK",FALSE,30,30,30,TRUE,4
"PR23AT","OK",FALSE,19.5,20.3,21.7,TRUE,4
"PR23AU","OK",FALSE,20.6,20.1,24,TRUE,8
"PR23AX","OK",TRUE,16.4,17.8,22.3,FALSE,42
"PR23AY","OK",TRUE,22.8,18.2,30,TRUE,20
"PR23BB","OK",FALSE,14,15.3,22.1,FALSE,38
"PR23BD","OK",FALSE,19.4,20,23.8,TRUE,15
"PR23BH","OK",FALSE,16.5,17.5,23.4,TRUE,5
"PR23BJ","OK",FALSE,21.3,20,30,TRUE,7
"PR23BL","OK",FALSE,23.8,22.4,30,TRUE,13
"PR23BN","OK",FALSE,18.7,21.9,23.1,TRUE,5
"PR23BP","OK",TRUE,16.9,15.4,30,TRUE,15
"PR23BQ","OK",FALSE,22,21.5,30,TRUE,7
"PR23BS","OK",FALSE,19.9,20.5,22.2,TRUE,6
"PR23BT","OK",FALSE,17.2,20,22.7,TRUE,9
"PR23BU","OK",FALSE,22.9,20,30,TRUE,7
"PR23BX","OK",FALSE,23.6,20.8,30,TRUE,13
"PR23BY","OK",FALSE,19.4,20.4,23.1,TRUE,10
"PR23DA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PR23DA","No Data",NA,NA,NA,NA,TRUE,0
"PR23DB","OK",FALSE,27.7,20,30,TRUE,9
"PR23DD","OK",TRUE,13.4,17.8,24,TRUE,7
"PR23DE","OK",FALSE,24.1,22,30,TRUE,21
"PR23DH","OK",FALSE,27,21.8,30,TRUE,21
"PR23DJ","OK",FALSE,16.9,20.2,23.4,TRUE,8
"PR23DL","Insufficient Data",NA,NA,NA,NA,TRUE,2
"PR23DN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PR23DN","No Data",NA,NA,NA,NA,TRUE,0
"PR23DP","OK",FALSE,20.3,21.1,30,TRUE,9
"PR23DQ","OK",TRUE,23.2,21,30,TRUE,15
