"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"RG64AA","OK",TRUE,7.4,3,20,TRUE,7
"RG64AB","OK",TRUE,14.2,3.8,30,TRUE,12
"RG64AD","OK",FALSE,25.3,20,30,TRUE,11
"RG64AE","OK",TRUE,13.5,4,30,TRUE,19
"RG64AF","OK",TRUE,26.4,30,30,TRUE,11
"RG64AG","OK",TRUE,13.2,3.7,30,TRUE,11
"RG64AH","OK",TRUE,14.2,4,30,TRUE,14
"RG64AJ","OK",TRUE,10.1,7.5,30,TRUE,37
"RG64AL","OK",TRUE,10.1,6.4,20,TRUE,6
"RG64AN","OK",FALSE,26,20,30,TRUE,9
"RG64AP","OK",TRUE,27.1,12,30,TRUE,16
"RG64AQ","OK",TRUE,13.5,3.3,30,TRUE,7
"RG64AR","OK",FALSE,30,30,30,TRUE,16
"RG64AS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"RG64AT","OK",FALSE,16.8,8.1,30,TRUE,8
"RG64AU","OK",TRUE,17.4,7.4,30,TRUE,13
"RG64AW","OK",TRUE,21.8,3.8,30,TRUE,19
"RG64AX","OK",FALSE,16.7,6.4,30,TRUE,3
"RG64AY","OK",FALSE,20.6,5.7,30,TRUE,5
"RG64AZ","OK",TRUE,22.2,9.7,30,TRUE,34
"RG64BA","OK",FALSE,30,20,30,TRUE,11
"RG64BB","OK",TRUE,21.1,4,30,TRUE,24
"RG64BD","OK",TRUE,30,30,30,TRUE,38
"RG64BE","OK",FALSE,30,30,30,TRUE,26
"RG64BG","OK",TRUE,11.1,2.7,30,TRUE,4
"RG64BH","OK",FALSE,30,30,30,TRUE,9
"RG64BJ","OK",TRUE,30,20,30,TRUE,36
"RG64BL","OK",TRUE,30,30,30,TRUE,15
"RG64BN","OK",TRUE,30,20,30,TRUE,20
"RG64BP","OK",TRUE,17.2,3.5,30,TRUE,24
"RG64BQ","OK",FALSE,14.1,5,30,TRUE,5
"RG64BS","OK",TRUE,30,30,30,TRUE,8
"RG64BT","OK",TRUE,17.3,5.2,30,TRUE,14
"RG64BU","OK",TRUE,30,30,30,TRUE,26
"RG64BW","OK",TRUE,16.1,4,30,TRUE,14
"RG64BX","OK",TRUE,22.3,12.7,30,TRUE,59
"RG64BY","OK",TRUE,29.8,30,30,TRUE,60
"RG64BZ","OK",TRUE,21.7,20,30,TRUE,60
"RG64DA","OK",TRUE,23.4,20,30,TRUE,61
"RG64DB","OK",TRUE,30,30,30,TRUE,17
"RG64DD","OK",FALSE,30,25,30,TRUE,10
"RG64DE","OK",FALSE,24.8,17.7,30,TRUE,13
"RG64DF","OK",TRUE,16.6,5.6,30,TRUE,22
"RG64DG","OK",FALSE,23.5,4.2,30,TRUE,17
"RG64DH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"RG64DJ","OK",FALSE,30,30,30,TRUE,7
"RG64DL","OK",FALSE,25.1,20,30,TRUE,24
