"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"RH29AA","OK",TRUE,11.4,7.8,22.5,TRUE,14
"RH29AB","OK",FALSE,13.1,13.5,15.2,TRUE,3
"RH29AD","No premises",NA,NA,NA,NA,TRUE,0
"RH29AE","OK",FALSE,19.5,16.3,30,TRUE,16
"RH29AG","OK",FALSE,19.8,11.4,30,TRUE,8
"RH29AH","Insufficient Data",NA,NA,NA,NA,TRUE,1
"RH29AJ","OK",FALSE,15.6,14.2,19.1,TRUE,9
"RH29AN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"RH29AP","OK",FALSE,13.6,14.1,20,TRUE,7
"RH29AT","OK",TRUE,10.4,7.7,21.9,TRUE,8
"RH29AY","OK",FALSE,27.5,19.4,30,TRUE,9
"RH29AZ","No premises",NA,NA,NA,NA,TRUE,0
"RH29BA","OK",FALSE,15.5,11.7,30,TRUE,18
"RH29BB","OK",FALSE,12.5,9.2,30,TRUE,14
"RH29BG","No premises",NA,NA,NA,NA,TRUE,0
"RH29BL","OK",FALSE,22.5,14,30,TRUE,21
"RH29BS","OK",FALSE,30,18.1,30,TRUE,4
"RH29BT","No premises",NA,NA,NA,NA,TRUE,0
"RH29BU","OK",TRUE,30,30,30,TRUE,7
"RH29BX","OK",FALSE,22.7,12.7,30,TRUE,6
"RH29BY","OK",FALSE,20.7,19.8,30,TRUE,20
"RH29BZ","OK",TRUE,30,5.8,30,TRUE,4
"RH29DA","OK",FALSE,16,14.4,30,TRUE,10
"RH29DB","OK",FALSE,5.5,6.1,7.1,TRUE,4
"RH29DD","OK",TRUE,11.8,11,30,TRUE,5
"RH29DE","OK",FALSE,30,18.2,30,TRUE,5
"RH29DF","OK",TRUE,18.1,12.8,30,TRUE,13
"RH29DG","OK",FALSE,27,12.6,30,TRUE,29
"RH29DH","OK",FALSE,20.5,15.1,30,TRUE,21
"RH29DJ","OK",FALSE,23.4,20,30,TRUE,17
"RH29DL","OK",FALSE,30,30,30,TRUE,5
"RH29DN","OK",FALSE,21.1,17.4,30,TRUE,22
"RH29DP","OK",FALSE,27.3,16.4,30,TRUE,27
"RH29DQ","OK",FALSE,30,18.6,30,TRUE,13
"RH29DS","OK",FALSE,19.7,18,30,TRUE,14
"RH29DU","OK",FALSE,24.7,19.1,30,TRUE,16
"RH29DW","OK",TRUE,30,15.2,30,TRUE,20
"RH29DX","OK",FALSE,30,20.4,30,TRUE,21
"RH29DY","OK",FALSE,30,21.5,30,TRUE,17
"RH29DZ","OK",FALSE,23.3,17,30,TRUE,37
"RH29EA","OK",FALSE,22.9,20,30,TRUE,9
"RH29EB","OK",FALSE,20.6,15.4,30,TRUE,14
"RH29ED","OK",FALSE,21.8,16.9,30,TRUE,14
"RH29EE","OK",FALSE,7.1,7.5,10,TRUE,3
"RH29EF","OK",FALSE,24.3,17,30,TRUE,26
"RH29EG","OK",FALSE,20.8,13.8,30,TRUE,36
"RH29EL","OK",FALSE,8.9,7.8,15.4,TRUE,7
"RH29ES","OK",TRUE,11.3,13.9,16.3,TRUE,4
"RH29ET","No premises",NA,NA,NA,NA,TRUE,0
"RH29EX","OK",FALSE,21.5,16.5,30,TRUE,40
"RH29EZ","No premises",NA,NA,NA,NA,TRUE,0
"RH29FF","No premises",NA,NA,NA,NA,TRUE,0
"RH29FH","No premises",NA,NA,NA,NA,FALSE,0
"RH29FL","No premises",NA,NA,NA,NA,FALSE,0
"RH29FQ","No premises",NA,NA,NA,NA,FALSE,0
"RH29FT","No premises",NA,NA,NA,NA,FALSE,0
"RH29HA","OK",FALSE,24.9,16.6,30,TRUE,18
"RH29HB","OK",FALSE,24.1,18,30,TRUE,22
"RH29HD","OK",TRUE,14,12.8,30,TRUE,22
"RH29HE","OK",FALSE,19.3,14.7,30,TRUE,18
"RH29HF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"RH29HG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"RH29HH","OK",FALSE,25.4,17.5,30,TRUE,21
"RH29HJ","OK",FALSE,29.3,20,30,TRUE,23
"RH29HN","OK",FALSE,13.1,14.7,20.1,TRUE,11
"RH29HP","OK",TRUE,21.9,16.7,30,TRUE,31
"RH29HQ","OK",TRUE,18.7,13.4,30,TRUE,19
"RH29HR","OK",FALSE,25.9,21.8,30,TRUE,30
"RH29HS","OK",FALSE,30,18.5,30,TRUE,23
"RH29HT","OK",FALSE,26,20,30,TRUE,20
"RH29HU","Insufficient Data",NA,NA,NA,NA,TRUE,2
"RH29HW","OK",FALSE,27.7,17.1,30,TRUE,13
"RH29HX","OK",FALSE,23.6,19,30,TRUE,7
"RH29HY","OK",TRUE,30,30,30,TRUE,5
"RH29HZ","OK",FALSE,14.5,16,19.7,TRUE,6
"RH29JA","OK",FALSE,8.1,8.5,12.3,TRUE,7
"RH29JB","No premises",NA,NA,NA,NA,TRUE,0
"RH29JD","OK",FALSE,9.2,9,12.4,TRUE,4
"RH29JE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"RH29JF","OK",TRUE,13.8,13.1,30,TRUE,6
"RH29JG","OK",TRUE,6.2,6.4,10,TRUE,4
"RH29JH","OK",TRUE,6.3,5.8,11.4,TRUE,17
"RH29JJ","OK",TRUE,4.3,4.4,8.1,TRUE,7
