"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"S12EA","OK",FALSE,26.6,20.5,30,TRUE,30
"S12EB","OK",FALSE,11.3,11.7,16.6,TRUE,7
"S12ED","OK",FALSE,30,30,30,TRUE,14
"S12EE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S12EE","No Data",NA,NA,NA,NA,FALSE,0
"S12EF","OK",FALSE,10.5,8.1,18.8,TRUE,7
"S12EG","OK",FALSE,18.3,17.5,30,TRUE,11
"S12EH","OK",FALSE,13.9,15.2,19.6,FALSE,39
"S12EJ","No Data",NA,NA,NA,NA,TRUE,0
"S12EL","OK",FALSE,14.9,12.8,30,TRUE,12
"S12EN","OK",FALSE,10.7,10.3,14.7,TRUE,10
"S12EP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S12EP","No Data",NA,NA,NA,NA,TRUE,0
"S12EQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S12EQ","No Data",NA,NA,NA,NA,TRUE,0
"S12ER","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S12ET","OK",FALSE,13.3,12.4,19.2,TRUE,4
"S12EU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S12EU","No Data",NA,NA,NA,NA,TRUE,0
"S12EW","No Data",NA,NA,NA,NA,TRUE,0
"S12EX","OK",FALSE,13.7,14,22.3,TRUE,9
