"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"S12HB","OK",FALSE,10.6,11.6,15.2,TRUE,5
"S12HD","OK",FALSE,15.7,18.7,20.8,TRUE,6
"S12HE","OK",TRUE,9.9,8.1,19.1,TRUE,10
"S12HF","OK",FALSE,12.8,8.1,22.1,TRUE,3
"S12HG","OK",FALSE,30,30,30,TRUE,3
"S12HH","No premises",NA,NA,NA,NA,TRUE,0
"S12HJ","OK",TRUE,11.7,14.1,19.3,TRUE,15
"S12HL","OK",TRUE,13.8,12.5,24.4,TRUE,7
"S12HN","OK",FALSE,15.4,18.1,21,TRUE,8
"S12HP","OK",FALSE,18.7,18.7,20.4,TRUE,3
"S12HQ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S12HS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S12HU","OK",FALSE,16,15.8,20.1,TRUE,13
"S12HY","No premises",NA,NA,NA,NA,FALSE,0
"S12HZ","OK",FALSE,13,13.2,18.9,FALSE,12
