"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"S14EA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S14EA","No Data",NA,NA,NA,NA,TRUE,0
"S14EB","OK",FALSE,24.4,20,30,TRUE,23
"S14ED","Insufficient Data",NA,NA,NA,NA,TRUE,1
"S14EE","OK",FALSE,15.3,16.3,21.5,FALSE,4
"S14EF","OK",FALSE,16.2,16.7,20.8,TRUE,13
"S14EG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S14EG","No Data",NA,NA,NA,NA,TRUE,0
"S14EH","OK",FALSE,15.5,15.5,17.5,TRUE,3
"S14EJ","OK",FALSE,16.8,17.3,21.3,FALSE,11
"S14EL","OK",FALSE,12.1,8.7,19.6,TRUE,5
"S14EN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S14EN","No Data",NA,NA,NA,NA,FALSE,0
"S14EP","OK",FALSE,22.3,22.3,23,TRUE,3
"S14EQ","OK",FALSE,14.6,14.6,21,TRUE,4
"S14ER","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S14ER","No Data",NA,NA,NA,NA,TRUE,0
"S14ES","OK",FALSE,30,21.8,30,TRUE,5
"S14ET","Insufficient Data",NA,NA,NA,NA,TRUE,1
"S14EU","OK",TRUE,7.8,7.1,15.1,TRUE,5
"S14EW","OK",FALSE,13.5,14.6,16.2,TRUE,7
"S14EX","OK",FALSE,18,18.8,21.6,FALSE,14
"S14EY","OK",TRUE,17.4,18.9,22.5,TRUE,61
"S14EZ","OK",FALSE,14,15.1,18.8,FALSE,49
