"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"S19TA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S19TA","No Data",NA,NA,NA,NA,FALSE,0
"S19TB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S19TB","No Data",NA,NA,NA,NA,FALSE,0
"S19TD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S19TD","No Data",NA,NA,NA,NA,FALSE,0
"S19TE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S19TE","No Data",NA,NA,NA,NA,FALSE,0
"S19TF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S19TF","No Data",NA,NA,NA,NA,FALSE,0
"S19TG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S19TG","No Data",NA,NA,NA,NA,FALSE,0
"S19TH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S19TH","No Data",NA,NA,NA,NA,FALSE,0
"S19TJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S19TJ","No Data",NA,NA,NA,NA,FALSE,0
"S19TL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S19TL","No Data",NA,NA,NA,NA,FALSE,0
