"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"S21GA","OK",TRUE,6.1,2.8,30,TRUE,21
"S21GB","OK",TRUE,30,20,30,TRUE,10
"S21GD","OK",FALSE,16.2,8.1,30,TRUE,19
"S21GE","OK",TRUE,10.3,8,30,TRUE,22
"S21GF","OK",FALSE,9.7,7.8,30,TRUE,18
"S21GG","OK",FALSE,15.9,11.1,30,TRUE,5
"S21GH","OK",FALSE,25.9,17.8,30,TRUE,23
"S21GJ","OK",FALSE,12.9,12.8,20,TRUE,7
"S21GL","OK",TRUE,19.1,11,30,TRUE,13
"S21GN","OK",FALSE,23.8,15.8,30,TRUE,6
"S21GP","OK",FALSE,22.2,16.5,30,TRUE,24
"S21GQ","OK",FALSE,16.2,16.7,20,TRUE,5
"S21GR","OK",FALSE,22.5,12.8,30,TRUE,9
"S21GS","OK",FALSE,17.6,11.3,30,TRUE,16
"S21GT","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S21GU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S21GU","No Data",NA,NA,NA,NA,TRUE,0
"S21GW","OK",FALSE,18.7,9,30,TRUE,12
"S21GX","OK",FALSE,19.9,11.1,30,TRUE,17
"S21GY","OK",FALSE,15.2,10.8,30,TRUE,10
"S21GZ","OK",FALSE,19.3,14.9,30,TRUE,20
