"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"S24LA","OK",FALSE,14.9,16.7,19,TRUE,4
"S24LE","OK",FALSE,30,14.3,30,TRUE,8
"S24LH","OK",FALSE,19.1,11,30,TRUE,12
"S24LJ","OK",TRUE,19.4,13.2,30,TRUE,15
"S24LN","Insufficient Data",NA,NA,NA,NA,FALSE,1
"S24LP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S24LP","No Data",NA,NA,NA,NA,FALSE,0
"S24LR","OK",FALSE,30,30,30,TRUE,7
"S24LT","OK",TRUE,19.9,20,30,TRUE,9
"S24LW","OK",TRUE,16.4,9.3,30,TRUE,10
