"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"S259AG","No premises",NA,NA,NA,NA,FALSE,0
"S259AH","No premises",NA,NA,NA,NA,FALSE,0
"S259AZ","No premises",NA,NA,NA,NA,FALSE,0
"S259BA","No premises",NA,NA,NA,NA,FALSE,0
"S259BB","No premises",NA,NA,NA,NA,FALSE,0
"S259BG","No premises",NA,NA,NA,NA,FALSE,0
"S259BX","No premises",NA,NA,NA,NA,FALSE,0
"S259DA","No premises",NA,NA,NA,NA,FALSE,0
"S259DB","No premises",NA,NA,NA,NA,FALSE,0
"S259DE","No premises",NA,NA,NA,NA,FALSE,0
"S259DJ","No premises",NA,NA,NA,NA,FALSE,0
"S259DU","No premises",NA,NA,NA,NA,FALSE,0
"S259DX","No premises",NA,NA,NA,NA,FALSE,0
"S259DZ","No premises",NA,NA,NA,NA,FALSE,0
"S259EB","No premises",NA,NA,NA,NA,FALSE,0
"S259ED","No premises",NA,NA,NA,NA,FALSE,0
"S259EE","No premises",NA,NA,NA,NA,FALSE,0
"S259EF","No premises",NA,NA,NA,NA,FALSE,0
