"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"S56FA","OK",TRUE,3.9,4.1,5.6,FALSE,8
"S56FF","OK",TRUE,6.8,2.7,30,TRUE,37
"S56FG","OK",FALSE,23.1,30,30,TRUE,7
"S56FH","OK",TRUE,20.8,11.1,30,TRUE,4
"S56FJ","OK",TRUE,20,3.5,30,TRUE,25
"S56FL","OK",TRUE,20.6,11,30,TRUE,4
"S56FN","OK",TRUE,27,30,30,TRUE,7
"S56FP","OK",TRUE,27.2,20,30,TRUE,26
"S56FQ","OK",TRUE,21,11.9,30,TRUE,22
"S56FR","OK",FALSE,20.6,5,30,TRUE,5
"S56FS","OK",TRUE,13.5,3.6,30,TRUE,31
"S56FT","OK",TRUE,27.9,20,30,TRUE,28
"S56FU","OK",TRUE,30,30,30,TRUE,17
"S56FW","OK",TRUE,30,30,30,TRUE,19
"S56FX","OK",FALSE,23.5,12.6,30,TRUE,8
"S56FY","OK",FALSE,15.6,4.1,30,TRUE,11
"S56FZ","OK",TRUE,23.1,20,30,TRUE,22
