"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"S61HB","OK",FALSE,27.4,20,30,TRUE,47
"S61HD","OK",FALSE,23.8,17,30,TRUE,5
"S61HE","OK",FALSE,21.3,16,30,TRUE,16
"S61HF","OK",FALSE,16.4,13.7,30,TRUE,18
"S61HG","OK",FALSE,10,9.9,13.5,TRUE,7
"S61HH","OK",FALSE,10.4,10.8,12.3,FALSE,4
"S61HJ","OK",FALSE,10.4,11.3,14.3,FALSE,4
"S61HL","OK",FALSE,6.2,5.9,9.2,FALSE,4
"S61HN","OK",FALSE,17.3,16.1,30,TRUE,15
"S61HP","No premises",NA,NA,NA,NA,FALSE,0
"S61HQ","OK",FALSE,19.1,13.8,30,TRUE,18
"S61HR","OK",FALSE,18.7,14.3,30,TRUE,33
"S61HS","OK",FALSE,23.8,20,30,TRUE,9
"S61HT","OK",FALSE,30,20,30,TRUE,15
"S61HU","OK",FALSE,26,20,30,TRUE,23
"S61HW","OK",TRUE,16.1,11.5,30,TRUE,24
"S61HX","OK",FALSE,22.8,15,30,TRUE,19
"S61HY","OK",FALSE,25.3,16.5,30,TRUE,28
"S61HZ","OK",TRUE,21.7,20,30,TRUE,14
