"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"S730AA","OK",FALSE,7.6,7.6,16.3,TRUE,8
"S730AB","No premises",NA,NA,NA,NA,TRUE,0
"S730AD","Insufficient Data",NA,NA,NA,NA,TRUE,1
"S730AE","OK",FALSE,23,27.2,30,TRUE,7
"S730AG","OK",FALSE,23.7,21.4,30,TRUE,14
"S730AH","OK",TRUE,13.9,16.6,20.3,TRUE,5
"S730AJ","OK",FALSE,20.6,18.5,30,TRUE,21
"S730AP","OK",FALSE,19.4,16.3,30,TRUE,17
"S730AQ","OK",FALSE,30,22.9,30,TRUE,7
"S730AR","No premises",NA,NA,NA,NA,TRUE,0
"S730AS","OK",FALSE,17,20,23.1,TRUE,3
"S730AW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730AW","No Data",NA,NA,NA,NA,TRUE,0
"S730AX","OK",TRUE,5.7,4.1,30,TRUE,15
"S730AY","OK",FALSE,21.5,20.6,30,TRUE,7
"S730BA","No premises",NA,NA,NA,NA,TRUE,0
"S730BB","Insufficient Data",NA,NA,NA,NA,TRUE,1
"S730BD","No Data",NA,NA,NA,NA,TRUE,0
"S730BE","OK",FALSE,14,14.5,19.8,TRUE,12
"S730BG","OK",FALSE,19.8,21,22,TRUE,5
"S730BH","OK",FALSE,17.2,16.8,30,TRUE,36
"S730BJ","OK",FALSE,27.8,19,30,TRUE,21
"S730BL","OK",FALSE,16,15.9,19,TRUE,10
"S730BN","OK",FALSE,9.1,7.5,16.4,TRUE,4
"S730BP","OK",FALSE,10.8,11.2,17.9,TRUE,10
"S730BQ","OK",FALSE,12.3,12.9,17,TRUE,46
"S730BS","OK",FALSE,19.7,10.1,30,TRUE,5
"S730BT","OK",FALSE,23.8,16.7,30,TRUE,3
"S730BU","OK",FALSE,21.1,15.3,30,TRUE,18
"S730BW","OK",FALSE,12.7,12.3,22.5,TRUE,8
"S730BX","OK",FALSE,21.7,17.7,30,TRUE,32
"S730DA","OK",FALSE,15.4,18.8,22.7,TRUE,6
"S730DD","OK",FALSE,23.1,21.1,30,TRUE,4
"S730DE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730DE","No Data",NA,NA,NA,NA,TRUE,0
"S730DG","No Data",NA,NA,NA,NA,TRUE,0
"S730DH","OK",FALSE,16.4,17,19.6,FALSE,35
"S730DJ","OK",FALSE,30,15.2,30,TRUE,3
"S730DL","OK",FALSE,22.5,19.3,30,TRUE,13
"S730DP","OK",FALSE,25.9,20,30,TRUE,9
"S730DQ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"S730DR","OK",FALSE,21.8,20,30,TRUE,8
"S730DS","OK",FALSE,9.5,9.9,13.9,TRUE,16
"S730DT","OK",FALSE,14.7,14.3,18.9,FALSE,9
"S730DU","OK",FALSE,13,13,18.9,FALSE,10
"S730DW","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S730DX","OK",FALSE,12,14,16.4,FALSE,14
"S730DY","OK",FALSE,14,15.1,19,TRUE,40
"S730EA","OK",FALSE,29.6,20.1,30,TRUE,28
"S730EB","OK",FALSE,25.7,20,30,TRUE,27
"S730ED","OK",TRUE,30,20.7,30,TRUE,7
"S730EE","OK",FALSE,30,25,30,TRUE,10
"S730EF","OK",FALSE,25.2,17,30,TRUE,41
"S730EG","OK",FALSE,28.3,30,30,TRUE,23
"S730EH","Insufficient Data",NA,NA,NA,NA,TRUE,1
"S730EJ","OK",FALSE,23.4,20,30,TRUE,26
"S730EL","OK",FALSE,29.1,19.9,30,TRUE,6
"S730EN","OK",FALSE,28.6,20,30,TRUE,16
"S730EP","OK",TRUE,20.9,17.6,30,TRUE,5
"S730ER","OK",FALSE,13.6,15.4,17.1,TRUE,3
"S730ES","OK",FALSE,26.8,20,30,TRUE,15
"S730ET","OK",FALSE,23.8,20,30,TRUE,14
"S730EU","OK",FALSE,20.8,9.8,30,TRUE,12
"S730EW","OK",FALSE,22.8,15.8,30,TRUE,12
"S730EX","OK",FALSE,22.1,20,30,TRUE,8
"S730EY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730EY","No Data",NA,NA,NA,NA,TRUE,0
"S730EZ","OK",FALSE,15.4,10.9,30,TRUE,6
"S730FD","OK",FALSE,6.8,7.1,9.6,TRUE,20
"S730FH","OK",TRUE,5.8,6.7,9.1,TRUE,9
"S730HA","OK",TRUE,15.8,9.6,30,TRUE,20
"S730HD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730HD","No Data",NA,NA,NA,NA,TRUE,0
"S730HE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S730HF","OK",FALSE,29.9,22.4,30,TRUE,5
"S730HG","OK",FALSE,13.5,9,30,TRUE,21
"S730HJ","OK",FALSE,30,21.8,30,TRUE,5
"S730HL","No premises",NA,NA,NA,NA,TRUE,0
"S730HN","OK",TRUE,15,11.3,30,TRUE,33
"S730HP","OK",TRUE,30,30,30,TRUE,3
"S730HQ","OK",FALSE,21.4,24,30,TRUE,4
"S730HR","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S730HS","OK",FALSE,20.7,20,30,TRUE,13
"S730HT","OK",FALSE,26.1,10.9,30,TRUE,13
"S730HU","OK",FALSE,19.5,20,30,TRUE,3
"S730HW","OK",FALSE,21.7,20,30,TRUE,4
"S730HX","OK",FALSE,30,21.2,30,TRUE,3
"S730HY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S730HZ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S730JA","OK",FALSE,25.6,21.5,30,TRUE,8
"S730JB","OK",FALSE,27.5,20,30,TRUE,20
"S730JD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730JD","No Data",NA,NA,NA,NA,TRUE,0
"S730JE","No premises",NA,NA,NA,NA,TRUE,0
"S730JF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730JF","No Data",NA,NA,NA,NA,TRUE,0
"S730JG","OK",FALSE,30,19.5,30,TRUE,6
"S730JH","OK",FALSE,16.1,18,30,TRUE,9
"S730JJ","OK",FALSE,23.9,20,30,TRUE,17
"S730JL","OK",TRUE,24.9,19.3,30,TRUE,21
"S730JN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730JN","No Data",NA,NA,NA,NA,TRUE,0
"S730JP","OK",FALSE,27.8,13.4,30,TRUE,6
"S730JQ","OK",FALSE,26.5,20,30,TRUE,15
"S730JR","OK",FALSE,27.1,16.7,30,TRUE,18
"S730JS","OK",TRUE,30,19,30,TRUE,19
"S730JT","OK",FALSE,23,20,30,TRUE,21
"S730JU","No premises",NA,NA,NA,NA,TRUE,0
"S730JW","OK",FALSE,23.3,20,30,TRUE,10
"S730JX","OK",FALSE,28.5,17.2,30,TRUE,21
"S730JY","OK",FALSE,19.6,19,30,TRUE,4
"S730JZ","OK",FALSE,30,16.5,30,TRUE,8
"S730LA","OK",FALSE,22.8,18.2,30,TRUE,6
"S730LB","OK",FALSE,30,30,30,TRUE,8
"S730LD","OK",FALSE,28,16.9,30,TRUE,20
"S730LE","OK",FALSE,10.4,11.5,15.3,FALSE,8
"S730LF","OK",FALSE,12.9,13.5,16.8,FALSE,28
"S730LG","OK",FALSE,8,8.4,12.3,FALSE,4
"S730LH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S730LJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730LJ","No Data",NA,NA,NA,NA,TRUE,0
"S730LL","OK",FALSE,21.3,11.2,30,TRUE,27
"S730LN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S730LP","OK",TRUE,28.9,20,30,TRUE,25
"S730LQ","OK",TRUE,6.3,6.6,10.2,FALSE,5
"S730LR","OK",TRUE,21.7,11.2,30,TRUE,18
"S730LS","OK",FALSE,9.2,9.9,12.3,FALSE,46
"S730LU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730LU","No Data",NA,NA,NA,NA,TRUE,0
"S730LW","OK",TRUE,30,30,30,TRUE,12
"S730LX","OK",TRUE,12.7,6.2,30,TRUE,14
"S730LY","OK",FALSE,13.4,8.2,30,TRUE,11
"S730LZ","OK",TRUE,10.7,7.3,30,TRUE,17
"S730NA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730NA","No Data",NA,NA,NA,NA,TRUE,0
"S730NB","OK",FALSE,11.3,7.3,30,TRUE,21
"S730ND","OK",TRUE,7.5,8.3,16.5,TRUE,11
"S730NE","OK",TRUE,11.7,8.8,23.5,TRUE,10
"S730NF","OK",FALSE,12.7,8.2,30,TRUE,21
"S730NG","OK",TRUE,8,7.4,22.4,TRUE,19
"S730NH","OK",FALSE,8.7,10.1,11.8,FALSE,8
"S730NL","OK",FALSE,10.2,10.7,15.4,FALSE,32
"S730NN","OK",FALSE,7.6,7,14,TRUE,15
"S730NP","OK",TRUE,13,3.1,30,TRUE,36
"S730NQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730NQ","No Data",NA,NA,NA,NA,TRUE,0
"S730NR","OK",TRUE,10,3.6,30,TRUE,9
"S730NS","OK",FALSE,8.4,3.1,30,TRUE,9
"S730NT","OK",TRUE,4.9,2.3,30,TRUE,15
"S730NU","OK",FALSE,30,30,30,TRUE,4
"S730NW","OK",TRUE,8.3,2.9,30,TRUE,8
"S730NX","OK",TRUE,2.6,2.7,3.6,TRUE,5
"S730NY","OK",FALSE,8.7,8.3,11.1,TRUE,6
"S730NZ","OK",TRUE,8.6,8.5,15.1,TRUE,7
"S730PA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730PA","No Data",NA,NA,NA,NA,TRUE,0
"S730PB","OK",TRUE,6.7,3.9,30,TRUE,11
"S730PD","OK",FALSE,15.9,4.1,30,TRUE,3
"S730PE","OK",TRUE,13.6,3.3,30,TRUE,18
"S730PF","OK",TRUE,1.3,1.3,2.4,TRUE,6
"S730PG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730PG","No Data",NA,NA,NA,NA,TRUE,0
"S730PH","OK",TRUE,11.7,2.5,30,TRUE,4
"S730PJ","OK",TRUE,20.4,21.6,30,TRUE,11
"S730PL","OK",TRUE,16.2,4,30,TRUE,10
"S730PN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S730PP","OK",FALSE,5.1,5.1,5.2,TRUE,4
"S730PQ","OK",TRUE,3.2,2.4,5.5,TRUE,3
"S730PR","OK",TRUE,10.1,3.5,30,TRUE,22
"S730PS","OK",TRUE,9.6,4,30,TRUE,11
"S730PT","OK",TRUE,13.7,4,30,TRUE,7
"S730PU","OK",TRUE,4.9,3.1,30,TRUE,19
"S730PW","OK",FALSE,19.9,4.6,30,TRUE,7
"S730PX","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S730PY","OK",FALSE,10.4,4.8,30,TRUE,6
"S730PZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730PZ","No Data",NA,NA,NA,NA,TRUE,0
"S730QA","OK",TRUE,16.9,4.9,30,TRUE,30
"S730QB","OK",TRUE,5.2,2.5,30,TRUE,19
"S730QD","OK",TRUE,3.8,2.8,28.5,TRUE,19
"S730QE","OK",TRUE,2.2,2.1,2.7,TRUE,5
"S730QF","OK",TRUE,11.3,8.8,26.7,TRUE,4
"S730QG","OK",TRUE,4.8,2.8,25.6,TRUE,10
"S730QH","OK",FALSE,7.7,7.4,11.3,FALSE,8
"S730QJ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"S730QL","OK",FALSE,7.4,7.5,11.3,FALSE,13
"S730QN","OK",TRUE,7.4,7,14.4,FALSE,16
"S730QP","OK",TRUE,10.9,3.6,30,TRUE,26
"S730QQ","OK",TRUE,6.8,3.2,30,TRUE,14
"S730QR","OK",TRUE,9.2,2.8,30,TRUE,14
"S730QS","OK",TRUE,11.8,3.7,30,TRUE,26
"S730QT","OK",FALSE,18.4,3.1,30,TRUE,5
"S730QU","OK",TRUE,8.4,2.1,28,TRUE,4
"S730QW","OK",FALSE,14.5,4.2,30,TRUE,10
"S730QX","OK",TRUE,3.4,3.7,5,FALSE,53
"S730QY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S730QZ","OK",TRUE,23.1,20,30,TRUE,29
"S730RA","OK",FALSE,22.3,14.5,30,TRUE,9
"S730RB","OK",FALSE,20.1,14.7,30,TRUE,18
"S730RD","No premises",NA,NA,NA,NA,TRUE,0
"S730RE","OK",FALSE,24.7,20,30,TRUE,23
"S730RF","OK",FALSE,18.3,10.7,30,TRUE,16
"S730RG","OK",FALSE,19.1,17.1,30,TRUE,8
"S730RH","OK",FALSE,29.2,20,30,TRUE,5
"S730RJ","OK",FALSE,21.1,12.5,30,TRUE,8
"S730RL","OK",TRUE,18.1,8.6,30,TRUE,12
"S730RN","OK",FALSE,21.3,14.7,30,TRUE,16
"S730RP","OK",FALSE,23.5,10.2,30,TRUE,10
"S730RQ","OK",FALSE,26.6,20,30,TRUE,18
"S730RR","OK",FALSE,15.3,15.1,30,TRUE,8
"S730RS","OK",FALSE,30,30,30,TRUE,5
"S730RT","OK",FALSE,26.3,20,30,TRUE,9
"S730RU","OK",FALSE,12.5,7.4,30,TRUE,4
"S730RW","OK",FALSE,26.1,20,30,TRUE,12
"S730RX","OK",FALSE,24.5,25,30,TRUE,6
"S730RY","OK",TRUE,6.7,7.2,12.1,TRUE,3
"S730RZ","OK",TRUE,17,20,30,TRUE,13
"S730SA","OK",FALSE,19,12.8,30,TRUE,22
"S730SB","OK",FALSE,23.4,20,30,TRUE,28
"S730SD","OK",FALSE,14.3,11,30,TRUE,9
"S730SE","OK",FALSE,28.2,20,30,TRUE,21
"S730SF","OK",FALSE,30,21,30,TRUE,13
"S730SG","OK",FALSE,16.6,17.6,30,TRUE,8
"S730SH","OK",TRUE,21.7,20,30,TRUE,24
"S730SJ","OK",TRUE,11.9,8.2,30,TRUE,6
"S730SL","OK",FALSE,21.7,30,30,TRUE,3
"S730SN","OK",FALSE,23.7,20,30,TRUE,12
"S730SP","OK",FALSE,19.9,20,30,TRUE,9
"S730SQ","OK",FALSE,12.9,12.6,30,TRUE,10
"S730SR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730SR","No Data",NA,NA,NA,NA,TRUE,0
"S730SS","OK",FALSE,30,20,30,TRUE,11
"S730ST","OK",FALSE,30,30,30,TRUE,11
"S730SU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S730SU","No Data",NA,NA,NA,NA,TRUE,0
"S730SW","OK",FALSE,24.9,20,30,TRUE,8
"S730SX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S730SX","No Data",NA,NA,NA,NA,FALSE,0
"S730SY","OK",TRUE,25.1,20,30,TRUE,23
"S730SZ","OK",FALSE,22.2,20,30,TRUE,18
"S730TA","OK",FALSE,8.1,6.6,20,TRUE,10
"S730TB","OK",TRUE,3.1,3.1,6.3,FALSE,13
"S730TD","OK",FALSE,25.8,9.9,30,TRUE,6
"S730TE","OK",FALSE,30,25,30,TRUE,38
"S730TF","OK",TRUE,21,7.4,30,TRUE,10
"S730TG","OK",TRUE,10.9,6.9,30,TRUE,10
"S730TH","OK",TRUE,17.9,6.9,30,TRUE,15
"S730TJ","OK",FALSE,8.4,8.1,9.6,TRUE,6
"S730TL","OK",FALSE,12.2,7.2,30,TRUE,14
"S730TN","OK",TRUE,5.3,5.9,8.2,TRUE,14
"S730TP","OK",TRUE,7.3,5.7,30,TRUE,16
"S730TQ","OK",TRUE,9.8,5,30,TRUE,7
