"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"S91BA","OK",TRUE,20.7,20,30,TRUE,32
"S91BB","OK",TRUE,25.8,20,30,TRUE,40
"S91BD","OK",TRUE,16.4,9.2,30,TRUE,24
"S91BE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S91BH","No Data",NA,NA,NA,NA,TRUE,0
"S91BJ","OK",TRUE,19.5,9.1,30,TRUE,35
"S91BL","OK",TRUE,23.3,20,30,TRUE,23
"S91BN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S91BP","OK",FALSE,25.2,20,30,TRUE,18
"S91BQ","OK",FALSE,27.1,20,30,TRUE,16
"S91BR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S91BS","Insufficient Data",NA,NA,NA,NA,FALSE,1
"S91BT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S91BW","OK",FALSE,3.1,3.1,3.1,FALSE,4
"S91BX","OK",FALSE,5.4,6.3,7.6,FALSE,3
"S91BY","Insufficient Data",NA,NA,NA,NA,FALSE,1
