"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"SA48AB","OK",FALSE,15.7,17.1,21,FALSE,54
"SA48AD","OK",FALSE,16.5,17.7,24,FALSE,50
"SA48AE","OK",FALSE,17.5,19.3,22.7,FALSE,16
"SA48AF","OK",FALSE,16.6,18,21.5,FALSE,27
"SA48AG","OK",FALSE,14.5,14.1,20,FALSE,11
"SA48BA","OK",FALSE,14.1,15.9,19.2,FALSE,16
"SA48BH","OK",TRUE,14.7,16.4,20,FALSE,13
"SA48BL","OK",FALSE,15.8,16.4,21,FALSE,7
"SA48BW","OK",FALSE,11.9,13.6,18.7,FALSE,11
"SA48DA","OK",TRUE,7.5,8.6,12.8,FALSE,7
"SA48DB","OK",TRUE,5.1,6.1,10.2,FALSE,17
"SA48DD","OK",TRUE,6,5.5,12.2,FALSE,7
"SA48DE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48DE","No Data",NA,NA,NA,NA,FALSE,0
"SA48DF","OK",FALSE,9.3,10.2,11.6,FALSE,5
"SA48DH","OK",FALSE,5.2,5.6,6,FALSE,3
"SA48DJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48DJ","No Data",NA,NA,NA,NA,FALSE,0
"SA48DL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48DL","No Data",NA,NA,NA,NA,FALSE,0
"SA48DN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48DN","No Data",NA,NA,NA,NA,FALSE,0
"SA48DQ","OK",TRUE,5,4.9,8.9,FALSE,18
"SA48DR","OK",TRUE,7.5,7.5,12.6,FALSE,21
"SA48DS","OK",FALSE,6.3,6.2,8.2,FALSE,8
"SA48DU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48DU","No Data",NA,NA,NA,NA,FALSE,0
"SA48DX","OK",TRUE,9.7,10.5,15.8,FALSE,15
"SA48EA","OK",FALSE,14.2,15,21,FALSE,35
"SA48EB","OK",TRUE,11.7,12.5,17,FALSE,12
"SA48ED","OK",FALSE,15.3,16.4,20.9,FALSE,26
"SA48EE","OK",FALSE,15.8,16.6,17.9,FALSE,12
"SA48EF","OK",FALSE,13.5,13.3,17.9,FALSE,14
"SA48EG","OK",TRUE,12.8,14.3,17.6,FALSE,14
"SA48EH","OK",FALSE,12.5,14.3,19,FALSE,17
"SA48HH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48HH","No Data",NA,NA,NA,NA,FALSE,0
"SA48HJ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"SA48HQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48HQ","No Data",NA,NA,NA,NA,FALSE,0
"SA48HR","OK",TRUE,11,9.9,19.4,FALSE,13
"SA48HS","OK",FALSE,12.8,13.4,20.1,FALSE,11
"SA48HT","OK",TRUE,13.8,15.9,22.3,FALSE,33
"SA48HU","OK",TRUE,15.1,16.8,22,FALSE,35
"SA48HX","OK",TRUE,14,15.7,20.2,FALSE,35
"SA48HY","OK",FALSE,15.9,17.4,20.1,FALSE,18
"SA48HZ","OK",FALSE,14,16,19.8,FALSE,28
"SA48JA","No premises",NA,NA,NA,NA,FALSE,0
"SA48JB","OK",FALSE,12.5,10.4,19.8,FALSE,11
"SA48JD","No premises",NA,NA,NA,NA,TRUE,0
"SA48JE","OK",TRUE,13.6,15.7,22.1,FALSE,18
"SA48JF","OK",FALSE,13.4,14.2,21,FALSE,32
"SA48JG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48JG","No Data",NA,NA,NA,NA,FALSE,0
"SA48JH","OK",FALSE,13.6,15.5,21.3,FALSE,45
"SA48JJ","OK",FALSE,12.6,12.6,17.3,FALSE,7
"SA48JL","OK",TRUE,12.8,14.3,19,FALSE,12
"SA48JN","OK",TRUE,10.9,11.3,18.9,FALSE,29
"SA48JP","OK",FALSE,12.5,13.5,19.1,TRUE,26
"SA48JQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48JQ","No Data",NA,NA,NA,NA,FALSE,0
"SA48JR","OK",FALSE,14.6,15.6,19.5,FALSE,6
"SA48JS","OK",FALSE,13,15,17,FALSE,11
"SA48JT","OK",TRUE,12.8,14.3,19.1,FALSE,28
"SA48JU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48JU","No Data",NA,NA,NA,NA,FALSE,0
"SA48JW","OK",FALSE,10.2,9.9,18,FALSE,39
"SA48JX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48JX","No Data",NA,NA,NA,NA,FALSE,0
"SA48JY","OK",FALSE,12.5,11.7,17.9,FALSE,16
"SA48JZ","OK",FALSE,14.3,15.3,19,FALSE,9
"SA48LA","OK",TRUE,6.7,6.9,12.3,FALSE,21
"SA48LD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48LD","No Data",NA,NA,NA,NA,FALSE,0
"SA48LE","OK",FALSE,17.1,17.4,20,FALSE,6
"SA48LF","OK",TRUE,13,14.9,18.8,FALSE,28
"SA48LG","OK",FALSE,15.4,17.6,20.6,FALSE,19
"SA48LH","OK",FALSE,16.9,19.2,23.2,FALSE,15
"SA48LJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48LJ","No Data",NA,NA,NA,NA,FALSE,0
"SA48LL","OK",FALSE,14.7,17.1,22.9,FALSE,18
"SA48LN","OK",FALSE,14.8,17.4,22.5,FALSE,16
"SA48LP","OK",FALSE,18.5,19.4,23.6,FALSE,26
"SA48LQ","OK",TRUE,16.6,18.3,22.5,FALSE,28
"SA48LR","OK",FALSE,13.6,15.1,19.4,TRUE,15
"SA48LS","OK",FALSE,15.9,17.6,23.8,FALSE,24
"SA48LT","OK",FALSE,15.8,16.4,23.5,FALSE,34
"SA48LU","OK",FALSE,14.7,16.3,21,FALSE,35
"SA48LW","OK",FALSE,16.7,18.2,20.7,FALSE,16
"SA48LX","OK",FALSE,10,7.8,20,FALSE,4
"SA48LY","OK",FALSE,17.3,19.8,21.3,FALSE,14
"SA48LZ","OK",FALSE,15.2,15.6,19.9,FALSE,8
"SA48NA","OK",FALSE,11.8,12.3,20.1,FALSE,18
"SA48NB","OK",FALSE,14.1,15,21.1,FALSE,31
"SA48ND","OK",FALSE,14,15.1,21.1,FALSE,11
"SA48NE","Insufficient Data",NA,NA,NA,NA,FALSE,1
"SA48NF","Insufficient Data",NA,NA,NA,NA,FALSE,2
"SA48NG","No Data",NA,NA,NA,NA,FALSE,0
"SA48NH","OK",FALSE,13.7,15,17.5,FALSE,3
"SA48NJ","OK",FALSE,11.2,14.1,14.9,FALSE,3
"SA48NP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"SA48NQ","OK",FALSE,14.3,15,19.5,FALSE,8
"SA48NR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48NR","No Data",NA,NA,NA,NA,FALSE,0
"SA48NS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48NS","No Data",NA,NA,NA,NA,FALSE,0
"SA48NT","OK",FALSE,17.8,19.1,21.6,FALSE,9
"SA48NU","OK",FALSE,17.6,19.1,22.7,FALSE,12
"SA48NW","OK",FALSE,15.4,16.8,22.4,FALSE,17
"SA48NZ","OK",FALSE,15,15.4,19.5,FALSE,6
"SA48PA","OK",FALSE,21.7,22,22.6,FALSE,3
"SA48PB","OK",TRUE,14.2,15.4,22.9,FALSE,19
"SA48PD","No premises",NA,NA,NA,NA,FALSE,0
"SA48PE","OK",TRUE,14.8,16.5,21,FALSE,10
"SA48PF","OK",FALSE,13.4,13.8,20.7,FALSE,16
"SA48PG","OK",FALSE,16.9,19.4,21.2,FALSE,17
"SA48PH","OK",TRUE,14.5,15.9,21.1,FALSE,26
"SA48PJ","OK",FALSE,12.1,13.3,18.5,FALSE,21
"SA48PL","OK",FALSE,15.4,18.6,19.5,FALSE,3
"SA48PN","OK",FALSE,14.8,17.1,20.6,FALSE,4
"SA48PP","OK",FALSE,13.2,15.2,18.7,FALSE,30
"SA48PQ","OK",FALSE,16.3,16.4,21.3,FALSE,13
"SA48PR","OK",FALSE,15.5,16.3,19.8,FALSE,18
"SA48PS","OK",FALSE,12.4,12.1,18.3,FALSE,11
"SA48PT","OK",TRUE,9.9,9.7,19.2,FALSE,24
"SA48PU","OK",FALSE,9.9,10.2,16.4,FALSE,24
"SA48PW","OK",FALSE,13.3,14.2,18.5,FALSE,19
"SA48PX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48PX","No Data",NA,NA,NA,NA,FALSE,0
"SA48PY","OK",FALSE,8.3,7.1,14.4,FALSE,6
"SA48PZ","OK",TRUE,7.9,7.7,11.3,FALSE,10
"SA48QA","OK",TRUE,6.4,5.6,13.2,FALSE,7
"SA48QB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48QB","No Data",NA,NA,NA,NA,FALSE,0
"SA48QD","Insufficient Data",NA,NA,NA,NA,FALSE,1
"SA48QE","OK",FALSE,7.1,6.5,11.6,FALSE,28
"SA48QF","Insufficient Data",NA,NA,NA,NA,FALSE,2
"SA48QG","OK",TRUE,6.7,6.4,12.6,FALSE,12
"SA48QH","OK",TRUE,3.6,3.3,6,FALSE,5
"SA48QJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA48QJ","No Data",NA,NA,NA,NA,FALSE,0
"SA48QL","No premises",NA,NA,NA,NA,FALSE,0
